PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Épocas de manejo químico de Brachiaria decumbens antecedendo o plantio direto de soja,2002,2003,PESQUISA,"['Anísio da Silva Nunes', 'Paulo César Timossi', 'Maria do Carmo Morelli Damasceno Pavani', 'Daniel Donato Hernandez']","['SIM', 'NAO', 'NAO', 'NAO']"
Doses e formas de aplicação de biossólido na cultura do milho de 2ª safra em sistema plantio direto,2003,2004,PESQUISA,"['Anísio da Silva Nunes', 'Micheli Satomi Yamauti', 'Wanderley José de Melo', 'Júnior Inácio de Sousa', 'Valéria Peruca de Melo']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Coberturas vegetais e herbicidas no manejo de plantas daninhas na cultura da soja,2004,2005,PESQUISA,"['Anísio da Silva Nunes', 'Paulo César Timossi', 'Maria do Carmo Morelli Damasceno Pavani', 'Pedro Luis da Costa Aguiar Alves']","['SIM', 'NAO', 'NAO', 'NAO']"
Adubos verdes e adubação mineral nitrogenada em cobertura na cultura do trigo em sistema plantio direto,2007,2008,PESQUISA,"['Anísio da Silva Nunes', 'Luiz Carlos Ferreira de Souza', 'Douglas Roman', 'João Batista Nascimento Ferraz de Araujo', 'Katiuça Sueko Tanaka', 'Priscila Akemi Makino', 'Amanda Fortes Pereira']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Manejo da cultura do feijão caupi na região de Dourados - MS,2009,2012,PESQUISA,"['Anísio da Silva Nunes', 'Luiz Carlos Ferreira de Souza']","['SIM', 'NAO']"
Testes de germinação e vigor para sementes de crambe,2010,2010,PESQUISA,"['Anísio da Silva Nunes', 'Jennifer Pagnoncelli', 'Thomas Pereira Gomes', 'Bruno Agostini Colman', 'Cássio Miranda Nunes']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Tolerância cruzada induzida por choque térmico na germinação de sementes,2011,2012,PESQUISA,"['Anísio da Silva Nunes', 'Bruno Agostini Colman', 'Cássio Miranda Nunes', 'Thomas Pereira Gomes', 'Guiomar Antonia Cassol de Freitas Terra', 'Grisielly Pitta']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"Fotossíntese, nutrição mineral e produção de grãos em plantas de milho sob diferentes espaçamentos entrelinhas",2012,2013,PESQUISA,"['Anísio da Silva Nunes', 'André Luís Faleiros Lourenção', 'Lorraine Ramos Martins Vidal', 'Fabrício Vilarinho da Silva']","['SIM', 'NAO', 'NAO', 'NAO']"
Termometria por infravermelho como indicador de estresse hídrico em plantas de milho e soja,2015,ATUAL,PESQUISA,"['Anísio da Silva Nunes', 'Tricia Costa Lima', 'Tatiane Maria de Amorim', 'Francielly Franco Greter']","['SIM', 'NAO', 'NAO', 'NAO']"
Aplicação foliar de aminoácidos e produtividade da cultura da soja,2015,ATUAL,PESQUISA,"['Anísio da Silva Nunes', 'Tricia Costa Lima', 'Fabiano Gonçalves Schirmer', 'Jhon Wesley Soares Rodrigues', 'Marcella de Siqueira Almeida']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Tangará Rural: radiodifusão e transferência de tecnologias de produção agrícola,2016,ATUAL,EXTENSAO,"['Anísio da Silva Nunes', 'Gilmar Laforga', 'Marcio Osvaldo Lima Magalhães', 'José Roberto Rambo', 'Eliel Ferreira Porto', 'Wellington Procópio']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Fitotecnia Online: canal de comunicação da Unemat com os agricultores de Mato Grosso,2014,2016,EXTENSAO,"['Anísio da Silva Nunes', 'Tricia Costa Lima', 'Marcio Osvaldo Lima Magalhães', 'Roberto Antonio Savelli Martinez', 'Marice Cristine Vendruscolo', 'Miriam Hiroko Inoue']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
Acessoria em Gestão,2015,2017,EXTENSAO,"['Anísio da Silva Nunes', 'Camyla Piran Stiegler Leitner', 'Adelice Minetto Sznitowski']","['NAO', 'SIM', 'NAO']"
Viabilidade da temperatura e evaporação da água sob diferentes coberturas de solo e sua influência no kc dual da cultura do milho,2015,2017,PESQUISA,"['Anísio da Silva Nunes', 'Rafael César Tieppo', 'Marcio Osvaldo Lima Magalhães', 'Rivanildo Dallacort', 'Ronicely Pereira da Rocha']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO']"
Unemat Tangará da Serra Online: canal de comunicação com a sociedade,2015,2016,EXTENSAO,"['Anísio da Silva Nunes', 'Anderson Fernandes de Miranda', 'Antonio Henrique Nascimento Barbosa']","['NAO', 'SIM', 'NAO']"
MT Horticultura: canal de comunicação com os produtores rurais do Estado de Mato Grosso,2017,ATUAL,EXTENSAO,"['Anísio da Silva Nunes', 'Willian Krause', 'Celice Alexandre Silva']","['NAO', 'SIM', 'NAO']"
Revista MT Horticultura: transferência de tecnologias online,2017,ATUAL,EXTENSAO,"['Anísio da Silva Nunes', 'Willian Krause', 'Celice Alexandre Silva']","['NAO', 'NAO', 'SIM']"
Jovem Gestor Rural: capacitação em gestão de empresas rurais para a sucessão familiar,2017,ATUAL,EXTENSAO,"['Anísio da Silva Nunes', 'Camyla Piran Stiegler Leitner', 'Adelice Minetto Sznitowski', 'Allysin Rodrigues Vargas', 'Cleiton Franco']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
