PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
ARRANJO DE PLANTAS E SEUS EFEITOS NAS CARACTERÍSTICAS AGRONOMICAS E TEOR DE ÓLEO EM CANOLA EM MATO GROSSO,2014,ATUAL,PESQUISA,"['Roberto Antonio Savelli Martinez', 'Nubia Menezes Machado']","['SIM', 'NAO']"
TEORES DE CALIBRAÇÃO DE POTÁSSIO NO CERRADO PARA A CULTURA DA CANOLA NA CANOLA (Brassica napus L.),2014,ATUAL,PESQUISA,"['Roberto Antonio Savelli Martinez', 'Marcio Oswaldo Lima Magalhães', 'Airton Guimarães Botar Júnior']","['SIM', 'NAO', 'NAO']"
CARACTERÍSTICAS AGRONÔMICAS E TEOR DE ÓLEO DA CULTURA DA CANOLA EM RELAÇAO A DENSIDADE DE PLANTIO A LANÇO NO ESTADO DE MATO GROSSO,2014,ATUAL,PESQUISA,"['Roberto Antonio Savelli Martinez', 'Nilva Paula Lopes da Silva']","['SIM', 'NAO']"
EFEITO DA ADUBAÇÃO COM BORO NAS CARACTERÍSTICAS AGRONÔMICAS DA CANOLA (Brassica napus L.),2014,ATUAL,PESQUISA,"['Roberto Antonio Savelli Martinez', 'Marcio Oswaldo Lima Magalhães', 'Diogo Poletto']","['SIM', 'NAO', 'NAO']"
Emergência e Controle de Capim-Camalote e Dinâmica de Herbicidas na Cultura da Cana-de-Açucar,2014,ATUAL,PESQUISA,"['Roberto Antonio Savelli Martinez', 'Mirian Hiroko Inoue']","['NAO', 'SIM']"
DESEMPENHO AGRONÔMICO DE CULTIVARES DE BANANA PARA REGIÃO DE TANGARÁ DA SERRA-MT,2014,ATUAL,PESQUISA,"['Roberto Antonio Savelli Martinez', 'Emerson Correa dos Santos Lima', 'William Krause']","['SIM', 'NAO', 'NAO']"
TIPOS DE INOCULAÇÃO DE Azospirillum brasilense SOBRE CARACTERÍSTICAS AGRONÔMICAS DA SOJA,2014,ATUAL,PESQUISA,"['Roberto Antonio Savelli Martinez', 'Valdinei Souza da Costa']","['SIM', 'NAO']"
Desenvolvimento de atividades práticas focadas em entender a importância do solo e seu papel na manutenção da homeostase do meio ambiente,2014,2015,EXTENSAO,"['Roberto Antonio Savelli Martinez', 'Marcio Oswaldo Lima Magalhães', 'Rivanildo Dallacort']","['NAO', 'SIM', 'NAO']"
Fitotecnia Online: Canal de Comunicação da UNEMAT com os agricultores de Mato Grosso,2014,2016,EXTENSAO,"['Roberto Antonio Savelli Martinez', 'Mirian Hiroko Inoue', 'Tricia Costa Lima']","['SIM', 'NAO', 'NAO']"
Diversificação e ampliação da base produtiva da bacia do Alto Paraguai como estratégia inovadora na otimização dos sistemas agrícolas regionais,2013,ATUAL,PESQUISA,"['Roberto Antonio Savelli Martinez', 'Marcio Oswaldo Lima Magalhães', 'Rivanildo Dallacort', 'Adalberto Santi', 'Ronicely Pereira da Rocha']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
PRODUTIVIDADE DE CULTIVARES DE BRACHIARIA BRIZANTA EM DIFERENTES DOSES DE NITROGÊNIO,2015,ATUAL,PESQUISA,"['Roberto Antonio Savelli Martinez', 'Marcio Oswaldo Lima Magalhães', 'Astor Henrique Nied', 'Alexandre Agostinho Mexia', 'Marice Cristine Vendruscolo']","['NAO', 'NAO', 'NAO', 'NAO', 'SIM']"
PESQUISA E GERAÇÃO DE CONHECIMENTO PARA CANOLA- ARRANJO DE PLANTAS EM CANOLA EM MATO GROSSO PARA MELHOR APROVEITAMENTO DOS RECURSOS DO AMBIENTE E EXPRESSÃO DO POTENCIAL PRODUTIVO DA CULTURA,2016,ATUAL,PESQUISA,['Roberto Antonio Savelli Martinez'],['SIM']
Viabilidade Agronômica da produção de oleaginosas para biocombustivel,2008,ATUAL,PESQUISA,"['Roberto Antonio Savelli Martinez', 'Marcio Oswaldo Lima Magalhães', 'Astor Henrique Nied', 'Ronicely Pereira da Rocha']","['NAO', 'NAO', 'SIM', 'NAO']"
