PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Agronomia no Campo: Agricultura de Base Ecológica em questão.,2009,2011,EXTENSAO,"['José Roberto Rambo', 'Cleiton Lopes da Silva']","['SIM', 'NAO']"
Agronomia na Prática: Política de Extensão Rural para Agricultores Familiares do Assentamento Vale do Sol 2 em Tangará da Serra - MT,2010,2013,EXTENSAO,"['José Roberto Rambo', 'Willian Krause', 'Adalberto Santi', 'Fernando Giovanetti de Macedo', 'Rogério Gonçalves Lacerda de Gouveia']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Programa de Aquisição de Alimentos em Tangará da Serra - MT: Assistência Técnica e Extensão Rural,2011,2013,EXTENSAO,"['José Roberto Rambo', 'Willian Krause', 'Adalberto Santi']","['SIM', 'NAO', 'NAO']"
"Formação de Agentes de ATER em Manejo Ecológico e Conservação dos Solos e da Água na Fronteira Oeste de Mato Grosso, Polo Pontes e Lacerda/MT",2011,2011,EXTENSAO,"['José Roberto Rambo', 'Samuel Laudelino Silva', 'Edson Eguchi']","['NAO', 'SIM', 'NAO']"
Biodisponibilidade e Potencial de Extração de Nutrientes de Substratos pelo Tomateiro Produzido em Ambiente Protegido,2012,2014,PESQUISA,"['José Roberto Rambo', 'Rivanildo Dallacort', 'Adalberto Santi']","['NAO', 'NAO', 'SIM']"
Fruticultura on-line: canal de comunicação com fruticultores de Mato Grosso,2012,2015,EXTENSAO,"['José Roberto Rambo', 'Willian Krause']","['NAO', 'SIM']"
1º Giro Zootécnico da UNEMAT Tangará,2012,2012,OUTRA,"['José Roberto Rambo', 'Junio Cesar Martinez']","['NAO', 'SIM']"
Curso de Formação Pré-Acadêmica: Equidade na Pós-Graduação,2012,2012,EXTENSAO,"['José Roberto Rambo', 'Paulo Alberto dos Santos Vieira', 'Mônica Josene Barbosa Pereira', 'Hellen Cristina de Souza']","['NAO', 'SIM', 'NAO', 'NAO']"
"Política pública na agricultura familiar matogrossense: uma análise do PAA em assentamentos nos municípios de Tangará da Serra, Juína e São José dos Quatro Marcos",2014,2017,PESQUISA,"['José Roberto Rambo', 'Gilmar Laforga', 'Maria Aparecida Anselmo Tarsitano', 'Raimundo Nonato Cunha de França', 'Sandro Benedito Sguarezi']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
Transferência de tecnologias de produção em fruticultura visando a fortalecimento da agricultura familiar em Tangará da Serra,2013,ATUAL,EXTENSAO,"['José Roberto Rambo', 'Willian Krause', 'Kelvin Shin-iti Kabeya', 'Tricia Costa Lima']","['NAO', 'SIM', 'NAO', 'NAO']"
