PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Avaliação do processo de secagem e produção de óleo essencial de guaco,2001,2002,PESQUISA,"['Ronicely Pereira da Rocha', 'Evandro de Castro Melo', 'Lauri Lourenço Radunz']","['NAO', 'SIM', 'NAO']"
EFEITO DA TEMPERATURA DE SECAGEM NA QUANTIDADE E QUALIDADE DO ÓLEO ESSENCIAL DE ALECRIM PIMENTA (Lippia sidoides Cham),2000,2001,PESQUISA,"['Ronicely Pereira da Rocha', 'Evandro de Castro Melo', 'Lauri Lourenço Radunz']","['NAO', 'SIM', 'NAO']"
Efeitos imediato e latente da metodologia STAP (Secagem com Temperatura Alta Programada) sobre o teor e a composição química do óleo essencial de capim-limão (Cymbopogon citratus (DC.) Stapf),2007,2011,PESQUISA,"['Ronicely Pereira da Rocha', 'Evandro de Castro Melo', 'Luiz Cláudio de Almeida Barbosa', 'Paulo Roberto Cecon']","['NAO', 'SIM', 'NAO', 'NAO']"
INFLUÊNCIA DO PROCESSO DE SECAGEM COM BOMBA DE CALOR NA QUALIDADE DOS PRINCÍPIOS ATIVOS DE PIMENTA-ROSA,2011,2012,PESQUISA,"['Ronicely Pereira da Rocha', 'Evandro de Castro Melo', 'Luiz Cláudio de Almeida Barbosa', 'Paulo Roberto Cecon']","['NAO', 'SIM', 'NAO', 'NAO']"
Variabilidade da temperatura e evaporação da água sob diferentes coberturas de solo e sua influência no Kc dual da cultura do milho,2016,ATUAL,PESQUISA,"['Ronicely Pereira da Rocha', 'Rivanildo Dallacort', 'Santino Seabra Júnior', 'Rafael Cesar Tieppo', 'Márcio Osvaldo Lima Magalhães', 'SANTI, ADALBERTO', 'Paulo Sérgio Lourenço de Freitas', 'Dejânia Vieira de Araújo', 'Anísio da Silva Nunes', 'Marco Antonio Camillo de Carvalho', 'João Danilo Barbieri', 'Cleonir Andrade Faria Júnior', 'Olaurildes Corrente']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
EFEITO DA TEMPERATURA DO AR SECAGEM SOBRE O TEOR E QUALIDADE DO ÓLEO ESSENCIAL DE PLANTAS MEDICINAIS CULTIVADAS NO ESTADO DE MATO GROSSO.,2016,ATUAL,PESQUISA,"['Ronicely Pereira da Rocha', 'Rivanildo Dallacort', 'Adalberto Santi', 'Márcio Osvaldo Lima Magalhães', 'Evandro de Castro Melo', 'Willian Krause']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Pesquisa e Geração de Conhecimento para Canola,2016,ATUAL,PESQUISA,"['Ronicely Pereira da Rocha', 'Márcio Osvaldo Lima Magalhães', 'Roberto Antonio Savelli Martinez', 'Astor Henrique Nied', 'Anísio da Silva Nunes', 'Marinez Cargnin-Stieler', 'Marice Cristine Vendrúscolo', 'Eletisanda das Neves', 'Anísio da Silva Nunes', 'Genei Antonio Dalmago', 'Anderson Santi', 'Gilberto Rocca da Cunha', 'Jorge Alberto Gouvêa', 'Elisson Stephanio Savi Pauletti', 'Cristian Maicol Plentz', 'Anderson Fernandez de Miranda']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Diversificação e ampliação da base produtiva da bacia do Alto Paraguai como estratégia inovadora na otimização dos sistemas agrícolas regionais agrícolas,2013,2016,PESQUISA,"['Ronicely Pereira da Rocha', 'Rivanildo Dallacort', 'Adalberto Santi', 'Rafael Cesar Tieppo', 'Cleonir Andrade Faria Júnior', 'Paulo Sérgio Lourenço de Freitas', 'William Fenner']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Viabilidade Agronômica da produção de oleaginosas para biocombustíveis,2008,2015,PESQUISA,"['Ronicely Pereira da Rocha', 'Márcio Osvaldo Lima Magalhães', 'Roberto Antonio Savelli Martinez', 'Astor Henrique Nied', 'Marinez Cargnin-Stieler', 'Eletisanda das Neves', 'Willian Marques Duarte']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
Desenvolvimento de sistemas de produção para o cultivo de plantas medicinais pela agricultura familiar em Tangará da Serra ? MT.,2017,ATUAL,EXTENSAO,"['Ronicely Pereira da Rocha', 'Willian Krause', 'Daniel Soares Alves', 'KELVIN SHIN-ITI KABEYA', 'APARECIDA DE FÁTIMA ALVES DE LIMA']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
Desenvolvimento de atividades práticas focadas em entender a importância do solo e seu papel na manutenção da homeostase do meio ambiente,2014,ATUAL,EXTENSAO,"['Ronicely Pereira da Rocha', 'Rivanildo Dallacort', 'Márcio Osvaldo Lima Magalhães', 'Roberto Antonio Savelli Martinez', 'Astor Henrique Nied', 'SANTI, ADALBERTO', 'Eletisandra das Neves', 'André Tavares de Vasconcelos', 'Cleonir Andrade Faria Júnior', 'Tatiane Maria de Amorim', 'Bianca Anjos de Souza', 'Raphael Fonseca Dias']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
