TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER
Doses e formas de aplicação de selênio na cultura da soja,2009,10.1590/S1413-70542009000300006,Inglês,Ciência e Agrotecnologia (UFLA),A2,1413-7054,"['Roberto Antonio Savelli Martinez', 'Rezende, Pedro Milanez de', 'Prof. Dr.Amauri Alves de Alvarenga', 'Messias José Bastos de Andrade', 'Passos, Alexandre Martins Abdão dos']","['1', '2', '3', '4', '5']"
ANÁLISES TEXTUROMÉTRICAS E MICROESTRUTURAIS DE PÃES FRANCESES CONTENDO FARINHA DE BATATA-DOCE,1995,,Português,Pesquisa Agropecuária Brasileira (1977. Impressa),B1,0100-204X,"['Roberto Antonio Savelli Martinez', 'Prof.Dr.Jose Cal Vidal', 'Jerzy Henryk Dobrzycki', 'Tassiana Sousa Padua']","['1', '2', '3', '4']"
. Cinetina e nitrato de potássio em características agronômicas de soja,2008,10.1590/S0100-204X2008000700018,Português,Pesquisa Agropecuária Brasileira (1977. Impressa),B1,0100-204X,"['Alexandre Martins Abdão dos Passos', 'Prof.Dr.Pedro Milanez de Rezende', 'Eudes de Arruda Carvalho', 'Roberto Antonio Savelli Martinez']","['1', '2', '3', '4']"
'DOSES E FORMAS DE APLICAÇÃO DE SELÊNIO NA PRODUTIVIDADE E OUTRAS CARACTERÍSTICAS AGRONÔMICAS DA SOJA [Glycine max (L.) Merril cv. Luziânia]',2011,,Português,Global Science and Technology,B5,1984-3801,"['Prof.Dr.Pedro Milanez de Rezende', 'Roberto Antonio Savelli Martinez', 'Passos, Alexandre Martins Abdão dos', 'BALIZA, D. P', 'CARVALHO EVERSON REIS', 'Fabricio William de Avila']","['1', '2', '3', '4', '5', '6']"
Fruit production and classification of four cherry tomato genotypes under an organic cropping system,2012,,Inglês,Idesia (Arica. Impresa),B1,0073-4675,"['João Batista de Campos Menezes', 'Cândido Alves da Costa', 'Regynaldo Arruda Sampaio', 'Hugo César Rodrigues Moreira Catão', 'Denilson de Oliveira Guilherme', 'Roberto Antonio Savelli Martinez']","['1', '2', '3', '4', '5', '6']"
ÉPOCAS DE SEMEADURA E CULTIVARES DE SOJA NA PRODUÇÃO DE FORRAGEM = THE SOWING DATE AND SOYBEAN CULTIVARS IN YIELD OF FORAGE,2012,,Português,Bioscience Journal (Online),B1,1981-3163,"['Pedro Milanez de Rezende', 'Everson Reis Carvalho', 'Alexandre Martins Abdão dos Passos', 'Roberto Antonio Savelli Martinez']","['1', '2', '3', '4']"
Fungicides and alternative products in the mycelial growth and germination control of Alternaria tomatophila,2013,10.4067/s0718-34292013000300004,Inglês,Idesia,B1,0718-3429,"['CATÃO, HUGO CÉSAR RODRIGUES MOREIRA', 'SALES, NILZA DE LIMA PEREIRA', 'AZEVEDO, DAIANA MARIA QUEIROZ', 'FLAVIO, NICOLETTA STEFÂNIA DIAS DA SILVA', 'MENEZES, JOÃO BATISTA DE CAMPOS', 'BARBOSA, LETÍCIA VIEIRA', 'Roberto Antonio Savelli Martinez']","['1', '2', '3', '4', '5', '6', '7']"
"Thermic sum and crop coefficient of canola (Brassica napus L.) for the region of Tangará da Serra, Mato Grosso State, Brazi",2014,,Inglês,"International Journal of Food, Agriculture and Environment (Print)",B2,1459-0255,"['Kássio De Marco', 'Rivanildo Dallacort', 'Adalberto Santi', 'Ricardo Shigueru Okumura', 'Mirian Hiroko Inoue', 'João Danilo Barbieri', 'Dejânia Vieira de Araujo', 'Roberto Antonio Savelli Martinez', 'Willian Fenner']","['1', '2', '3', '4', '5', '6', '7', '8', '9']"
ommon beans genotypes behavior cultivated in cerrado soils (savannah) of southern Tocantins,2015,10.14393/bj-v31n3a2015-26095,Português,Bioscience Journal (Online),B1,1981-3163,"['FIDELIS, RODRIGO RIBEIRO', 'SOUSA, SÉRGIO ALVES DE', 'Roberto Antonio Savelli Martinez', 'OLIVEIRA, TAYNAR COELHO DE', 'RAMOS, DANILO PEREIRA', 'TONELLO, LEILA PAULA']","['1', '2', '3', '4', '5', '6']"
&lt;b&gt;Anticipated selection for intrapopulation breeding of passion fruit&lt;/b&gt;,2017,10.4025/actasciagron.v39i2.31022,Inglês,ACTA SCIENTIARUM-AGRONOMY,A2,1807-8621,"['CAVALCANTE, NATAN RAMOS', 'KRAUSE, WILLIAN', 'VIANA, ALEXANDRE PIO', 'SILVA, CELICE ALEXANDRE', 'PORTO, KEITHI KARLA XAVIER', 'Roberto Antonio Savelli Martinez']","['1', '2', '3', '4', '5', '6']"
Common bean (Phaseolus vulgaris L.) cultivars performance grown during offseason in cerrado soils,2017,10.5897/ajar2016.11181,Inglês,AFRICAN JOURNAL OF AGRICULTURAL RESEARCH,B2,1991-637X,"['RODRIGO, RIBEIRO FIDELIS', 'TAYNAR, COELHO DE OLIVEIRA', 'SERGIO, ALVES DE SOUSA', 'Roberto Antonio Savelli Martinez', 'RAPHAEL, CAMPESTRINI', 'DANILO, PEREIRA RAMOS', 'DANILO, ALVES VELOSO', 'MANOEL, MOTA DOS SANTOS', 'KLEYCIANNE, RIBEIRO MARQUES']","['1', '2', '3', '4', '5', '6', '7', '8', '9']"
Influence of hydrogel use on soybean cultivation hydrical stress,2018,10.14393/BJ-v34n5a2018-39470,Português,Bioscience Journal,B1,1981-3163,"['FIDELIS, RODRIGO RIBEIRO', 'LOPES, MARILIA BARCELOS SOUZA', 'Roberto Antonio Savelli Martinez', 'MARQUES, KLEYCIANNE RIBEIRO', 'AGUIAR, RAIMUNDO WAGNER DE SOUZA', 'VELOSO, DANILO ALVES']","['1', '2', '3', '4', '5', '6']"
PHYSIOLOGICAL QUALITY OF RICE IN THE FUNCTION OF SELENIUM DOSES,2018,10.32404/rean.v5i3.1893,Português,REVISTA DE AGRICULTURA NEOTROPICAL,B4,2358-6303,"['FIDELIS, RODRIGO RIBEIRO', 'CAMPESTRINI, RAPHAEL', 'Roberto Antonio Savelli Martinez', 'TAVARES, TAYNAR COELHO DE OLIVEIRA', 'LOPES, MARÍLIA BARCELOS SOUZA']","['1', '2', '3', '4', '5']"
DETERMINAÇÃO DA PERDA DE PESO DE GRÃOS DE MILHO ARMAZENADOS ATRAVÉS DE DIFERENTES MÉTODOS,2017,10.18677/encibio_2017b22,Português,ENCICLOPÉDIA BIOSFERA,B5,1809-0583,"['NEVES, ELETISANDA', 'Roberto Antonio Savelli Martinez']","['1', '2']"
Performance of upland rice cultivars on cerrado soil,2018,,Inglês,Performance of upland rice cultivars on cerrado soil,B3,2446-8355,"['Rodrigo Ribeiro Fidelis', 'Leila Paula Tonello', 'taynar Coelho de Oliveira Tavares', 'kleycianne Ribeiro Marques', 'Sérgio Alves de Sousa', 'Roberto Antonio Savelli Martinez']","['1', '2', '3', '4', '5', '6']"
