ISSN	Titulo	Estrato	Classificação
1588-385X	ACTA BIOLOGICA SZEGEDIENSIS (PRINT)	B2	
1742-7061	ACTA BIOMATERIALIA	A1	
2236-0867	ACTA BIOMEDICA BRASILIENSIA	B3	
0392-4203	ACTA BIO-MEDICA DELL&APOS;ATENEO PARMENSE	A2	
1677-941X	ACTA BOTANICA BRASILICA	B1	
0102-3306	ACTA BOTANICA BRASÍLICA (IMPRESSO)	B1	
2526-4338	ACTA BRASILIENSIS	B4	
2526-432X	ACTA BRASILIENSIS	B4	
0102-8650	ACTA CIRÚRGICA BRASILEIRA (IMPRESSO)	A3	
1678-2674	ACTA CIRÚRGICA BRASILEIRA (ONLINE)	A3	
1909-9711	ACTA COLOMBIANA DE PSICOLOGIA	A1	
0123-9155	ACTA COLOMBIANA DE PSICOLOGIA	A1	
0188-8145	ACTA COMPORTAMENTALIA	A2	
2053-2296	ACTA CRYSTALLOGRAPHICA SECTION C: STRUCTURAL CHEMISTRY	B2	
2059-7983	ACTA CRYSTALLOGRAPHICA SECTION D	A2	
2178-2105	ACTA DE CIÊNCIAS E SAÚDE	B4	
2675-1208	ACTA ELIT SALUTIS	B4	
1843-066X	ACTA ENDOCRINOLOGICA (ONLINE)	B3	
0104-7795	ACTA FISIATRICA	B2	
2317-0190	ACTA FISIÁTRICA	B2	
2177-4307	ACTA GEOGRAFICA	A2	
1980-5772	ACTA GEOGRÁFICA (UFRR)	A2	
1895-6572	ACTA GEOPHYSICA	A3	
0065-1281	ACTA HISTOCHEMICA (PRINT)	A4	
0567-7572	ACTA HORTICULTURAE	B2	
2316-4093	ACTA IGUAZU	B4	
2179-975X	ACTA LIMNOLOGICA BRASILIENSIA (ONLINE)	B1	
1359-6454	ACTA MATERIALIA (OXFORD)	A1	
0001-5970	ACTA MECHANICA	A3	
2525-9350	ACTA MECHANÌCA ET MOBILITATEM (ONLINE)	C	
0044-6025	ACTA MEDICA IRANICA	B2	
1728-5917	ACTA MEDICA PERUANA	A3	
1689-0035	ACTA NEUROBIOLOGIAE EXPERIMENTALIS (ONLINE)	B2	
0300-9009	ACTA NEUROLOGICA BELGICA	A4	
0001-6314	ACTA NEUROLOGICA SCANDINAVICA	A2	
0001-6322	ACTA NEUROPATHOLOGICA	A1	
