ISSN	Titulo	Estrato	Classificação
0208-9068	ANNALES SOCIETATIS GEOLOGORUM POLONIAE	A4	
1593-5213	ANNALS OF GEOPHYSICS	A3	
0260-3055	ANNALS OF GLACIOLOGY	A1	
2214-9996	ANNALS OF GLOBAL HEALTH	A3	
2573-105X	ANNALS OF MARINE BIOLOGY AND RESEARCH	C	
2469-4460	ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS	A2	
2469-4452	ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS	A2	
0077-8923	ANNALS OF THE NEW YORK ACADEMY OF SCIENCES	A1	
0954-1020	ANTARCTIC SCIENCE (PRINT)	A3	
0003-6072	ANTONIE VAN LEEUWENHOEK (GEDRUKT)	A4	
1982-3908	ANUÁRIO DO INSTITUTO DE GEOCIÊNCIAS (ONLINE)	B2	
0101-9759	ANUÁRIO DO INSTITUTO DE GEOCIÊNCIAS (UFRJ. IMPRESSO)	B2	
0169-1317	APPLIED CLAY SCIENCE (PRINT)	A1	
2572-6846	APPLIED EARTH SCIENCE (ONLINE)	B1	
1785-0037	APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH	B2	
1589-1623	APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH (PRINT)	B2	
0306-2619	APPLIED ENERGY	A1	
0883-2927	APPLIED GEOCHEMISTRY	A2	
0143-6228	APPLIED GEOGRAPHY (SEVENOAKS)	A1	
1866-9298	APPLIED GEOMATICS	A3	
0937-9347	APPLIED MAGNETIC RESONANCE	B2	
2364-8228	APPLIED NETWORK SCIENCE	A3	
0168-9274	APPLIED NUMERICAL MATHEMATICS	A2	
0141-1187	APPLIED OCEAN RESEARCH	A2	
0969-8043	APPLIED RADIATION AND ISOTOPES	A2	
2076-3417	APPLIED SCIENCES	A3	
1568-4946	APPLIED SOFT COMPUTING (PRINT)	A1	
0003-7028	APPLIED SPECTROSCOPY	A2	
0570-4928	APPLIED SPECTROSCOPY REVIEWS (SOFTCOVER ED.)	A1	
2378-3184	AQUACULTURE & MARINE BIOLOGY	C	
0044-8486	AQUACULTURE (AMSTERDAM)	A1	
1869-7534	AQUACULTURE ENVIRONMENT INTERACTIONS	A3	
1873-5622	AQUACULTURE (ONLINE)	A1	
1355-557X	AQUACULTURE RESEARCH	A1	
1365-2109	AQUACULTURE RESEARCH (ONLINE)	A1	
0304-3770	AQUATIC BOTANY	A2	
1099-0755	AQUATIC CONSERVATION (ONLINE)	A2	
1052-7613	AQUATIC CONSERVATION (PRINT)	A2	
1386-2588	AQUATIC ECOLOGY (PRINT)	A2	
1818-5487	AQUATIC INVASIONS	A3	
0167-5427	AQUATIC MAMMALS	B1	
0948-3055	AQUATIC MICROBIAL ECOLOGY	A3	
2168-9148	AQUATIC SCIENCE AND TECHNOLOGY	C	
0166-445X	AQUATIC TOXICOLOGY	A1	
1878-5352	ARABIAN JOURNAL OF CHEMISTRY	A1	
1866-7538	ARABIAN JOURNAL OF GEOSCIENCES (INTERNET)	A4	
1866-7511	ARABIAN JOURNAL OF GEOSCIENCES (PRINT)	A4	
1132-6891	ARCHAEOFAUNA	B2	
1432-0703	ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY	A3	
0090-4341	ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY (PRINT)	A3	
1678-4162	ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA (ONLINE)	B1	
0374-5686	ARQUIVOS DE CIÊNCIAS DO MAR	B3	
1808-1657	ARQUIVOS DO INSTITUTO BIOLÓGICO (ONLINE)	B4	
2525-6084	ARQUIVOS DO MUSEU DE HISTÓRIA NATURAL E JARDIM BOTÂNICO DA UFMG	A3	
0976-3376	ASIAN JOURNAL OF SCIENCE AND TECHNOLOGY	C	
1531-1074	ASTROBIOLOGY (LARCHMONT)	A1	
0004-6337	ASTRONOMISCHE NACHRICHTEN (PRINT)	B1	
0004-6361	ASTRONOMY & ASTROPHYSICS (BERLIN. PRINT)	A1	
1432-0746	ASTRONOMY AND ASTROPHYSICS	A1	
1538-4365	ASTROPHYSICAL JOURNAL. SUPPLEMENT SERIES	A1	
0187-6236	ATMÓSFERA (MÉXICO)	B2	
2073-4433	ATMOSPHERE	A4	
2160-0422	ATMOSPHERIC AND CLIMATE SCIENCE (ONLINE)	B2	
2160-0414	ATMOSPHERIC AND CLIMATE SCIENCE (PRINT)	B2	
1680-7375	ATMOSPHERIC CHEMISTRY AND PHYSICS DISCUSSION (ONLINE)	C	
1680-7367	ATMOSPHERIC CHEMISTRY AND PHYSICS DISCUSSION (PRINT)	C	
1680-7324	ATMOSPHERIC CHEMISTRY AND PHYSICS (ONLINE)	A1	
1680-7316	ATMOSPHERIC CHEMISTRY AND PHYSICS (PRINT)	A1	
1352-2310	ATMOSPHERIC ENVIRONMENT	A1	
