ISSN	Titulo	Estrato	Classificação
1559-8276	AMERICAN JOURNAL OF LIFESTYLE MEDICINE	B2	
1552-4825	AMERICAN JOURNAL OF MEDICAL GENETICS. PART A	B2	
0250-8095	AMERICAN JOURNAL OF NEPHROLOGY	B1	
0889-5406	AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS	B1	
0002-9483	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY	B1	
0894-9115	AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION	A1	
1537-7385	AMERICAN JOURNAL OF PHYSICAL MEDICINE AND REHABILITATION	A1	
0193-1849	AMERICAN JOURNAL OF PHYSIOLOGY: ENDOCRINOLOGY AND METABOLISM	A1	
0193-1857	AMERICAN JOURNAL OF PHYSIOLOGY: GASTROINTESTINAL AND LIVER PHYSIOLOGY	B1	
0363-6135	AMERICAN JOURNAL OF PHYSIOLOGY. HEART AND CIRCULATORY PHYSIOLOGY	A2	
0363-6119	AMERICAN JOURNAL OF PHYSIOLOGY. REGULATORY, INTEGRATIVE AND COMPARATIVE PHYSIOLOGY	A2	
1522-1490	AMERICAN JOURNAL OF PHYSIOLOGY. REGULATORY, INTEGRATIVE AND COMPARATIVE PHYSIOLOGY	A2	
1557-4539	AMERICAN JOURNAL OF PLANT PHYSIOLOGY	C 	
0749-3797	AMERICAN JOURNAL OF PREVENTIVE MEDICINE	A1	
0090-0036	AMERICAN JOURNAL OF PUBLIC HEALTH (1971)	A1	
1073-449X	AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE	A1	
0363-5465	AMERICAN JOURNAL OF SPORTS MEDICINE	A1	
2330-8559	AMERICAN JOURNAL OF SPORTS SCIENCE	B5	
2525-314X	AMERICAN JOURNAL OF SPORTS TRAINING	B5	
1943-8141	AMERICAN JOURNAL OF TRANSLATIONAL RESEARCH	B1	
1438-2199	AMINO ACIDS (WIEN. INTERNET)	B1	
0939-4451	AMINO ACIDS (WIEN. PRINT)	B1	
0365-0596	ANAIS BRASILEIROS DE DERMATOLOGIA (IMPRESSO)	B2	
1806-4841	ANAIS BRASILEIROS DE DERMATOLOGIA (ONLINE)	B2	
0001-3765	ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO)	B2	
1609-9419	ANALES DE LA FACULTAD DE MEDICINA PERÚ ( ELETRONIC)	B3	
0003-2697	ANALYTICAL BIOCHEMISTRY (PRINT)	B1	
0301-4460	ANNALS OF HUMAN BIOLOGY	B2	
0364-5134	ANNALS OF NEUROLOGY	A1	
1082-720X	ANNALS OF NONINVASIVE ELECTROCARDIOLOGY	B2	
0250-6807	ANNALS OF NUTRITION & METABOLISM	A2	
1421-9697	ANNALS OF NUTRITION & METABOLISM (ONLINE)	A2	
2052-4374	ANNALS OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE	B1	
0148-7043	ANNALS OF PLASTIC SURGERY (PRINT)	B2	
2182-1143	ANNALS OF RESEARCH IN SPORT AND PHYSICAL ACTIVITY	B5	
2379-0571	ANNALS OF SPORTS MEDICINE AND RESEARCH	B5	
0890-5096	ANNALS OF VASCULAR SURGERY (PRINT)	B2	
0104-236X	ANOS 90 (UFRGS. IMPRESSO)	B5	
0066-4804	ANTIMICROBIAL AGENTS AND CHEMOTHERAPY (PRINT)	A2	
1523-0864	ANTIOXIDANTS & REDOX SIGNALLING	A1	
1982-8462	AO PEDA-LETRA (MACAÉ)	B5	
0268-7038	APHASIOLOGY (LONDON)	A2	
0195-6663	APPETITE (LONDON. PRINT)	B1	
0003-6870	APPLIED ERGONOMICS	A1	
2152-7385	APPLIED MATHEMATICS	B5	
2152-7393	APPLIED MATHEMATICS	B5	
2327-9095	APPLIED NEUROPSYCHOLOGY. ADULT	B1	
1715-5320	APPLIED PHYSIOLOGY, NUTRITION AND METABOLISM	A1	
1715-5320	APPLIED PHYSIOLOGY, NUTRITION AND METABOLISM (ONLINE)	A1	
1715-5312	APPLIED PHYSIOLOGY, NUTRITION AND METABOLISM (PRINT)	A1	
0142-7164	APPLIED PSYCHOLINGUISTICS (PRINT)	A1	
1090-0586	APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK	B1	
1871-2584	APPLIED RESEARCH IN QUALITY-OF-LIFE (PRINT)	B1	
1577-4015	APUNTS. EDUCACIÓN FÍSICA Y DEPORTES	B1	
1886-6581	APUNTS. MEDICINA DE L'ESPORT (ONLINE)	B1	
1643-8698	ARCHIVES OF BUDO	A2	
2300-8822	ARCHIVES OF BUDO SCIENCE OF MARTIAL ARTS AND EXTREME SPORTS	A2	
1806-938X	ARCHIVES OF CLINICAL PSYCHIATRY (SÃO PAULO)	B1	
2454-7077	ARCHIVES OF CURRENT RESEARCH INTERNATIONAL	B5	
2359-4292	ARCHIVES OF ENDOCRINOLOGY AND METABOLISM	A2	
1647-1652	ARCHIVES OF EXERCISE IN HEALTH AND DISEASE	B4	
0167-4943	ARCHIVES OF GERONTOLOGY AND GERIATRICS	A1	
0932-0067	ARCHIVES OF GYNECOLOGY AND OBSTETRICS	B1	
2317-3009	ARCHIVES OF HEALTH INVESTIGATION	B4	
1734-1922	ARCHIVES OF MEDICAL SCIENCE	B2	
0003-9969	ARCHIVES OF ORAL BIOLOGY	B1	
2455-1759	ARCHIVES OF OTOLARYNGOLOGY AND RHINOLOGY	B5	
0003-9993	ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION (PRINT)	A1	
1381-3455	ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY	B2	
2049-3258	ARCHIVES OF PUBLIC HEALTH	B2	
1016-5169	ARCHIVES OF THE TURKISH SOCIETY OF CARDIOLOGY	B2	
1668-3501	ARCHIVOS ARGENTIONOS DE PEDIATRIA	B2	
0212-8799	ARCHIVOS DE MEDICINA DEL DEPORTE	B1	
0004-0622	ARCHIVOS LATINOAMERICANOS DE NUTRICIÓN	B2	
1016-913X	ARETÉ (LIMA)	B3	
1984-4255	ARGUMENTOS: REVISTA DE FILOSOFIA (ONLINE)	B4	
2176-9575	ARGUMENTUM (VITÓRIA)	B4	
1677-9487	ARQ BRAS ENDOCRINOL METABOL	A2	
0066-782X	ARQUIVOS BRASILEIROS DE CARDIOLOGIA	A2	
0066-782X	ARQUIVOS BRASILEIROS DE CARDIOLOGIA (IMPRESSO)	A2	
1983-2451	ARQUIVOS BRASILEIROS DE CIÊNCIAS DA SAÚDE	B3	
0004-2730	ARQUIVOS BRASILEIROS DE ENDOCRINOLOGIA E METABOLOGIA (IMPRESSO)	A2	
1809-5267	ARQUIVOS BRASILEIROS DE PSICOLOGIA (ONLINE)	B3	
0004-2773	ARQUIVOS CATARINENSES DE MEDICINA (IMPRESSO)	B4	
1806-4280	ARQUIVOS CATARINENSES DE MEDICINA (ONLINE)	B4	
2318-3691	ARQUIVOS DE CIÊNCIAS DA SAÚDE	B3	
1415-076X	ARQUIVOS DE CIÊNCIAS DA SAÚDE DA UNIPAR (IMPRESSO)	B3	
1807-1325	ARQUIVOS DE CIÊNCIAS DA SAÚDE (FAMERP)	B3	
2317-7136	ARQUIVOS DE CIÊNCIAS DO ESPORTE	B4	
0004-2803	ARQUIVOS DE GASTROENTEROLOGIA (IMPRESSO)	B3	
0004-282X	ARQUIVOS DE NEURO-PSIQUIATRIA	A2	
0004-282X	ARQUIVOS DE NEURO-PSIQUIATRIA (IMPRESSO)	A2	
1809-9556	ARQUIVOS EM MOVIMENTO (UFRJ. ONLINE)	B4	
0101-6067	ARQUIVOS MÉDICOS DOS HOSPITAIS E DA FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA DE SÃO PAULO (IMPRESSO)	B4	
1809-3019	ARQUIVOS MÉDICOS DOS HOSPITAIS E DA FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA DE SÃO PAULO (ONLINE)	B4	
1980-2110	ARTE EDUCA	B5	
2151-464X	ARTHRITIS CARE & RESEARCH (PRINT)	A2	
1478-6354	ARTHRITIS RESEARCH & THERAPY (PRINT)	A1	
0749-8063	ARTHROSCOPY (PRINT)	B1	
1525-1594	ARTIFICIAL ORGANS (ONLINE)	B4	
2321-0893	ASIAN JOURNAL OF APPLIED SCIENCES	B5	
1975-2938	ASIAN JOURNAL OF EXERCISE AND SPORTS SCIENCE	B4	
1992-1454	ASIAN JOURNAL OF SCIENTIFIC RESEARCH	B3	
2008-000X	ASIAN JOURNAL OF SPORTS MEDICINE	B1	
2177-9333	ASSOBRAFIR CIÊNCIA	B3	
2241-7915	ATHENS JOURNAL OF SPORTS	B5	
0021-9150	ATHEROSCLEROSIS (AMSTERDAM)	A1	
2073-4433	ATMOSPHERE	B4	
1809-0354	ATOS DE PESQUISA EM EDUCAÇÃO (FURB)	B4	
2317-6431	AUDIOLOGY - COMMUNICATION RESEARCH (ACR)	B1	
1420-3030	AUDIOLOGY & NEURO-OTOLOGY (PRINT)	A1	
1535-2609	AUDIOLOGY TODAY	B3	
0210-2773	AULA ABIERTA	B4	
2379-8017	AUSTIN - CRITICAL CARE JOURNAL	B5	
2381-9103	AUSTIN JOURNAL OF CEREBROVASCULAR DISEASE & STROKE	B5	
2381-8948	AUSTIN JOURNAL OF MUSCULOSKELETAL DISORDERS	B5	
2472-369X	AUSTIN JOURNAL OF ORTHOPEDICS & RHEUMATOLOGY	B5	
1991-8178	AUSTRALIAN JOURNAL OF BASIC AND APPLIED SCIENCES	C 	
0004-9514	AUSTRALIAN JOURNAL OF PHYSIOTHERAPY	A1	
2165-7890	AUTISM-OPEN ACCESS	B5	
1568-9972	AUTOIMMUNITY REVIEWS	A1	
1566-0702	AUTONOMIC NEUROSCIENCE: BASIC & CLINICAL	B1	
1872-7484	AUTONOMIC NEUROSCIENCE: BASIC AND CLINICAL (ONLINE)	B1	
2175-3431	AVALIAÇÃO PSICOLÓGICA	B3	
1677-0471	AVALIAÇÃO PSICOLÓGICA (IMPRESSO)	B3	
1982-5765	AVALIAÇÃO: REVISTA DA AVALIAÇÃO DA EDUCAÇÃO SUPERIOR	B2	
2339-4374	AVANCES DE LA PSICOLOGÍA DEL DEPORTE EN IBEROAMÉRICA	B5	
1742-7835	BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY (PRINT)	B1	
0300-8428	BASIC RESEARCH IN CARDIOLOGY (PRINT)	A1	
0166-4328	BEHAVIOURAL BRAIN RESEARCH	A2	
0953-4180	BEHAVIOURAL NEUROLOGY	B1	
0327-9545	BIOCELL (MENDOZA)	B2	
0264-6021	BIOCHEMICAL JOURNAL (LONDON. 1984)	B1	
2168-9652	BIOCHEMISTRY AND PHYSIOLOGY	B5	
0925-4439	BIOCHIMICA ET BIOPHYSICA ACTA. MOLECULAR BASIS OF DISEASE	A2	
1099-8004	BIOLOGICAL RESEARCH FOR NURSING	B2	
0717-6287	BIOLOGICAL RESEARCH (ONLINE)	B2	
1177-5475	BIOLOGICS: TARGETS AND THERAPEUTICS	B3	
0860-021X	BIOLOGY OF SPORT	A2	
1752-0363	BIOMARKERS IN MEDICINE (PRINT)	B2	
1354-750X	BIOMARKERS (LONDON. PRINT)	B2	
2314-6141	BIOMED RESEARCH INTERNATIONAL	A1	
2314-6133	BIOMED RESEARCH INTERNATIONAL	A1	
2093-985X	BIOMEDICAL ENGINEERING LETTERS	B3	
1475-925X	BIOMEDICAL ENGINEERING ONLINE (ONLINE)	B2	
2080-2234	BIOMEDICAL HUMAN KINETICS	B4	
2057-1976	BIOMEDICAL PHYSICS & ENGINEERING EXPRESS	B5	
2049-9434	BIOMEDICAL REPORTS	B3	
1746-8094	BIOMEDICAL SIGNAL PROCESSING AND CONTROL (PRINT)	B2	
0753-3322	BIOMEDICINE & PHARMACOTHERAPY	B1	
1932-1058	BIOMICROFLUIDICS	B4	
1679-8074	BIOMOTRIZ (UNICRUZ)	B5	
0006-3525	BIOPOLYMERS (NEW YORK. PRINT)	B4	
1981-3163	BIOSCIENCE JOURNAL (ONLINE)	B2	
1516-3725	BIOSCIENCE JOURNAL (UFU. IMPRESSO)	B2	
0144-8463	BIOSCIENCE REPORTS	B1	
1398-5647	BIPOLAR DISORDERS (PRINT)	A1	
1470-0328	BJOG (OXFORD)	A1	
1471-0528	BJOG (OXFORD. ONLINE)	A1	
0803-7051	BLOOD PRESSURE	B1	
1359-5237	BLOOD PRESSURE MONITORING	B2	
1651-1999	BLOOD PRESSURE (ONLINE)	B1	
1421-9735	BLOOD PURIFICATION (ONLINE)	B2	
1471-2253	BMC ANESTHESIOLOGY (ONLINE)	B2	
1471-2261	BMC CARDIOVASCULAR DISORDERS (ONLINE)	B1	
1472-6882	BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE (ONLINE)	B1	
1471-2164	BMC GENOMICS	A2	
1471-2318	BMC GERIATRICS (ONLINE)	A2	
1472-6920	BMC MEDICAL EDUCATION (ONLINE)	B2	
1471-2474	BMC MUSCULOSKELETAL DISORDERS (ONLINE)	A1	
1471-2369	BMC NEPHROLOGY	B1	
1471-2377	BMC NEUROLOGY (ONLINE)	B1	
1472-684X	BMC PALLIATIVE CARE (ONLINE)	B1	
1471-2431	BMC PEDIATRICS (ONLINE)	B1	
1472-6793	BMC PHYSIOLOGY (ONLINE)	B2	
1471-2393	BMC PREGNANCY AND CHILDBIRTH (ONLINE)	B2	
1471-244X	BMC PSYCHIATRY (ONLINE)	B1	
1471-2458	BMC PUBLIC HEALTH (ONLINE)	A1	
1471-2466	BMC PULMONARY MEDICINE (ONLINE)	A2	
1756-0500	BMC RESEARCH NOTES	B3	
1472-6874	BMC WOMEN'S HEALTH (ONLINE)	B1	
2044-6055	BMJ OPEN	B1	
0214-7807	BOLETÍN DAS CIENCIAS	B5	
0889-1591	BRAIN, BEHAVIOR, AND IMMUNITY	A1	
2158-0014	BRAIN CONNECTIVITY	B2	
2168-975X	BRAIN DISORDERS & THERAPY	B5	
0269-9052	BRAIN INJURY (LONDON. PRINT)	A2	
0006-8993	BRAIN RESEARCH	A2	
0361-9230	BRAIN RESEARCH BULLETIN	A2	
1935-861X	BRAIN STIMULATION: BASIC, TRANSLATIONAL AND CLINICAL RESEARCH IN NEUROMODULATION	A1	
1863-2653	BRAIN STRUCTURE & FUNCTION (PRINT)	A1	
0524-2053	BRASÍLIA MÉDICA	B4	
0006-9248	BRATISLAVA MEDICAL JOURNAL	B2	
1808-8694	BRAZ J OTORHINOLARYNGOL	A2	
1516-8913	BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY (IMPRESSO)	B2	
1678-4324	BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY (ONLINE)	B2	
1806-4760	BRAZILIAN DENTAL JOURNAL	B3	
0104-0014	BRAZILIAN JOURNAL OF ANESTHESIOLOGY	B3	
1519-6984	BRAZILIAN JOURNAL OF BIOLOGY (IMPRESSO)	B2	
1678-4375	BRAZILIAN JOURNAL OF BIOLOGY (ONLINE)	B2	
1981-6324	BRAZILIAN JOURNAL OF BIOMOTRICITY	B3	
1678-9741	BRAZILIAN JOURNAL OF CARDIOVASCULAR SURGERY (ONLINE)	B2	
0104-9275	BRAZILIAN JOURNAL OF EPILEPSY AND CLINICAL NEUROPHYSIOLOGY	B3	
1414-431X	BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH	A2	
1414-431X	BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH	A2	
0100-879X	BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH (IMPRESSO)	A2	
1980-5586	BRAZILIAN JOURNAL OF MOTOR BEHAVIOR	B5	
1677-3217	BRAZILIAN JOURNAL OF ORAL SCIENCES (IMPRESSO)	B2	
1677-3225	BRAZILIAN JOURNAL OF ORAL SCIENCES (ONLINE)	B2	
1808-8694	BRAZILIAN JOURNAL OF OTORHINOLARYNGOLOGY (IMPRESSO)	A2	
1808-8686	BRAZILIAN JOURNAL OF OTORHINOLARYNGOLOGY (ONLINE)	A2	
2175-9790	BRAZILIAN JOURNAL OF PHARMACEUTICAL SCIENCES (ONLINE)	B2	
1809-4570	BRAZILIAN JOURNAL OF RHEUMATOLOGY	A2	
1678-4456	Brazilian Journal of Veterinary Research and Animal Science (Online)	B4	
1806-8324	BRAZILIAN ORAL RESEARCH	B1	
1807-3107	BRAZILIAN ORAL RESEARCH	B1	
0007-070X	BRITISH FOOD JOURNAL (1966)	B2	
2231-0614	BRITISH JOURNAL OF MEDICINE AND MEDICAL RESEARCH	B5	
1747-0307	BRITISH JOURNAL OF NEUROSCIENCE NURSING	B4	
0007-1145	BRITISH JOURNAL OF NUTRITION	B1	
1476-5381	BRITISH JOURNAL OF PHARMACOLOGY	A2	
0306-3674	BRITISH JOURNAL OF SPORTS MEDICINE	A1	
1351-010X	BUILDING ACOUSTICS	B3	
0305-4179	BURNS (OXFORD)	B1	
2316-915X	CAD. NATUROL. TERAP. COMPLEM.	B4	
2318-5104	CADERNO DE EDUCAÇÃO FÍSICA E ESPORTE	B4	
1676-2533	CADERNO DE EDUCAÇÃO FÍSICA (UNIOESTE. IMPRESSO)	B4	
2316-3143	CADERNO DE GRADUAÇÃO - CIÊNCIAS HUMANAS E SOCIAIS (ONLINE)	B5	
1677-6976	CADERNO VIRTUAL DE TURISMO (UFRJ)	B4	
1984-2147	CADERNOS BRASILEIROS DE SAÚDE MENTAL	B4	
2358-8306	CADERNOS DE EDUCAÇÃO, SAÚDE E FISIOTERAPIA	B4	
2178-079X	CADERNOS DE EDUCAÇÃO -UFPEL (ONLINE)	B5	
2175-3962	CADERNOS DE FORMAÇÃO RBCE	B5	
