Title,Type,ISSN,ISSN_A,ISSN_B,SJR,HINDEX,JCR
Ca-A Cancer Journal for Clinicians,journal,"15424863, 00079235",15424863, 00079235,145.004,223,145.004
MMWR Recommendations and Reports,journal,"10575987, 15458601",10575987, 15458601,41.754,155,41.754
Nature Reviews Molecular Cell Biology,journal,"14710072, 14710080",14710072, 14710080,37.353,531,37.353
Quarterly Journal of Economics,journal,"00335533, 15314650",00335533, 15314650,35.995,322,35.995
Nature Reviews Drug Discovery,journal,"14741784, 14741776",14741784, 14741776,30.506,412,30.506
Nature Reviews Clinical Oncology,journal,"17594782, 17594774",17594782, 17594774,28.675,238,28.675
American Economic Review,journal,"19447981, 00028282",19447981, 00028282,25.102,380,25.102
Nature Reviews Cancer,journal,"1474175X, 14741768",1474175X, 14741768,24.378,527,24.378
Journal of Finance,journal,"00221082, 15406261",00221082, 15406261,22.836,370,22.836
Foundations and Trends in Machine Learning,journal,"19358245, 19358237",19358245, 19358237,22.797,42,22.797
Cell,journal,"00928674, 10974172",00928674, 10974172,22.612,925,22.612
Econometrica,journal,"00129682, 14680262",00129682, 14680262,21.091,231,21.091
Nature Reviews Materials,journal,20588437,20588437,,19.43,215,19.43
Review of Economic Studies,journal,"00346527, 1467937X",00346527, 1467937X,19.166,177,19.166
New England Journal of Medicine,journal,"00284793, 15334406",00284793, 15334406,19.076,1231,19.076
Annals of Oncology,journal,"15698041, 09237534",15698041, 09237534,19.072,311,19.072
Cancer Cell,journal,"15356108, 18783686",15356108, 18783686,19.027,416,19.027
Nature Biotechnology,journal,"15461696, 10870156",15461696, 10870156,19.006,531,19.006
World Psychiatry,journal,17238617,17238617,,18.419,153,18.419
Nature Medicine,journal,"1546170X, 10788956",1546170X, 10788956,18.333,653,18.333
Nature,journal,"14764687, 00280836",14764687, 00280836,18.288,1442,18.288
Reviews of Modern Physics,journal,"00346861, 15390756",00346861, 15390756,18.08,399,18.08
Nature Reviews Disease Primers,journal,2056676X,2056676X,,17.995,210,17.995
Journal of Financial Economics,journal,0304405X,0304405X,,17.669,331,17.669
Nature Energy,journal,20587546,20587546,,17.599,259,17.599
Nature Reviews Immunology,journal,"14741741, 14741733",14741741, 14741733,17.458,486,17.458
Nature Methods,journal,"15487091, 15487105",15487091, 15487105,17.251,408,17.251
Journal of Political Economy,journal,"00223808, 1537534X",00223808, 1537534X,17.087,225,17.087
Nature Genetics,journal,"10614036, 15461718",10614036, 15461718,16.586,660,16.586
Review of Financial Studies,journal,"14657368, 08939454",14657368, 08939454,16.546,250,16.546
Chemical Reviews,journal,"15206890, 00092665",15206890, 00092665,16.455,873,16.455
Annual Review of Immunology,book series,"15453278, 07320582",15453278, 07320582,16.428,337,16.428
Nature Reviews Genetics,journal,"14710056, 14710064",14710056, 14710064,16.364,439,16.364
National Vital Statistics Reports,journal,"15518922, 15518930",15518922, 15518930,15.519,120,15.519
MMWR Surveillance Summaries,journal,"15458636, 15460738",15458636, 15460738,15.326,119,15.326
Nature Reviews Methods Primers,journal,26628449,26628449,,15.026,67,15.026
Nature Nanotechnology,journal,"17483387, 17483395",17483387, 17483395,14.612,444,14.612
Living Reviews in Relativity,journal,"14338351, 23673613",14338351, 23673613,14.562,101,14.562
Academy of Management Review,journal,03637425,03637425,,14.402,320,14.402
Nature Materials,journal,"14764660, 14761122",14764660, 14761122,14.204,583,14.204
IEEE Communications Surveys and Tutorials,journal,1553877X,1553877X,,14.184,287,14.184
Nature Catalysis,journal,25201158,25201158,,14.132,162,14.132
Academy of Management Annals,journal,"19416520, 19416067",19416520, 19416067,13.877,119,13.877
Nature Reviews Microbiology,journal,"17401534, 17401526",17401534, 17401526,13.861,393,13.861
Annual Review of Psychology,journal,"00664308, 15452085",00664308, 15452085,13.786,298,13.786
American Economic Journal: Macroeconomics,journal,"19457707, 19457715",19457707, 19457715,13.528,88,13.528
Nature Reviews Earth and Environment,journal,2662138X,2662138X,,13.465,91,13.465
Nature Reviews Chemistry,journal,23973358,23973358,,13.441,131,13.441
Journal of Marketing,journal,"15477185, 00222429",15477185, 00222429,13.394,296,13.394
Journal of Economic Literature,journal,00220515,00220515,,12.749,189,12.749
Annual Review of Astronomy and Astrophysics,book series,"15454282, 00664146",15454282, 00664146,12.736,220,12.736
Annual Review of Organizational Psychology and Organizational Behavior,journal,23270608,23270608,,12.191,86,12.191
The Lancet Diabetes and Endocrinology,journal,"22138595, 22138587",22138595, 22138587,12.19,189,12.19
Annual Review of Pathology: Mechanisms of Disease,journal,"15534006, 15534014",15534006, 15534014,12.185,156,12.185
Journal of Econometrics,journal,"03044076, 18726895",03044076, 18726895,12.168,198,12.168
Physiological Reviews,journal,"15221210, 00319333",15221210, 00319333,12.167,401,12.167
Immunity,journal,"10974180, 10747613",10974180, 10747613,12.163,475,12.163
Signal Transduction and Targeted Therapy,journal,"20593635, 20959907",20593635, 20959907,12.135,161,12.135
The Lancet,journal,"01406736, 1474547X",01406736, 1474547X,12.113,936,12.113
Cell Metabolism,journal,"15504131, 19327420",15504131, 19327420,11.989,368,11.989
Nature Cancer,journal,26621347,26621347,,11.941,81,11.941
The Lancet Neurology,journal,"14744465, 14744422",14744465, 14744422,11.729,379,11.729
MMWR supplements,journal,"23808942, 23808950",23808942, 23808950,11.672,30,11.672
Nature Photonics,journal,17494885,17494885,,11.546,404,11.546
Chemical Society Reviews,journal,"03060012, 14604744",03060012, 14604744,11.467,673,11.467
The Lancet Gastroenterology and Hepatology,journal,24681253,24681253,,11.398,123,11.398
eLight,journal,"26628643, 20971710",26628643, 20971710,11.392,32,11.392
The Lancet Oncology,journal,"14702045, 14745488",14702045, 14745488,11.319,432,11.319
Journal of Clinical Oncology,journal,"15277755, 0732183X",15277755, 0732183X,11.205,646,11.205
Nature Neuroscience,journal,"10976256, 15461726",10976256, 15461726,11.197,496,11.197
Nature Electronics,journal,25201131,25201131,,11.082,131,11.082
Joule,journal,25424351,25424351,,10.868,221,10.868
Kidney International Supplements,journal,"21571716, 21571724",21571716, 21571724,10.788,54,10.788
Nature Reviews Cardiology,journal,"17595010, 17595002",17595010, 17595002,10.662,201,10.662
Journal of Hepatology,journal,"16000641, 01688278",16000641, 01688278,10.575,319,10.575
Reviews of Geophysics,journal,"19449208, 87551209",19449208, 87551209,10.546,207,10.546
Energy and Environmental Science,journal,"17545692, 17545706",17545692, 17545706,10.529,466,10.529
Academy of Management Journal,journal,00014273,00014273,,10.528,396,10.528
Science,journal,"10959203, 00368075",10959203, 00368075,10.416,1382,10.416
Administrative Science Quarterly,journal,"00018392, 19303815",00018392, 19303815,10.393,218,10.393
Nature Immunology,journal,"15292908, 15292916",15292908, 15292916,10.39,452,10.39
Handbook of Industrial Organization,book series,1573448X,1573448X,,10.234,13,10.234
Journal of Hematology and Oncology,journal,17568722,17568722,,10.192,171,10.192
Organizational Research Methods,journal,"15527425, 10944281",15527425, 10944281,10.181,148,10.181
Strategic Management Journal,journal,"10970266, 01432095",10970266, 01432095,10.176,351,10.176
Nature Biomedical Engineering,journal,2157846X,2157846X,,10.105,140,10.105
Nature Reviews Gastroenterology and Hepatology,journal,"17595045, 17595053",17595045, 17595053,9.911,211,9.911
Nature Reviews Physics,journal,25225820,25225820,,9.803,87,9.803
Annual Review of Condensed Matter Physics,journal,"19475454, 19475462",19475454, 19475462,9.795,96,9.795
NBER Macroeconomics Annual,book series,"15372642, 08893365",15372642, 08893365,9.76,71,9.76
eScience,journal,"20972431, 26671417",20972431, 26671417,9.726,63,9.726
Morbidity and Mortality Weekly Report,journal,"01492195, 1545861X",01492195, 1545861X,9.559,274,9.559
Annual Review of Biochemistry,book series,"15454509, 00664154",15454509, 00664154,9.52,332,9.52
Astronomy and Astrophysics Review,journal,"09354956, 14320754",09354956, 14320754,9.465,84,9.465
Nature Reviews Neuroscience,journal,"14710048, 1471003X",14710048, 1471003X,9.331,493,9.331
Cell Stem Cell,journal,"19345909, 18759777",19345909, 18759777,9.313,316,9.313
Molecular Cancer,journal,14764598,14764598,,9.263,222,9.263
Endocrine Reviews,journal,"19457189, 0163769X",19457189, 0163769X,9.175,317,9.175
Annals of Mathematics Studies,book series,00662313,00662313,,9.135,26,9.135
Acta Mathematica,journal,00015962,00015962,,9.069,80,9.069
Molecular Cell,journal,"10974164, 10972765",10974164, 10972765,9.051,459,9.051
Journal of the American College of Cardiology,journal,"15583597, 07351097",15583597, 07351097,9.015,512,9.015
Gut,journal,"14683288, 00175749",14683288, 00175749,8.874,364,8.874
Advanced Materials,journal,"09359648, 15214095",09359648, 15214095,8.851,675,8.851
Cell Research,journal,"17487838, 10010602",17487838, 10010602,8.74,232,8.74
Psychological Bulletin,journal,"00332909, 19391455",00332909, 19391455,8.696,379,8.696
Circulation,journal,"00097322, 15244539",00097322, 15244539,8.668,691,8.668
Journal of Management,journal,"01492063, 15571211",01492063, 15571211,8.636,296,8.636
Annals of Mathematics,journal,0003486X,0003486X,,8.627,145,8.627
American Economic Journal: Applied Economics,journal,"19457790, 19457782",19457790, 19457782,8.597,117,8.597
Progress in Materials Science,journal,"18732208, 00796425",18732208, 00796425,8.566,255,8.566
Journal of Consumer Research,journal,"00935301, 15375277",00935301, 15375277,8.562,234,8.562
European Urology,journal,"18737560, 03022838",18737560, 03022838,8.529,274,8.529
The Lancet Public Health,journal,24682667,24682667,,8.408,106,8.408
Journal of Accounting Research,journal,"1475679X, 00218456",1475679X, 00218456,8.396,179,8.396
Advanced Energy Materials,journal,"16146832, 16146840",16146832, 16146840,8.378,355,8.378
JAMA Oncology,journal,"23742445, 23742437",23742445, 23742437,8.377,193,8.377
Annual Review of Public Health,journal,"01637525, 15452093",01637525, 15452093,8.291,189,8.291
Journal of Economic Perspectives,journal,08953309,08953309,,8.262,239,8.262
Annual Review of Fluid Mechanics,book series,"15454479, 00664189",15454479, 00664189,8.258,231,8.258
Annual Review of Plant Biology,journal,"15452123, 15435008",15452123, 15435008,8.258,307,8.258
Review of Finance,journal,"1573692X, 15723097",1573692X, 15723097,8.22,83,8.22
Science Immunology,journal,24709468,24709468,,8.22,123,8.22
Innovation,journal,26666758,26666758,,8.218,55,8.218
Nano-Micro Letters,journal,"23116706, 21505551",23116706, 21505551,8.188,146,8.188
Annual Review of Economics,journal,"19411383, 19411391",19411383, 19411391,8.094,84,8.094
Nature Climate Change,journal,"17586798, 1758678X",17586798, 1758678X,8.046,296,8.046
Progress in Energy and Combustion Science,journal,03601285,03601285,,8.031,243,8.031
Organization Science,journal,"15265455, 10477039",15265455, 10477039,8.026,294,8.026
Annual Review of Clinical Psychology,journal,"15485951, 15485943",15485951, 15485943,8.021,158,8.021
Nature Reviews Bioengineering,journal,27316092,27316092,,7.993,27,7.993
Advances in Optics and Photonics,journal,19438206,19438206,,7.982,91,7.982
Journal of Thoracic Oncology,journal,"15561380, 15560864",15561380, 15560864,7.948,190,7.948
American Economic Journal: Economic Policy,journal,"19457731, 1945774X",19457731, 1945774X,7.94,97,7.94
Nature Reviews Endocrinology,journal,"17595037, 17595029",17595037, 17595029,7.884,224,7.884
Journal of Monetary Economics,journal,03043932,03043932,,7.872,158,7.872
Annual Review of Physiology,book series,"00664278, 15451585",00664278, 15451585,7.82,246,7.82
Electrochemical Energy Reviews,journal,"25208136, 25208489",25208136, 25208489,7.79,76,7.79
Nucleic Acids Research,journal,"03051048, 13624962",03051048, 13624962,7.776,675,7.776
Nature Cell Biology,journal,"14764679, 14657392",14764679, 14657392,7.711,420,7.711
Marketing Science,journal,"07322399, 1526548X",07322399, 1526548X,7.543,159,7.543
Nature Metabolism,journal,25225812,25225812,,7.529,92,7.529
Journal of Accounting and Economics,journal,01654101,01654101,,7.505,197,7.505
Journal of the European Economic Association,journal,"15424774, 15424766",15424774, 15424766,7.503,125,7.503
The Lancet Psychiatry,journal,"22150374, 22150366",22150374, 22150366,7.458,160,7.458
Living Reviews in Solar Physics,journal,"16144961, 23673648",16144961, 23673648,7.431,74,7.431
Review of Economics and Statistics,journal,"00346535, 15309142",00346535, 15309142,7.425,211,7.425
Interdisciplinary Materials,journal,"2767441X, 27674401",2767441X, 27674401,7.351,34,7.351
Nature Reviews Nephrology,journal,"1759507X, 17595061",1759507X, 17595061,7.309,177,7.309
Foundations and Trends in Signal Processing,journal,"19328346, 19328354",19328346, 19328354,7.305,22,7.305
Nature Sustainability,journal,23989629,23989629,,7.292,146,7.292
Cancer Discovery,journal,"21598274, 21598290",21598274, 21598290,7.283,250,7.283
Gastroenterology,journal,"15280012, 00165085",15280012, 00165085,7.195,482,7.195
Nature Physics,journal,17452473,17452473,,7.125,349,7.125
Annual Review of Neuroscience,journal,"0147006X, 15454126",0147006X, 15454126,7.112,269,7.112
Nature Aging,journal,26628465,26628465,,7.081,51,7.081
Cell Host and Microbe,journal,"19346069, 19313128",19346069, 19313128,7.067,255,7.067
Nature Reviews Psychology,journal,27310574,27310574,,7.064,33,7.064
Materials Science and Engineering R: Reports,journal,0927796X,0927796X,,7.056,182,7.056
Journal of the American Mathematical Society,journal,"10886834, 08940347",10886834, 08940347,7.033,116,7.033
IEEE Journal on Selected Areas in Communications,journal,07338716,07338716,,7.023,274,7.023
Neuro-Oncology,journal,"15228517, 15235866",15228517, 15235866,6.974,178,6.974
Journal of Marketing Research,journal,"00222437, 15477193",00222437, 15477193,6.961,212,6.961
Advances in Methods and Practices in Psychological Science,journal,"25152459, 25152467",25152459, 25152467,6.947,49,6.947
Annual Review of Political Science,book series,"10942939, 15451577",10942939, 15451577,6.903,138,6.903
Journal of the Academy of Marketing Science,journal,"00920703, 15527824",00920703, 15527824,6.896,221,6.896
Nature Microbiology,journal,20585276,20585276,,6.893,157,6.893
Entrepreneurship Theory and Practice,journal,"10422587, 15406520",10422587, 15406520,6.876,212,6.876
Organization Theory,journal,26317877,26317877,,6.872,33,6.872
The Lancet Digital Health,journal,25897500,25897500,,6.838,85,6.838
Journal of Applied Psychology,journal,"19391854, 00219010",19391854, 00219010,6.803,353,6.803
ACS Energy Letters,journal,23808195,23808195,,6.799,223,6.799
Annual Review of Medicine,journal,"1545326X, 00664219",1545326X, 00664219,6.794,182,6.794
Annual Review of Cell and Developmental Biology,book series,"15308995, 10810706",15308995, 10810706,6.788,247,6.788
The Lancet Respiratory Medicine,journal,"22132619, 22132600",22132619, 22132600,6.788,197,6.788
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,journal,"16181913, 00738301",16181913, 00738301,6.783,52,6.783
Neuron,journal,"10974199, 08966273",10974199, 08966273,6.755,548,6.755
Science Translational Medicine,journal,"19466234, 19466242",19466234, 19466242,6.722,303,6.722
Nature Chemistry,journal,"17554330, 17554349",17554330, 17554349,6.71,308,6.71
Clinical Psychology Review,journal,"18737811, 02727358",18737811, 02727358,6.617,269,6.617
Acta Numerica,journal,"14740508, 09624929",14740508, 09624929,6.61,91,6.61
Pharmacological Reviews,journal,"15210081, 00316997",15210081, 00316997,6.603,264,6.603
Journal of Human Resources,journal,"15488004, 0022166X",15488004, 0022166X,6.588,129,6.588
Annual Review of Marine Science,journal,"19410611, 19411405",19410611, 19411405,6.571,133,6.571
Diabetes Care,journal,"19355548, 01495992",19355548, 01495992,6.566,433,6.566
Fungal Diversity,journal,"15602745, 18789129",15602745, 18789129,6.546,136,6.546
Annual Review of Genetics,book series,"15452948, 00664197",15452948, 00664197,6.455,208,6.455
Physical Review X,journal,21603308,21603308,,6.415,198,6.415
Journal of Labor Economics,journal,"0734306X, 15375307",0734306X, 15375307,6.404,136,6.404
Cancer Communications,journal,25233548,25233548,,6.403,94,6.403
The Lancet Planetary Health,journal,25425196,25425196,,6.386,90,6.386
Innovation Geoscience,journal,29598753,29598753,,6.384,2,6.384
American Journal of Political Science,journal,"00925853, 15405907",00925853, 15405907,6.28,215,6.28
International Journal of Information Management,journal,02684012,02684012,,6.26,196,6.26
Qualitative Research in Psychology,journal,"14780895, 14780887",14780895, 14780887,6.248,56,6.248
Proceedings of the IEEE,journal,"15582256, 00189219",15582256, 00189219,6.247,339,6.247
Cell Genomics,journal,2666979X,2666979X,,6.238,31,6.238
JAMA Neurology,journal,"21686157, 21686149",21686157, 21686149,6.237,284,6.237
Journal of Business Venturing,journal,08839026,08839026,,6.234,235,6.234
iMeta,journal,"2770596X, 27705986",2770596X, 27705986,6.223,28,6.223
Nature Structural and Molecular Biology,journal,"15459993, 15459985",15459993, 15459985,6.187,310,6.187
Inventiones Mathematicae,journal,"00209910, 14321297",00209910, 14321297,6.183,132,6.183
Nano Research Energy,journal,"27910091, 27908119",27910091, 27908119,6.16,40,6.16
Progress in Polymer Science,journal,00796700,00796700,,6.089,346,6.089
Nature Food,journal,26621355,26621355,,6.088,76,6.088
Analytic Methods in Accident Research,journal,22136657,22136657,,6.076,63,6.076
Annual Review of Financial Economics,journal,"19411367, 19411375",19411367, 19411375,6.062,49,6.062
Journal of Service Research,journal,"10946705, 15527379",10946705, 15527379,6.011,156,6.011
Chem,journal,"24519308, 24519294",24519308, 24519294,6.01,167,6.01
Nature Water,journal,27316084,27316084,,5.962,27,5.962
Science Robotics,journal,24709476,24709476,,5.94,122,5.94
JAMA Cardiology,journal,"23806583, 23806591",23806583, 23806591,5.936,127,5.936
Cellular and Molecular Immunology,journal,"20420226, 16727681",20420226, 16727681,5.916,135,5.916
Annual Review of Earth and Planetary Sciences,book series,00846597,00846597,,5.885,187,5.885
Nature Machine Intelligence,journal,25225839,25225839,,5.876,94,5.876
The Lancet Global Health,journal,"2572116X, 2214109X",2572116X, 2214109X,5.87,153,5.87
Nature Protocols,journal,"17502799, 17542189",17502799, 17542189,5.854,320,5.854
Psychological Science in the Public Interest,journal,"21600031, 15291006",21600031, 15291006,5.852,62,5.852
Progress in Retinal and Eye Research,journal,"13509462, 18731635",13509462, 18731635,5.838,200,5.838
Journal of Experimental Medicine,journal,"00221007, 15409538",00221007, 15409538,5.834,503,5.834
Nature Reviews Neurology,journal,"17594766, 17594758",17594766, 17594758,5.828,225,5.828
Blood,journal,"15280020, 00064971",15280020, 00064971,5.823,540,5.823
Review of Accounting Studies,journal,"15737136, 13806653",15737136, 13806653,5.817,107,5.817
Cement and Concrete Research,journal,00088846,00088846,,5.815,315,5.815
ACM Computing Surveys,journal,"03600300, 15577341",03600300, 15577341,5.797,232,5.797
Educational Psychologist,journal,"15326985, 00461520",15326985, 00461520,5.794,163,5.794
Energy Storage Materials,journal,24058297,24058297,,5.791,185,5.791
JAMA Psychiatry,journal,"21686238, 2168622X",21686238, 2168622X,5.755,417,5.755
Materials Today,journal,"13697021, 18734103",13697021, 18734103,5.755,244,5.755
Physics Reports,journal,03701573,03701573,,5.735,328,5.735
Annals of the Rheumatic Diseases,journal,"00034967, 14682060",00034967, 14682060,5.731,300,5.731
Management Science,journal,"00251909, 15265501",00251909, 15265501,5.72,303,5.72
Genome Biology,journal,"1474760X, 14747596",1474760X, 14747596,5.71,319,5.71
Journal of the National Cancer Institute,journal,"14602105, 00278874",14602105, 00278874,5.703,394,5.703
Carbon Energy,journal,26379368,26379368,,5.701,73,5.701
Annual Review of Environment and Resources,book series,"15452050, 15435938",15452050, 15435938,5.7,156,5.7
InfoMat,journal,25673165,25673165,,5.683,86,5.683
Reports on Progress in Physics,journal,"13616633, 00344885",13616633, 00344885,5.666,259,5.666
National Center for Health Statistics Data Brief,journal,"19414927, 19414935",19414927, 19414935,5.63,99,5.63
Clinical Microbiology Reviews,journal,"08938512, 10986618",08938512, 10986618,5.594,340,5.594
International Journal of Machine Tools and Manufacture,journal,08906955,08906955,,5.577,203,5.577
European Journal of Heart Failure,journal,"13889842, 18790844",13889842, 18790844,5.559,185,5.559
Hepatology,journal,"02709139, 15273350",02709139, 15273350,5.557,415,5.557
Journal of the American Chemical Society,journal,"15205126, 00027863",15205126, 00027863,5.554,734,5.554
Angewandte Chemie - International Edition,journal,"14337851, 15213773",14337851, 15213773,5.55,667,5.55
Nature Human Behaviour,journal,23973374,23973374,,5.537,113,5.537
American Political Science Review,journal,"15375943, 00030554",15375943, 00030554,5.532,215,5.532
Nature Chemical Biology,journal,"15524469, 15524450",15524469, 15524450,5.521,272,5.521
Molecular Plant,journal,"16742052, 17529867",16742052, 17529867,5.519,178,5.519
JNCCN Journal of the National Comprehensive Cancer Network,journal,"15401413, 15401405",15401413, 15401405,5.514,162,5.514
Nature Reviews Rheumatology,journal,"17594790, 17594804",17594790, 17594804,5.507,198,5.507
Personality and Social Psychology Review,journal,"10888683, 15327957",10888683, 15327957,5.493,194,5.493
Molecular Neurodegeneration,journal,17501326,17501326,,5.488,126,5.488
Journal of Management Studies,journal,"00222380, 14676486",00222380, 14676486,5.465,233,5.465
Trends in Cell Biology,journal,"09628924, 18793088",09628924, 18793088,5.455,271,5.455
The Lancet Infectious Diseases,journal,"14744457, 14733099",14744457, 14733099,5.446,304,5.446
Advanced Functional Materials,journal,1616301X,1616301X,,5.439,428,5.439
Accounts of Chemical Research,journal,"00014842, 15204898",00014842, 15204898,5.433,472,5.433
JACC: Cardiovascular Imaging,journal,"1936878X, 18767591",1936878X, 18767591,5.426,169,5.426
Personnel Psychology,journal,"00315826, 17446570",00315826, 17446570,5.414,175,5.414
Nature Synthesis,journal,27310582,27310582,,5.403,41,5.403
Leadership Quarterly,journal,10489843,10489843,,5.393,202,5.393
Perspectives on Psychological Science,journal,"17456916, 17456924",17456916, 17456924,5.393,196,5.393
Protein and Cell,journal,"16748018, 1674800X",16748018, 1674800X,5.392,104,5.392
Economic Journal,journal,"14680297, 00130133",14680297, 00130133,5.371,194,5.371
Human Reproduction Update,journal,"14602369, 13554786",14602369, 13554786,5.357,227,5.357
JAMA,journal,"15383598, 00987484",15383598, 00987484,5.352,794,5.352
PRX Quantum,journal,26913399,26913399,,5.341,62,5.341
GigaScience,journal,2047217X,2047217X,,5.314,98,5.314
Drug Resistance Updates,journal,"13687646, 15322084",13687646, 15322084,5.282,139,5.282
American Journal of Psychiatry,journal,"0002953X, 15357228",0002953X, 15357228,5.27,405,5.27
Annual Review of Sociology,book series,"03600572, 15452115",03600572, 15452115,5.262,216,5.262
The Lancet Microbe,journal,26665247,26665247,,5.262,53,5.262
American Economic Journal: Microeconomics,journal,"19457669, 19457685",19457669, 19457685,5.225,58,5.225
JACC: Heart Failure,journal,"22131787, 22131779",22131787, 22131779,5.218,118,5.218
Computers and Education: Artificial Intelligence,journal,2666920X,2666920X,,5.217,51,5.217
"Annual Review of Ecology, Evolution, and Systematics",book series,1543592X,1543592X,,5.214,254,5.214
Strategic Organization,journal,"1741315X, 14761270",1741315X, 14761270,5.21,80,5.21
EnergyChem,journal,25897780,25897780,,5.185,50,5.185
Applied Catalysis B: Environmental,journal,"18733883, 09263373",18733883, 09263373,5.18,353,5.18
Developmental Cell,journal,"15345807, 18781551",15345807, 18781551,5.18,306,5.18
The Lancet Healthy Longevity,journal,26667568,26667568,,5.166,43,5.166
Annual Review of Biophysics,journal,"19361238, 1936122X",19361238, 1936122X,5.152,178,5.152
Blood Cancer Journal,journal,20445385,20445385,,5.139,85,5.139
Nature Geoscience,journal,"17520908, 17520894",17520908, 17520894,5.138,280,5.138
Advanced Powder Materials,journal,2772834X,2772834X,,5.1,40,5.1
JAMA Pediatrics,journal,"21686211, 21686203",21686211, 21686203,5.085,231,5.085
Genome Medicine,journal,1756994X,1756994X,,5.078,133,5.078
Journal of International Business Studies,journal,"00472506, 14786990",00472506, 14786990,5.078,242,5.078
American Journal of Respiratory and Critical Care Medicine,journal,"1073449X, 15354970",1073449X, 15354970,5.076,436,5.076
Academy of Management Perspectives,journal,15589080,15589080,,5.063,165,5.063
Organization Studies,journal,"17413044, 01708406",17413044, 01708406,5.032,187,5.032
Light: Science and Applications,journal,20477538,20477538,,5.018,174,5.018
Intensive Care Medicine,journal,"14321238, 03424642",14321238, 03424642,4.999,246,4.999
European Heart Journal,journal,"15229645, 0195668X",15229645, 0195668X,4.987,367,4.987
International Organization,journal,"15315088, 00208183",15315088, 00208183,4.977,168,4.977
Cell Systems,journal,"24054720, 24054712",24054720, 24054712,4.943,98,4.943
The Lancet Haematology,journal,"23523026, 24519960",23523026, 24519960,4.936,103,4.936
Psychological Methods,journal,"1082989X, 19391463",1082989X, 19391463,4.925,195,4.925
Psychotherapy and Psychosomatics,journal,"00333190, 14230348",00333190, 14230348,4.904,123,4.904
Circulation Research,journal,"00097330, 15244571",00097330, 15244571,4.897,402,4.897
Trends in Ecology and Evolution,journal,"01695347, 18728383",01695347, 18728383,4.876,396,4.876
Cell Death and Differentiation,journal,"13509047, 14765403",13509047, 14765403,4.866,271,4.866
Information Systems Research,journal,"15265536, 10477047",15265536, 10477047,4.85,192,4.85
Health Psychology Review,journal,"17437202, 17437199",17437202, 17437199,4.838,81,4.838
EMBO Journal,journal,"02614189, 14602075",02614189, 14602075,4.821,441,4.821
Nature Plants,journal,"2055026X, 20550278",2055026X, 20550278,4.815,148,4.815
Matter,journal,"25902393, 25902385",25902393, 25902385,4.804,111,4.804
Clinical Cancer Research,journal,"10780432, 15573265",10780432, 15573265,4.8,392,4.8
Molecular Systems Biology,journal,17444292,17444292,,4.783,178,4.783
Advanced Photonics,journal,25775421,25775421,,4.777,55,4.777
Annals of Statistics,journal,00905364,00905364,,4.769,202,4.769
Nature Communications,journal,20411723,20411723,,4.761,577,4.761
Critical Finance Review,journal,"21645760, 21645744",21645760, 21645744,4.754,14,4.754
Trends in Cancer,journal,"24058033, 24058025",24058033, 24058025,4.727,101,4.727
Trends in Neurosciences,journal,"01662236, 1878108X",01662236, 1878108X,4.726,326,4.726
British Journal of Sports Medicine,journal,"03063674, 14730480",03063674, 14730480,4.724,241,4.724
Journal of Clinical Investigation,journal,"00219738, 15588238",00219738, 15588238,4.721,558,4.721
Brain,journal,"14602156, 00068950",14602156, 00068950,4.72,391,4.72
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,conference and proceedings,10636919,10636919,,4.718,601,4.718
Review of Educational Research,journal,"00346543, 19351046",00346543, 19351046,4.7,198,4.7
Biological Psychiatry,journal,"00063223, 18732402",00063223, 18732402,4.684,367,4.684
Protein Science,journal,"1469896X, 09618368",1469896X, 09618368,4.657,204,4.657
Annual Review of Entomology,journal,"00664170, 15454487",00664170, 15454487,4.655,239,4.655
Coordination Chemistry Reviews,journal,00108545,00108545,,4.638,329,4.638
JAMA Internal Medicine,journal,"21686114, 21686106",21686114, 21686106,4.623,403,4.623
Review of Asset Pricing Studies,journal,"20459920, 20459939",20459920, 20459939,4.621,33,4.621
IEEE Transactions on Smart Grid,journal,19493053,19493053,,4.608,253,4.608
Global Change Biology,journal,"13652486, 13541013",13652486, 13541013,4.6,332,4.6
Nano Energy,journal,22112855,22112855,,4.566,277,4.566
Journal of Supply Chain Management,journal,"15232409, 1745493X",15232409, 1745493X,4.562,119,4.562
Ophthalmology,journal,"15494713, 01616420",15494713, 01616420,4.552,297,4.552
Journal of Consumer Psychology,journal,"15327663, 10577408",15327663, 10577408,4.547,147,4.547
European Review of Social Psychology,journal,"10463283, 1479277X",10463283, 1479277X,4.544,81,4.544
American Journal of Human Genetics,journal,"15376605, 00029297",15376605, 00029297,4.531,339,4.531
Journal of Extracellular Vesicles,journal,20013078,20013078,,4.524,126,4.524
Journal of Operations Management,journal,"18731317, 02726963",18731317, 02726963,4.52,228,4.52
PhotoniX,journal,26621991,26621991,,4.514,41,4.514
The Lancet HIV,journal,23523018,23523018,,4.506,91,4.506
Trends in Cognitive Sciences,journal,"1879307X, 13646613",1879307X, 13646613,4.506,375,4.506
Annual Review of Microbiology,journal,"00664227, 15453251",00664227, 15453251,4.505,220,4.505
European Respiratory Journal,journal,"09031936, 13993003",09031936, 13993003,4.502,299,4.502
Wiley Interdisciplinary Reviews: Computational Molecular Science,journal,"17590876, 17590884",17590876, 17590884,4.501,116,4.501
