ISSN	Titulo	Estrato	Classificação
2175-5787	ADMINISTRAÇÃO PÚBLICA E GESTÃO SOCIAL	A3	
2500-5227	ADMINISTRACIÓN Y DESARROLLO (VERSÃO DIGITAL)	B1	
1583-9583	ADMINISTRATIE SI MANAGEMENT PUBLIC	A1	
0095-3997	ADMINISTRATION & SOCIETY	A2	
0001-8392	ADMINISTRATIVE SCIENCE QUARTERLY	A1	
2076-3387	ADMINISTRATIVE SCIENCES	A2	
1084-1806	ADMINISTRATIVE THEORY & PRAXIS	A3	
2237-5139	ADM.MADE	A4	
2177-5281	ADOLESCÊNCIA & SAÚDE	B2	
1679-9941	ADOLESCÊNCIA & SAÚDE (UERJ)	B2	
0342-7633	ADULT EDUCATION AND DEVELOPMENT	B4	
2251-7308	ADVANCED PHARMACEUTICAL BULLETIN	A2	
0098-9258	ADVANCES IN CONSUMER RESEARCH	B3	
2424-922X	ADVANCES IN DATA SCIENCE AND ADAPTIVE ANALYSIS	B3	
1523-4223	ADVANCES IN DEVELOPING HUMAN RESOURCES	A2	
2287-6316	ADVANCES IN ENERGY RESEARCH	B2	
0394-6169	ADVANCES IN HORTICULTURAL SCIENCE	B3	
1687-5893	ADVANCES IN HUMAN-COMPUTER INTERACTION	B1	
2194-5357	ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING	B2	
1474-7979	ADVANCES IN INTERNATIONAL MARKETING	A4	
1687-8442	ADVANCES IN MATERIALS SCIENCE AND ENGINEERING (ONLINE)	A3	
1687-8434	ADVANCES IN MATERIALS SCIENCE AND ENGINEERING (PRINT)	A3	
2515-2459	ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE	A2	
1983-8611	ADVANCES IN SCIENTIFIC & APPLIED ACCOUNTING	A3	
1527-7941	ADVANCES IN SKIN & WOUND CARE	A3	
2055-0286	ADVANCES IN SOCIAL SCIENCES RESEARCH JOURNAL	A4	
1724-2118	AESTIMUM	A3	
1991-637X	AFRICAN JOURNAL OF AGRICULTURAL RESEARCH	B3	
1684-5315	AFRICAN JOURNAL OF BIOTECHNOLOGY	B3	
1993-8233	AFRICAN JOURNAL OF BUSINESS MANAGEMENT	C	
2040-0705	AFRICAN JOURNAL OF ECONOMIC AND MANAGEMENT STUDIES	A2	
1996-0794	AFRICAN JOURNAL OF FOOD SCIENCE	B1	
2223-814X	AFRICAN JOURNAL OF HOSPITALITY, TOURISM AND LEISURE	A3	
1996-0808	AFRICAN JOURNAL OF MICROBIOLOGY RESEARCH	B3	
1996-0824	AFRICAN JOURNAL OF PLANT SCIENCE	B4	
0002-0591	AFRO-ÁSIA (UFBA. IMPRESSO)	A1	
2318-8499	AGENDA POLÍTICA	A3	
1516-1498	ÁGORA ( PPGTP/UFRJ)	A2	
2237-9010	ÁGORA : REVISTA DE DIVULGAÇÃO CIENTÍFICA	B2	
0103-3557	ÁGORA: ARQUIVOLOGIA EM DEBATE	B1	
1982-999X	ÁGORA FILOSÓFICA	A4	
0104-7507	AGORA (UNC)	B2	
1982-6737	ÁGORA (UNISC. ONLINE)	A4	
2357-9951	AGRARIAN ACADEMY	B4	
1984-2538	AGRARIAN (DOURADOS. ONLINE)	B4	
2277-9760	AGRARIAN SOUTH: JOURNAL OF POLITICAL ECONOMY	A4	
1807-1570	AGRIANUAL (SÃO PAULO)	B4	
1520-6297	AGRIBUSINESS	A2	
1414-0810	AGRICULTURA FAMILIAR (UFPA)	B2	
0168-1923	AGRICULTURAL AND FOREST METEOROLOGY (PRINT)	A1	
1682-1130	AGRICULTURAL ENGINEERING INTERNATIONAL: CIGR JOURNAL	B2	
0002-1466	AGRICULTURAL FINANCE REVIEW	A3	
2077-0472	AGRICULTURE	A3	
0167-8809	AGRICULTURE, ECOSYSTEMS & ENVIRONMENT (PRINT)	A1	
1166-7699	AGRICULTURES (MONTROUGE) / CAHIERS D'ÉTUDES ET DE RECHERCHES FRANCOPHONES	A2	
1316-0354	AGROALIMENTARIA (CARACAS)	A4	
