TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK
Avaliação de metodologias univariadas e multivariada de adaptabilidade e estabilidade visando à indicação de cultivares de milho,2003,,Português,Revista Ceres,XX,-,"['Edilson Romais schmildt', 'Willian Krause']","['1', '2']",['2']
Indicação de híbridos de melão para o Rio Grande do Norte,2005,,Português,Revista Ceres,XX,-,"['Fábio Lima Gurgel', 'Willian Krause', 'Edilson Romais schmildt', 'Leila Cristina Nunes de Sena']","['1', '2', '3', '4']",['2']
Melhoria na eficiência dos experimentos de indicação de cultivares de milho,2006,,Português,Ciência e Agrotecnologia (UFLA),A2,1413-7054,"['Edilson Romais schmildt', 'Willian Krause', 'Cosme Damião Cruz']","['1', '2', '3']",['2']
Alternativas para melhorar a eficiência dos experimento de valor de cultivo e uso na cultura do feijoeiro,2007,,Português,Revista Ceres,B1,0034-737X,"['Willian Krause', 'Magno Antônio Patto Ramalho', 'Ângela de Fátima Barbosa Abreu']","['1', '2', '3']",['1']
Genetic divergence in snap bean based on agronomic traits and resistance to bacterial wilt,2009,,Inglês,Crop Breeding and Applied Biotechnology,A2,1518-7853,"['Willian Krause', 'Rosana Rodrigues', 'Leandro Simões Azeredo Gonçalves', 'Francisco Valdevino Bezerra Neto', 'Nilton Rocha Leal']","['1', '2', '3', '4', '5']",['1']
Identificação de fontes de resistência e avaliação de métodos de inoculação em Curtobacterium flaccumfaciens pv. flaccumfaciens de feijão-de-vagem,2009,,Português,Ciência e Agrotecnologia (UFLA),A2,1413-7054,"['Willian Krause', 'Rosana Rodrigues', 'Nilton Rocha Leal']","['1', '2', '3']",['1']
Rendimento do maracujazeiro amarelo sob diferentes espaçamentos de plantio,2010,,Português,Magistra,B3,0102-5333,"['Willian Krause', 'Tayguara Antonio Ferreira Nascimento', 'Adalberto Santi', 'Jane Rodrigues de Assis Machado', 'Virginia Helena de Azevedo']","['1', '2', '3', '4', '5']",['1']
Aptidão agroclimática do pinhão manso na região de Tangará da Serra-MT,2010,10.1590/S1806-66902010000300008,Português,Revista ciência agronômica (UFC. Online),B1,1806-6690,"['Rivanildo Dallacort', 'Juliano Araújo Martins', 'Miriam Hiroko Inoue', 'Paulo Sérgio Lourenço de Freitas', 'Willian Krause']","['1', '2', '3', '4', '5']",['5']
Predição de ganhos genéticos utilizando o delineamento I em população de maracujazeiro,2011,10.1590/S1806-66902011000200032,Português,Revista ciência agronômica (UFC. Online),B1,1806-6690,"['Leonarda Grillo Neves', 'Cláudio Horst Bruckner', 'Cosme Damião Cruz', 'Leonardo Pimentel Duarte', 'Willian Krause']","['1', '2', '3', '4', '5']",['5']
Ganho de seleção no melhoramento genético intrapopulacional do maracujazeiro amarelo,2012,,Português,Pesquisa Agropecuária Brasileira (Online),B1,1678-3921,"['Willian Krause', 'Regis Santos de Souza', 'Leonarda Grillo Neves', 'Maurecilne Lemes da Silva Carvalho', 'Alexandre Pio Viana', 'Fábio Gelape Faleiro']","['1', '2', '3', '4', '5', '6']",['1']
"Avaliação do desempenho de genótipos de milho para o consumo in natura para o consumo em Tangará da Serra, MT, Braisl",2011,,Português,Bioscience Journal (Online),B1,1981-3163,"['Alais Suzana Maier Grigulo', 'Virginia Helena de Azevedo', 'Willian Krause', 'Patrícia Helena de Azevedo']","['1', '2', '3', '4']",['3']
Capacidade combinatória para características agronômicas em feijão-de-vagem,2012,10.1590/S1806-66902011000200032,Português,Revista ciência agronômica (UFC. Online),B1,1806-6690,"['Willian Krause', 'Rosana Rodrigues', 'Nilton Rocha Leal']","['1', '2', '3']",['1']
Produtividade e qualidade de frutos de cultivares de maracujazeiro&amp;#8209;amarelo com ou sem polinização artificial,2012,,Português,Pesquisa Agropecuária Brasileira (Online),B1,1678-3921,"['Willian Krause', 'Leonarda Grillo Neves', 'Alexandre Pio Viana', 'Carlos Antônio Távora Araújo', 'Fábio Gelape Faleiro']","['1', '2', '3', '4', '5']",['1']
Avaliação da qualidade fisiológica de sementes de feijão-caupi pelo teste de condutividade elétrica,2012,,Português,Revista Ceres,B1,0034-737X,"['Nathália Aparecida Silva Batista', 'Petterson Baptista da Luz', 'Severino de Paiva Sobrinho', 'Leonarda Grillo Neves', 'Willian Krause']","['1', '2', '3', '4', '5']",['5']
Relações entre os caracteres de maracujazeiro-azedo,2013,10.1590/S0103-84782013000200006,Inglês,Ciência Rural (UFSM. Impresso),B1,0103-8478,"[""LÚCIO, ALESSANDRO DAL'COL"", 'STORCK, LINDOLFO', 'Willian Krause', 'GONÇALVES, REGIS QUEIROZ', 'NIED, ASTOR HENRIQUE']","['1', '2', '3', '4', '5']",['3']
Spacing and plant density effect on reproductive development of herbaceous cotton,2012,,Português,Scientia Plena,B5,1808-2793,"['P.T. Silva', 'F.G. Macedo', 'M.A. Camacho', 'C. Santos', 'A. Santi', 'Willian Krause', 'J.R. Rambo']","['1', '2', '3', '4', '5', '6', '7']",['6']
Genetic diversity and population structure of common bean landraces,2012,,Português,Annual Report of the Bean Improvement Cooperative,B3,0084-7747,"['C.R. da Silva', 'M.C. Gonçalves-Vidigal', 'G.F. Lacanallo', 'J.C.F. Elias', 'Leonarda Grillo Neves', 'Willian Krause', 'Marco Antônio Aparecido Barelli', 'P.S. Vidigal Filho']","['1', '2', '3', '4', '5', '6', '7', '8']",['6']
TAMANHO ÓTIMO DE AMOSTRA PARA AVALIAÇÃO DE CARACTERES DE FRUTOS DE ABACAXIZEIRO,2013,,Português,Revista Brasileira de Fruticultura,B1,1806-9967,"['Willian Krause', 'Lindolfo Storck', ""Alessandro Dal'Col Lúcio"", 'Astor Henrique Nied', 'Regis Queiroz Gonçalves']","['1', '2', '3', '4', '5']",['1']
Desempenho agronômico de alface americana fertilizada com torta de filtro em ambiente protegido,2013,,Português,Horticultura Brasileira (Impresso),B1,0102-0536,"['Adalberto Santi', 'Walcylene Lacerda Mattos Pereira Scaramuzza', 'Alexandro Neuhaus', 'Rivanildo Dallacort', 'Rivanildo Dallacort', 'Willian Krause', 'Rafael Cesar Tieppo']","['1', '2', '3', '4', '4', '5', '6']",['5']
RESISTÊNCIA À VERRUGOSE DE CULTIVARES DE MARACUJAZEIRO AMARELO SOB DIFERENTES MÉTODOS DE INOCULAÇÃO,2013,,Português,Enciclopédia Biosfera,B5,2317-2606,"['Mariana Batistti', 'Willian Krause', 'Marciane Barea', 'Dejânia Vieira de Araújo', 'Ednamar Gabriela Palu']","['1', '2', '3', '4', '5']",['2']
Calendário agrícola para a cultura do milho em Sinop (MT),2013,10.1590/S1983-40632013000200014,Inglês,Pesquisa Agropecuária Tropical (Online),B1,1983-4063,"['GARCIA GARCIA, RODRIGO', 'DALLACORT, RIVANILDO', 'Willian Krause', 'SERIGATTO, EDENIR MARIA', 'FARIA JÚNIOR, CLEONIR ANDRADE']","['1', '2', '3', '4', '5']",['3']
Scaling the number of plants per plot and number of plots per genotype of yellow passion fruit plants,2014,,Inglês,Acta Scientiarum. Agronomy (Online),A2,1807-8621,"['Lindolfo Storck', ""Alessandro Dal'Col Lúcio"", 'Willian Krause', 'Dejânia Vieira de Araújo', 'Celice Alexandre Silva']","['1', '2', '3', '4', '5']",['3']
DOSES DE FERTILIZANTE MINERAL MISTO E DIFERENTES RECIPIENTES NO ENRAIZAMENTO DE ESTACAS DE MARACUJAZEIRO AMARELO,2013,,Português,Enciclopédia Biosfera,B5,1809-0583,"['Ednamar Gabriela Palu', 'Willian Krause', 'Mariana Batistti', 'Paulo Ricardo Junges dos Santos', 'Marcos Augusto Netto']","['1', '2', '3', '4', '5']",['2']
Controle de Pratylenchus brachyurus via tratamento de sementes de soja,2013,,Português,Enciclopédia Biosfera,B5,1809-0583,"['Gabriel Luiz Bortolini', 'Dejânia Vieira de Araújo', 'Francieli Dominiki Zavislak', 'Jair Romano Junior', 'Willian Krause']","['1', '2', '3', '4', '5']",['5']
EFICÁCIA DE FUNGICIDAS NO CONTROLE DE Ramularia areola IN VITRO E EM CASA DE VEGETAÇÃO,2013,,Português,Enciclopédia Biosfera,B5,1809-0583,"['Larissa S. Schaedler', 'Dejânia Vieira de Araújo', 'Francieli Dominiki Zavislak', 'Jaqueline Aguilla Pizzato', 'Willian Krause']","['1', '2', '3', '4', '5']",['5']
Caracterização agronômica e divergência genética entre acessos de abacaxizeiro nas condições do Estado de Mato Grosso,2015,,Português,Revista Brasileira de Fruticultura,B1,1806-9967,"['Aline Vidor Melão', 'Messias Gonzaga Pereira', 'Willian Krause', 'Leandro Simões Azeredo Gonçalves', 'Wandreilla Garcia Moreira']","['1', '2', '3', '4', '5']",['3']
Comportamento in vitro do agente etiológico da fusariose e avaliação de métodos de inoculação em abacaxizeiro,2015,,Português,Revista Caatinga (Online),B1,1983-2125,"['Wandreilla Garcia Moreira', 'Willian Krause', 'Dejânia Vieira de Araújo', 'Celice Alexandre Silva', 'Anderson Fernandes de Miranda']","['1', '2', '3', '4', '5']",['2']
Palinotaxonomia de seis variedades de Passiflora edulis (Passifloreaceae),2013,10.7902/ecb.v4i2.57,Português,Evolução e Conservação da Biodiversidade,B4,2236-3866,"['MELHORANÇA, ESTEVÃO', 'SIMINSKI, TÂMILA', 'Willian Krause', 'FERNANDES, ANDERSON']","['1', '2', '3', '4']",['3']
QUALIDADE DE FRUTOS DE MARACUJÁ AZEDO COMERCIALIZADOS EM TANGARÁ DA SERRA - MT,2014,,Português,Enciclopédia Biosfera,B5,2317-2606,"['João Pedro Rigui Trentin', 'Edinéia Dalbosco Zulian', 'Amanda Nogueira de Albuquerque', 'Dhiego Pereira Krause', 'Willian Krause']","['1', '2', '3', '4', '5']",['5']
EFICIÊNCIA DO CONTROLE QUÍMICO EM SEMENTES DE ALGODOEIRO INOCULADAS COM RHIZOCTONIA SOLANI,2014,,Português,Enciclopédia Biosfera,B5,2317-2606,"['Priscila Arrais Braghin', 'Dejânia Vieira de Araújo', 'Mariana Batistti', 'Willian Krause', 'Leonardo Diogo Ehle Dias', 'Hugo Henrique Ribeiro Rosa']","['1', '2', '3', '4', '5', '6']",['4']
Características florais e polinizadores na qualidade de frutos de cultivares de maracujazeiro-azedo,2015,10.1590/s0100-204x2015000100006,Inglês,Pesquisa Agropecuária Brasileira (Online),B1,1678-3921,"['COBRA, SIMONE SANTOS DE OLIVEIRA', 'SILVA, CELICE ALEXANDRE', 'Willian Krause', 'DIAS, DAIANNY CORREIA', 'KARSBURG, ISANE VERA', 'MIRANDA, ANDERSON FERNANDES DE']","['1', '2', '3', '4', '5', '6']",['3']
SELEÇÃO INDIVIDUAL DE PLANTAS DE MARACUJAZEIRO AZEDO QUANTO À QUALIDADE DE FRUTOS VIA REML/BLUP,2015,,Português,Revista Caatinga (UFERSA. Impresso),B1,0100-316X,"['Marcelo Pereira de Assunção', 'Willian Krause', 'Rivanildo Dallacort', 'Paulo Ricardo Junges dos Santos', 'Leonarda Grillo Neves']","['1', '2', '3', '4', '5']",['2']
CONSERVAÇÃO PÓS-COLHEITA DE MAMÃO ?SUNRISE SOLO? COM REVESTIMENTO COMESTÍVEL A BASE DE FÉCULA DE MANDIOCA,2015,,Português,Enciclopédia Biosfera,B5,2317-2606,"['Joeli Nogueira Pego', 'Moisés Ambrósio', 'Damaris Suelen Nascimento', 'Leandro Rafael Fachi', 'Willian Krause']","['1', '2', '3', '4', '5']",['5']
CONSERVAÇÃO PÓS-COLHEITA DE BANANA ?MAÇÃ? COM REVESTIMENTO COMESTÍVEL A BASE DE FÉCULA DE MANDIOCA,2015,,Português,Agrarian Academy,B5,2357-9951,"['Amara Maria da Silva', 'Moisés Ambrósio', 'Damaris Suelen Nascimento', 'Amanda Nogueira de Albuquerque', 'Willian Krause']","['1', '2', '3', '4', '5']",['5']
FONTES DE NITROGÊNIO E DOSES DE CLORETO DE POTÁSSIO NA CULTURA DO ABACAXI PÉROLA,2015,,Português,Agrarian Academy,B5,2357-9951,"['Simone Guedes da Silva', 'Edinéia Dalbosco Zulian', 'Dhiego Pereira Krause', 'Willian Krause', 'Adalberto Santi']","['1', '2', '3', '4', '5']",['4']
MULTIVARIATE ANALYSIS FOR THE DETECTION OF Passiflora SPECIES RESISTANT TO COLLAR ROT,2015,,Inglês,Bioscience Journal (UFU. Impresso),B1,1516-3725,"['Sandra da Costa Preisigke', 'Leonarda Grillo Neves', 'Kelly Lana Araujo', 'Nayaro Renero Barbosa', 'Milson Evaldo Serafim', 'Willian Krause']","['1', '2', '3', '4', '5', '6']",['6']
"Biologia reprodutiva de Cordiera macrophylla (K. Schum.) Kuntze (Rubiaceae), espécie dioica da região sudoeste do Estado de Mato Grosso, Brasil",2015,10.1590/0034-737x201562060002,Inglês,Revista Ceres (Online),B1,2177-3491,"['COBRA, SIMONE SANTOS DE OLIVEIRA', 'NASCIMENTO, FRANCIELE DO', 'ANTONIAZZI, SABRINA APARECIDA', 'Willian Krause', 'SILVA, CELICE ALEXANDRE']","['1', '2', '3', '4', '5']",['4']
"Análise Financeira e Custo de Produção de Banana-maça: um estudo de caso em Tangará da Serra, Estado de Mato Grosso",2015,,Português,Informações Econômicas (Impresso),B5,0100-4409,"['José Roberto Rambo', 'Maria Aparecida Anselmo Tarsitano', 'Willian Krause', 'Gilmar Laforga', 'Carolina da Silva']","['1', '2', '3', '4', '5']",['3']
Obtenção dos descritores mínimos eficientes para mangueira pelo método de Ward,2015,,Português,Revista Magistra,B3,2236-4420,"['Adryellison Lemes de Campos', 'Sandra da Costa Preisigke', 'Leonarda Grillo Neves', 'Petterson Baptista da Luz', 'Marco Antônio Aparecido Barelli', 'Willian Krause']","['1', '2', '3', '4', '5', '6']",['6']
QUALIDADE DO FRUTO E PRODUTIVIDADE DE CULTIVARES DE MARACUJÁ EM DIFERENTES ÉPOCAS DE COLHEITAS,2016,10.18677/Enciclopedia_Biosfera_2016_094,Português,Enciclopédia Biosfera,B5,2317-2606,"['FERREIRA, AMANDA FERNANDA NUNES', 'KRAUSE, SARAH', 'DE OLIVEIRA, EDILSON ARANDA', 'SILVA, MARCELO LUIZ SOUZA', 'Willian Krause']","['1', '2', '3', '4', '5']",['5']
QUALIDADE E CORRELAÇÃO DOS PARÂMETROS FÍSICO-QUÍMICOS DOS FRUTOS DE CULTIVARES DE ACEROLA,2016,10.18677/encibio_2016b_084,Português,Enciclopédia Biosfera,B5,1809-0583,"['FACHI, LEANDRO RAFAEL', 'FERREIRA, AMANDA FERNANDA NUNES', 'GARBUGIO, EGÍDIO LEONARDO DA SILVA', 'KRAUSE, SARAH', 'Willian Krause']","['1', '2', '3', '4', '5']",['5']
"PRODUCTIVITY, FRUIT PHYSICOCHEMICAL QUALITY AND DISTINCTIVENESS OF PASSION FRUIT POPULATIONS",2016,10.1590/0100-29452016142,Inglês,Revista Brasileira de Fruticultura,B1,1806-9967,"['CAVALCANTE, NATAN RAMOS', 'Willian Krause', 'CARVALHO, JOICE FERNANDES DE', 'ROCHA, MARIA KERHOLAYNE PEREIRA', 'PALÚ, EDNAMAR GABRIELA', 'SILVA, CELICE ALEXANDRE']","['1', '2', '3', '4', '5', '6']",['2']
Digital phenotyping for quantification of genetic diversity in inbred guava (Psidium guajava) families,2017,10.4238/gmr16019474,Português,GENETICS AND MOLECULAR RESEARCH,A2,1676-5680,"['Willian Krause', 'VIANA, A.P.', 'CAVALCANTE, N.R.', 'AMBRÓSIO, M.', 'SANTOS, E.A.', 'VIEIRA, H.D.']","['1', '2', '3', '4', '5', '6']",['1']
