TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK
A Universidade e as Políticas Públicas de Avaliação no Brasil,2003,,Português,Revista da Faculdade de Educação. Universidade do Estado de Mato Grosso,C ,1679-4273,['Elizeth Gonzaga dos Santos Lima'],['1'],['1']
Contribuições Epistemológicas para reflexão da ação pedagógica,2004,,Português,Revista de Estudos Acadêmicos (UNEMAT),B5,1806-3675,['Elizeth Gonzaga dos Santos Lima'],['1'],['1']
"Avaliação Institucional: discutindo concepções, enfoques e fundamentos teórico/metodológicos",2008,,Português,Revista da Faculdade de Educação (Universidade do Estado de Mato Grosso),C ,1679-4273,['Elizeth Gonzaga dos Santos Lima'],['1'],['1']
"Os processos de avaliação instituídos na Educação Superior e os processos de tomadas de decisão: significados,sentidos e efeitos.",2010,,Português,Revista de Educação Publica (UFMT),C ,0104-5962,['Elizeth Gonzaga dos Santos Lima'],['1'],['1']
PIIER - Programa de integração e de inclusão etnicorracial: ações afirmativas na UNEMAT,2011,,Português,Série-Estudos (UCDB),XX,1414-5138,"['Valci Aparecida Barbosa', 'Elizeth Gonzaga dos Santos Lima']","['1', '2']",['2']
Avaliação de redes de pesquisa e colaboração,2014,10.1590/s1414-40772014000100014,Inglês,Avaliação (UNICAMP),A2,1414-4077,"['Denise Balarine Cavalheiro Leite', 'Célia Elizabete Caregnato', 'Elizeth Gonzaga dos Santos Lima', 'Isabel Pinho', 'Bernardo Sfredo Miorando', 'Priscila Bier da Silveira']","['1', '2', '3', '4', '5', '6']",['3']
SINAES E A LEGISLAÇÃO APLICÁVEL NO SISTEMA ESTADUAL: O REGIME DE COLABORAÇÃO,2014,,Português,Revista FAED - UNEMAT,C ,2178-7476,"['Elizeth Gonzaga dos Santos Lima', 'Flávio Luiz S. J. Cunha', 'Jaime Orro Santana']","['1', '2', '3']",['1']
O ENEM no contexto das políticas para o Ensino Médio,2014,10.5007/2175-795X.2014v32n1p355,Português,Perspectiva (UFSC),XX,0102-5473,"['ALVES MACHADO, PAULO HENRIQUE', 'Elizeth Gonzaga dos Santos Lima']","['1', '2']",['2']
Avaliação de redes de pesquisa: indicadores de interação e formação,2014,10.5216/31820,Português,Comunicação &amp; Informação (UFG),XX,1415-5842,"['Denise Leite', 'Bernardo Sfredo Miorando', 'Isabel Pinho', 'Célia Elizabete Caregnato', 'Elizeth Gonzaga dos Santos Lima']","['1', '2', '3', '4', '5']",['5']
Políticas e permanência para estudantes na educação superior,2016,10.21573/vol32n32016.68574,Português,Revista Brasileira de Política e Administração da Educação,XX,1678-166X,"['MACIEL, CARINA ELISABETH', 'Elizeth Gonzaga dos Santos Lima', 'GIMENEZ, FELIPE VIEIRA']","['1', '2', '3']",['2']
O desempenho dos estudantes no vestibular e a permanência nos cursos de graduação da UNEMAT,2018,10.1590/s1414-40772018000200003,Português,AVALIAÇÃO: REVISTA DA AVALIAÇÃO DA EDUCAÇÃO SUPERIOR,A2,1982-5765,"['Douglas Ehle Nodari', 'Elizeth Gonzaga dos Santos Lima', 'Carina Elisabeth Maciel']","['1', '2', '3']",['2']
&lt;b&gt;Implicações do SiSU no processo de democratização do acesso à educação superior: o caso da Unemat&lt;/b&gt;,2018,10.4025/actascieduc.v40i1.37656,Português,ACTA SCIENTIARUM. EDUCATION (ONLINE),B5,2178-5201,"['Elizeth Gonzaga dos Santos Lima', 'Luiz Francisco Borges', 'Fernando Cezar Vieira Malange']","['1', '2', '3']",['1']
Democratização do acesso à Educação Superior: o Programa de Integração e de Inclusão Étnico-racial - PIIER/UNEMAT nas vozes dos sujeitos,2013,,Português,REVISTA ELETRÔNICA DE EDUCAÇÃO (SÃO CARLOS),C ,1982-7199,"['Valci Aparecida Barbosa', 'Elizeth Gonzaga dos Santos Lima']","['1', '2']",['2']
Programa de Assistência Estudantil na Unemat: Políticas de Permanência?,2018,,Português,REVISTA DA FACULDADE DE EDUCAÇÃO (UNIVERSIDADE DO ESTADO DE MATO GROSSO),C ,1679-4273,"['Elizeth Gonzaga dos Santos Lima', 'Fernando Cezar Vieira Malange', 'Valci Aparecida Barbosa']","['1', '2', '3']",['1']
O embate qualitativo/quantitativo no processo de avaliação,2010,,Português,Revista da Faculdade de Educação (Universidade do Estado de Mato Grosso),C ,1679-4273,"['Elizeth Gonzaga dos Santos Lima', 'Ivanete Bellucci P Almeida', 'Christiane Bellorio Gennari', 'MIRANDA, Antonio Carlos']","['1', '2', '3', '4']",['1']
