TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR,ID,FULL_NAME,LAST_NAME,CITADO,CITY,STATE,RESUME,UPDATE,ADDRESS_ENTERP,ORCID
Agricultura sustentável sem mitos,2009,,Português,Agroanalysis (FGV),B5,0100-4298,['Thiago Libório Romanelli'],['1'],['1'],-99.0,5401789813032087,Thiago Libório Romanelli,Romanelli,"ROMANELLI, T. L.;Romanelli, Thiago L.;Romanelli, Thiago Libório;ROMANELLI, THIAGO",Piracicaba,SP,"Atualmente é Professor Titular do Departamento de Engenharia de Biossistemas, ESALQ/USP. Atua nos temas: Fluxos de Materiais e de Energia em Sistemas de Produção, Sustentabilidade, Análises de Ciclo de Vida e Viabilidade econômica de adoção de tecnologia. É Engenheiro Agrônomo pela Universidade de São Paulo (2000), mestre em Máquinas Agrícolas pela Universidade de São Paulo (2003) e doutor em Recursos Florestais pela Universidade de São Paulo (2007), tendo sido Research Associate do Center for Environmental Policy da University of Florida (2005-2006),  Professor Doutor (2008-2013) e Livre Docente em Mecânica e Máquinas Motoras pela Universidade de São Paulo (2013) . Fulbright Scholar - Cátedra de Ciências Agrárias na University of Nebraska/Lincoln (2017).",27-09-2021,Universidade de São Paulo,https://orcid.org/0000-0001-5407-9031
Energy performance of a production system of eucalyptus,2010,10.1590/S1415-43662010000800015,Inglês,Revista Brasileira de Engenharia Agrícola e Ambiental (Impresso),B1,1415-4366,"['Thiago Libório Romanelli', 'Milan, Marcos']","['1', '2']",['1'],0.649,5401789813032087,Thiago Libório Romanelli,Romanelli,"ROMANELLI, T. L.;Romanelli, Thiago L.;Romanelli, Thiago Libório;ROMANELLI, THIAGO",Piracicaba,SP,"Atualmente é Professor Titular do Departamento de Engenharia de Biossistemas, ESALQ/USP. Atua nos temas: Fluxos de Materiais e de Energia em Sistemas de Produção, Sustentabilidade, Análises de Ciclo de Vida e Viabilidade econômica de adoção de tecnologia. É Engenheiro Agrônomo pela Universidade de São Paulo (2000), mestre em Máquinas Agrícolas pela Universidade de São Paulo (2003) e doutor em Recursos Florestais pela Universidade de São Paulo (2007), tendo sido Research Associate do Center for Environmental Policy da University of Florida (2005-2006),  Professor Doutor (2008-2013) e Livre Docente em Mecânica e Máquinas Motoras pela Universidade de São Paulo (2013) . Fulbright Scholar - Cátedra de Ciências Agrárias na University of Nebraska/Lincoln (2017).",27-09-2021,Universidade de São Paulo,https://orcid.org/0000-0001-5407-9031
Modeling cost and energy demand in agricultural machinery fleets for soybean and maize cultivated using a no-tillage system,2019,10.1016/j.compag.2018.11.032,Inglês,COMPUTERS AND ELECTRONICS IN AGRICULTURE,A2,0168-1699,"['Rafael Cesar Tieppo', 'ROMANELLI, THIAGO LIBÓRIO', 'MILAN, MARCOS', 'SØRENSEN, CLAUS AAGE GRØN', 'BOCHTIS, DIONYSIS']","['1', '2', '3', '4', '5']",['1'],-99.0,3275865819287843,Rafael Cesar Tieppo,Tieppo,"TIEPPO, R. C.;TIEPPO, RAFAEL CESAR;TIEPPO, RAFAEL CÉSAR;R. C. TIEPPO",Cascavel,PR,"Rafael Tieppo possui graduação em Engenharia Agícola pela Universidade Estadual do Oeste do Paraná (2001), mestrado em Engenharia Agrícola pela Universidade Estadual do Oeste do Paraná (2004) e doutorado em Engenharia de Sistemas Agrícolas pela Universidade de São Paulo, ESALQ-USP com período sanduíche na Aarhus University - Dinamarca. Atualmente é professor adjunto da Universidade do Estado de Mato Grosso. Tem experiência na área de Engenharia Agrícola, atuando no momento com os seguintes temas: agricultura digital, geoprocessamento e mecanização agrícola.",15-07-2021,Universidade do Estado de Mato Grosso,http://orcid.org/0000-0001-8132-4813
Energy-Based Evaluations on Eucalyptus Biomass Production,2012,10.1155/2012/340865,Inglês,International Journal of Forestry Research,B3,1687-9368,"['Thiago Libório Romanelli', 'Marcos Milan', 'Rafael Cesar Tieppo']","['1', '2', '3']",['1'],-99.0,5401789813032087,Thiago Libório Romanelli,Romanelli,"ROMANELLI, T. L.;Romanelli, Thiago L.;Romanelli, Thiago Libório;ROMANELLI, THIAGO",Piracicaba,SP,"Atualmente é Professor Titular do Departamento de Engenharia de Biossistemas, ESALQ/USP. Atua nos temas: Fluxos de Materiais e de Energia em Sistemas de Produção, Sustentabilidade, Análises de Ciclo de Vida e Viabilidade econômica de adoção de tecnologia. É Engenheiro Agrônomo pela Universidade de São Paulo (2000), mestre em Máquinas Agrícolas pela Universidade de São Paulo (2003) e doutor em Recursos Florestais pela Universidade de São Paulo (2007), tendo sido Research Associate do Center for Environmental Policy da University of Florida (2005-2006),  Professor Doutor (2008-2013) e Livre Docente em Mecânica e Máquinas Motoras pela Universidade de São Paulo (2013) . Fulbright Scholar - Cátedra de Ciências Agrárias na University of Nebraska/Lincoln (2017).",27-09-2021,Universidade de São Paulo,https://orcid.org/0000-0001-5407-9031
Machinery Management as an Environmental Tool - Material Embodiment in Agriculture,2012,,Inglês,E-journal - CIGR,B1,1682-1130,"['Thiago Libório Romanelli', 'Marcos Milan']","['1', '2']",['1'],-99.0,5401789813032087,Thiago Libório Romanelli,Romanelli,"ROMANELLI, T. L.;Romanelli, Thiago L.;Romanelli, Thiago Libório;ROMANELLI, THIAGO",Piracicaba,SP,"Atualmente é Professor Titular do Departamento de Engenharia de Biossistemas, ESALQ/USP. Atua nos temas: Fluxos de Materiais e de Energia em Sistemas de Produção, Sustentabilidade, Análises de Ciclo de Vida e Viabilidade econômica de adoção de tecnologia. É Engenheiro Agrônomo pela Universidade de São Paulo (2000), mestre em Máquinas Agrícolas pela Universidade de São Paulo (2003) e doutor em Recursos Florestais pela Universidade de São Paulo (2007), tendo sido Research Associate do Center for Environmental Policy da University of Florida (2005-2006),  Professor Doutor (2008-2013) e Livre Docente em Mecânica e Máquinas Motoras pela Universidade de São Paulo (2013) . Fulbright Scholar - Cátedra de Ciências Agrárias na University of Nebraska/Lincoln (2017).",27-09-2021,Universidade de São Paulo,https://orcid.org/0000-0001-5407-9031
Material flow determination through agricultural machinery management,2010,10.1590/S0103-90162010000400001,Inglês,Scientia Agrícola (USP. Impresso),A1,0103-9016,"['Thiago Libório Romanelli', 'Milan, Marcos']","['1', '2']",['1'],-99.0,5401789813032087,Thiago Libório Romanelli,Romanelli,"ROMANELLI, T. L.;Romanelli, Thiago L.;Romanelli, Thiago Libório;ROMANELLI, THIAGO",Piracicaba,SP,"Atualmente é Professor Titular do Departamento de Engenharia de Biossistemas, ESALQ/USP. Atua nos temas: Fluxos de Materiais e de Energia em Sistemas de Produção, Sustentabilidade, Análises de Ciclo de Vida e Viabilidade econômica de adoção de tecnologia. É Engenheiro Agrônomo pela Universidade de São Paulo (2000), mestre em Máquinas Agrícolas pela Universidade de São Paulo (2003) e doutor em Recursos Florestais pela Universidade de São Paulo (2007), tendo sido Research Associate do Center for Environmental Policy da University of Florida (2005-2006),  Professor Doutor (2008-2013) e Livre Docente em Mecânica e Máquinas Motoras pela Universidade de São Paulo (2013) . Fulbright Scholar - Cátedra de Ciências Agrárias na University of Nebraska/Lincoln (2017).",27-09-2021,Universidade de São Paulo,https://orcid.org/0000-0001-5407-9031
Usados de valor,2016,,Português,Cultivar Máquinas,B5,1676-0158,"['Thiago Libório Romanelli', 'Leandro Maria Gimenez', 'Giovani Apolari Ghirardello']","['1', '2', '3']",['1'],-99.0,5401789813032087,Thiago Libório Romanelli,Romanelli,"ROMANELLI, T. L.;Romanelli, Thiago L.;Romanelli, Thiago Libório;ROMANELLI, THIAGO",Piracicaba,SP,"Atualmente é Professor Titular do Departamento de Engenharia de Biossistemas, ESALQ/USP. Atua nos temas: Fluxos de Materiais e de Energia em Sistemas de Produção, Sustentabilidade, Análises de Ciclo de Vida e Viabilidade econômica de adoção de tecnologia. É Engenheiro Agrônomo pela Universidade de São Paulo (2000), mestre em Máquinas Agrícolas pela Universidade de São Paulo (2003) e doutor em Recursos Florestais pela Universidade de São Paulo (2007), tendo sido Research Associate do Center for Environmental Policy da University of Florida (2005-2006),  Professor Doutor (2008-2013) e Livre Docente em Mecânica e Máquinas Motoras pela Universidade de São Paulo (2013) . Fulbright Scholar - Cátedra de Ciências Agrárias na University of Nebraska/Lincoln (2017).",27-09-2021,Universidade de São Paulo,https://orcid.org/0000-0001-5407-9031
Desenvolvimento de um aparelho alternativo para determinação da estabilidade de agregados via úmida,2011,,Português,Scientia Plena,B5,1808-2793,"['Rafael Cesar Tieppo', 'Alexandre Luiz Puhl', 'CASSIANO CREMON', 'Wininton Mendes Silva', 'Jucélio Marcos Carvalho']","['1', '2', '3', '4', '5']",['1'],-99.0,3275865819287843,Rafael Cesar Tieppo,Tieppo,"TIEPPO, R. C.;TIEPPO, RAFAEL CESAR;TIEPPO, RAFAEL CÉSAR;R. C. TIEPPO",Cascavel,PR,"Rafael Tieppo possui graduação em Engenharia Agícola pela Universidade Estadual do Oeste do Paraná (2001), mestrado em Engenharia Agrícola pela Universidade Estadual do Oeste do Paraná (2004) e doutorado em Engenharia de Sistemas Agrícolas pela Universidade de São Paulo, ESALQ-USP com período sanduíche na Aarhus University - Dinamarca. Atualmente é professor adjunto da Universidade do Estado de Mato Grosso. Tem experiência na área de Engenharia Agrícola, atuando no momento com os seguintes temas: agricultura digital, geoprocessamento e mecanização agrícola.",15-07-2021,Universidade do Estado de Mato Grosso,http://orcid.org/0000-0001-8132-4813
Sistema computacional para otimização na seleção de fertilizantes,2010,,Português,Scientia Plena,B5,1808-2793,"['Rafael Cesar Tieppo', 'CASSIANO CREMON', 'Luís César da Silva', 'Rivanildo Dallacort', 'Adalberto Santi']","['1', '2', '3', '4', '5']",['1'],-99.0,3275865819287843,Rafael Cesar Tieppo,Tieppo,"TIEPPO, R. C.;TIEPPO, RAFAEL CESAR;TIEPPO, RAFAEL CÉSAR;R. C. TIEPPO",Cascavel,PR,"Rafael Tieppo possui graduação em Engenharia Agícola pela Universidade Estadual do Oeste do Paraná (2001), mestrado em Engenharia Agrícola pela Universidade Estadual do Oeste do Paraná (2004) e doutorado em Engenharia de Sistemas Agrícolas pela Universidade de São Paulo, ESALQ-USP com período sanduíche na Aarhus University - Dinamarca. Atualmente é professor adjunto da Universidade do Estado de Mato Grosso. Tem experiência na área de Engenharia Agrícola, atuando no momento com os seguintes temas: agricultura digital, geoprocessamento e mecanização agrícola.",15-07-2021,Universidade do Estado de Mato Grosso,http://orcid.org/0000-0001-8132-4813
Software para Otimização Operacional e Econômica de Aeronaves Agrícolas de Asa Fixa,2001,,Português,Revista Brasileira de Agrocomputação,XX,1676-0425,"['Rafael Cesar Tieppo', 'Erivelto Mercante', 'Alcir José Modolo', 'Fabio WronsKi', 'Antonio Gabriel Filho', 'Jerry Adriani Johann', 'Eduardo Godoy de Souza']","['1', '2', '3', '4', '5', '6', '7']",['1'],-99.0,3275865819287843,Rafael Cesar Tieppo,Tieppo,"TIEPPO, R. C.;TIEPPO, RAFAEL CESAR;TIEPPO, RAFAEL CÉSAR;R. C. TIEPPO",Cascavel,PR,"Rafael Tieppo possui graduação em Engenharia Agícola pela Universidade Estadual do Oeste do Paraná (2001), mestrado em Engenharia Agrícola pela Universidade Estadual do Oeste do Paraná (2004) e doutorado em Engenharia de Sistemas Agrícolas pela Universidade de São Paulo, ESALQ-USP com período sanduíche na Aarhus University - Dinamarca. Atualmente é professor adjunto da Universidade do Estado de Mato Grosso. Tem experiência na área de Engenharia Agrícola, atuando no momento com os seguintes temas: agricultura digital, geoprocessamento e mecanização agrícola.",15-07-2021,Universidade do Estado de Mato Grosso,http://orcid.org/0000-0001-8132-4813
