PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Metodologia de detecção e padrões de tolerância para fungos de risco em sementes de algodão e milho no estado de Minas Gerais.,2004,2006,PESQUISA,"['Dejânia Vieira de Araújo', 'José da Cruz Machado', 'Enia Mara de Carvalho', 'Marcos A Freitas']","['NAO', 'SIM', 'NAO', 'NAO']"
"Diagnose seletiva, níveis de interação e controle de patógenos em sementes de culturas importantes no Brasil.",2006,2008,PESQUISA,"['Dejânia Vieira de Araújo', 'José da Cruz Machado', 'Edson Ampélio Pozza', 'Eduardo Alves', 'Alan Carvalho Andrade', 'Antonia dos Reis Figueira', 'Maria das Graças Guimarães Carvalho', 'Renato Mendes Guimarães', 'Ellen Noly Barrocas', 'Carla Lima Corrêa']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Transmissibilidade de Fusarium oxysporum f.sp. vasinfectum a partir de sementes de algodoeiro e o controle alternativo do patógeno,2009,2011,PESQUISA,"['Dejânia Vieira de Araújo', 'Andréia Q Machado', 'Elisandra Batista Zambenedetti Magnani', 'Virgínia Helena de Azevedo', 'Rivanildo Dallacort', 'Adalberto Santi', 'Mônica Josene Barbosa Pereira', 'Ílio Fealho de Carvalho', 'Jane Rodrigues de Assis Machado']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Transmissibilidade de Colletotrichum gossypii var. cephalosporioides e Colletotrichum dematium var. truncata associados às sementes de algodão e de soja e o estudo epidemiológico da ramulose e da antracnose em mato grosso.,2008,2012,PESQUISA,"['Dejânia Vieira de Araújo', 'José da Cruz Machado', 'Marcelo de C Alves', 'Elisandra Batista Zambenedetti Magnani', 'Virgínia Helena de Azevedo', 'Rivanildo Dallacort', 'Jane Rodrigues de Assis Machado', 'Jaqueline Aguilla Pizzato']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Ações de manejo integrado de pragas e doenças nas culturas de importância econômica do município de Tangará da Serra.,2009,2011,EXTENSAO,"['Dejânia Vieira de Araújo', 'Mônica Josene Barbosa Pereira']","['NAO', 'SIM']"
Indicação de cultivares de maracujá adaptadas ao estado de Mato Grosso,2009,2011,PESQUISA,"['Dejânia Vieira de Araújo', 'Virgínia Helena de Azevedo', 'Rivanildo Dallacort', 'Maurecilne Lemes da Silva', 'Willian Krause', 'Alexandre Pio Viana', 'Fábio Gelape Faleiro', 'José Airton Rodrigues Nunes']","['NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
Atividade de celulase de fungos isolados de solo de áreas de floresta em Tangará da Serra - MT.,2009,2011,PESQUISA,"['Dejânia Vieira de Araújo', 'Ílio Fealho de Carvalho', 'Maurecilne Lemes da Silva', 'Rubens Monti', 'Cristiane F. Lopes de Araújo']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
CETEGEO-SR - Centro Tecnológico de Geoprocessamento e Sensoriamento Remoto aplicado à produção de biodiesel,2010,2013,PESQUISA,"['Dejânia Vieira de Araújo', 'Virgínia Helena de Azevedo', 'Rivanildo Dallacort', 'Adalberto Santi', 'Edenir Maria serigatto', 'Celice Alexandre Silva', 'Maria Eloisa Mignoni', 'Alex Sabino dos Santos']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Avaliação da resistência genética das cultivares às doenças; formação de recursos humanos; produção científica,2011,2015,PESQUISA,"['Dejânia Vieira de Araújo', 'Virgínia Helena de Azevedo', 'Maurecilne Lemes da Silva', 'Willian Krause', 'Leonarda Grillo Neves', 'Petterson Baptista da Luz', 'Severino de Paiva Sobrinho', 'Marco Antônio Aparecido Barelli', 'Fábio Gelape Falleiro', 'Elisangela Clarete Camili', 'Milson Evaldo Serafim', 'Messias Gonzaga Pereira', 'Telma Nair Santana Pereira']","['NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Caracterização e conservação de recursos genéticos e identificação de fontes de resistência à fusariose do abacaxizeiro no estado de mato grosso,2010,2012,PESQUISA,"['Dejânia Vieira de Araújo', 'Virgínia Helena de Azevedo', 'Patrícia Helena de Azevedo', 'Ílio Fealho de Carvalho', 'Daniela Tiago da Silva Campos', 'Maurecilne Lemes da Silva', 'Willian Krause', 'Leonarda Grillo Neves', 'EDNAMAR GABRIELA PALÚ', 'José Aires Ventura', 'José Emílio Bettiol Neto', 'Davi Theodoro Junghans']","['NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
