TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Fundamentos Teórico-Metodológicos na Área de Deficiência Mental,2005,Português,VAZIO,['Olimpia Maluf Souza'],['1'],['1']
"Fronteiras Discursivas: espaços de significação entre a Linguagem, a História e a Cultura",2007,Português,VAZIO,['Olimpia Maluf Souza'],['1'],['1']
Linguagem e História: Múltiplos Territórios Teóricos,2010,Português,VAZIO,"['Ana Maria Di Renzo', 'Eliana de Almeida', 'José Leonildo Lima', 'Olimpia Maluf Souza']","['1', '2', '3', '4']",['4']
"Discurso, Sujeito e memória",2012,Português,VAZIO,"['Olimpia Maluf Souza', 'Valdir Silva', 'Eliana de Almeida', 'Leila salomão Jacob Bisinoto']","['1', '2', '3', '4']",['1']
O princípio da dignidade humana e de inclusão social,2017,Português,VAZIO,"['Olimpia Maluf Souza', 'Patrícia Aparecida da Silva']","['1', '2']",['1']
Redes Discursivas: a língua(gem) na pós-graduação,2012,Português,VAZIO,"['Olimpia Maluf Souza', 'Valdir Silva', 'Eliana de Almeida', 'Leila salomão Jacob Bisinoto']","['1', '2', '3', '4']",['1']
