TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
EDUCAÇÃO NA CIDADE: Jovens na Praça Pública em Cáceres-MT,2007,Português,EdUFMT,"['Maria Aparecida Morgado', 'MARIA UBALDINA COSTA SANCHES', 'OLGA MARIA DE SENA JESUS', 'MARICELIA PADILHA DA COSTA', 'JOSILEY CARRIJO RAFAEL', 'MEIRE ROSE DOS ANJOS OLIVEIRA', 'Maria da Penha Fornanciari Antunes']","['1', '2', '3', '4', '5', '6', '7']",['7']
O cenario social da Praça Barão do Rio Branco em Cáceres/MT,2009,Português,Editora CRV Ltda,"['Maria da Penha Fornanciari Antunes', 'Kesia Vaz dos Santos', 'Josiane Magalhães', 'Marcelo Luis Grassi Beck', 'Guilherme Angerames Rodrigues Vargas', 'Maria do Horto Salles Tiellet', 'Fabiane Cristina da Silva', 'Renata Lourenço', 'Luciene Candia', 'Alexandre Fornanciari Wolski']","['1', '10', '2', '3', '4', '5', '6', '7', '8', '9']",['1']
Educação na cidade: jovens na praça pública em Cáceres-MT,2007,Português,Editora UFMT,['Maria da Penha Fornanciari Antunes'],['1'],['1']
