PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Teoria e prática em Orientação profissional nos tempos de globalização,2010,2012,EXTENSAO,['Graciela Constantino'],['SIM']
Aquarela do Conhecimento: uma ação do Campus Universitário de Cáceres-Mt destinada as Escolas do Ensino Público e Privado do município de Cáceres-MT,2012,2013,EXTENSAO,['Graciela Constantino'],['SIM']
Projeto Capoeira: uma prática sócio-educativa construindo a cidadania e a democracia,2012,2013,EXTENSAO,"['Graciela Constantino', 'Suely Cristina Lopes Siqueira']","['SIM', 'NAO']"
Aquarela do conhecimento,2012,2013,OUTRA,"['Graciela Constantino', 'Anderson Marques do Amaral']","['SIM', 'NAO']"
Stress e resiliência em professores do ensino fundamental da rede pública do município de Cáceres-MT,2012,ATUAL,PESQUISA,"['Graciela Constantino', 'Marcelo Luis Grassi Beck', 'Josiane Magalhães']","['SIM', 'NAO', 'NAO']"
Teoria e prática em Orientação Profissional (PIBID),2014,ATUAL,OUTRA,['Graciela Constantino'],['SIM']
Teoria e prática em Orientação Profissional em tempos globais/FAPEMAT,2010,2011,OUTRA,"['Graciela Constantino', 'Liliane Cristina Gomes', 'Alander José do Carmo']","['SIM', 'NAO', 'NAO']"
Dificuldades de aprendizagem nas articulações sociopsicopedagógicas de crianças pantaneiras,2003,2004,PESQUISA,['Graciela Constantino'],['SIM']
