TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Análise espaço-temporal do uso e ocupação na mata ciliar do rio Paraguai município de Barra do Bugres - MT/Brasil,2014,Português,EDUEPA,"['Seyla P M Pessoa', 'Jesã Pereira Kreitlow', 'Mauricio F Mendes', 'Edineia Aparecida dos Santos Galvanin', 'Sandra Mara Alves da Silva Neves', 'Rivanildo Dallacort']","['1', '2', '3', '4', '5', '6']",['6']
Manejo da água,2018,Português,EDUEM,"['Paulo Sergio Lourenço de Freitas', 'Rivanildo Dallacort', 'João Danilo Barbieri', 'Altair Bertonha']","['1', '2', '3', '4']",['2']
Distribuição espacial da precipitação pluvial no Estado de Mato Grosso,2012,Português,Baraúna,"['Vanessa Rakel de Moraes Dias', 'Rivanildo Dallacort', 'Luciana Sanches', 'Kássio de Marco', 'Erondina Azevedo de Lima']","['1', '2', '3', '4', '5']",['2']
