TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK
Acordos e Desacordos da Modernidade,1994,,Português,Cadernos de Pesquisa Programa de Pós Graduação Em Educação Mestrado,XX,-,['Maria do Horto Salles Tiellet'],['1'],['1']
"Conflitos e violência em escolas públicas estaduais em uma região de fronteira, Cáceres/MT: a percepção dos professores",2012,,Português,Série-Estudos (UCDB),XX,1414-5138,"['Maria do Horto Salles Tiellet', 'Berenice Corsetti']","['1', '2']",['1']
Juventude e contemporaneidade: vínculos complexos e futuro incerto,2013,10.5583/ECOOS.32.4260,Português,ECCOS REVISTA CIENTÍFICA (ONLINE),XX,1983-9278,"['Maria do Horto Salles Tiellet', 'Maria da Penha Fornanciari Antunes', 'José Ferreira da Costa']","['1', '2', '3']",['1']
Profesoras y docencia de estudiantes del sexo masculino de práctica profesional en una guardería: desafíos en las relaciones entre géneros.,2014,,Espanhol,SUBJETIVIDAD Y PROCESOS COGNITIVOS,XX,1666-244X,"['Lígia Cappi Manzini', 'Maria do Horto Salles Tiellet']","['1', '2']",['2']
Autogestão como forma de resolução dos conflitos e dos atos de violência: um estudo de caso,2015,,Português,REVISTA FAED - UNEMAT,C ,2178-7476,"['Guilherme Angerames Rodrigues Vargas', 'Maria do Horto Salles Tiellet']","['1', '2']",['2']
Ações de extensão em um centro de atendimento socioeducativo do estado de Mato Grosso,2017,10.26568/2359-2087-20172245,Português,EDUCA - REVISTA MULTIDISCIPLINAR EM EDUCAÇÃO,C ,2359-2087,"['Maria do Horto Salles Tiellet', 'Fábio da Penha Coelho', 'Tatiana dos Santos Coutinho', 'Luana Reis de Brito']","['1', '2', '3', '4']",['1']
Centro Socioeducativo de Cáceres/MT:um estudo exploratório,2015,,Português,TEMAS EM EDUCACAO,B2,2359-7003,"['Juliano Claudio Alves', 'Maria do Horto Salles Tiellet']","['1', '2']",['2']
Docencia masculina en la educación infantil: Discurso de negación de la comunidad escolar,2018,,Espanhol,SUBJETIVIDAD Y PROCESOS COGNITIVOS,XX,1666-244X,"['Lígia Cappi Manzini', 'Maria do Horto Salles Tiellet', 'Leonardo Cappi Manzini']","['1', '2', '3']",['2']
A violência na escola e os adolescentes em conflito com a lei: estudo de caso,2019,10.18675/1981-8106.vol29.n60.p197-215,Português,EDUCAÇÃO: TEORIA E PRÁTICA,B2,1981-8106,"['Thellma Vieira Batista', 'Maria do Horto Salles Tiellet', 'Daniel Stefano', 'Marcos Ferreira Medeiros']","['1', '2', '3', '4']",['2']
Potencialidades de reinserção social do adolescente infrator através de atividades de esporte e lazer no Centro de Atendimento socioeducativo de Cáceres/MT,2017,,Português,REVISTA COCAR (ONLINE),B4,2237-0315,"['Maria do Horto Salles Tiellet', 'Josiane Magalhães', 'Idelmar da Silva Freitas']","['1', '2', '3']",['1']
