TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
"Consumo de óleo diesel na agricultura: operações de preparo de solo, plantio e colheita",2008,Português,VAZIO,['Thiago Libório Romanelli'],['1'],['1']
Agroenergy and Sustainability,2009,Inglês,VAZIO,"[""Marisa Aparecida Bismara Regitano d'Arce"", 'Thais Maria Ferreira de Souza Vieira', 'Thiago Libório Romanelli']","['1', '2', '3']",['3']
Recursos energéticos e ambiente,2015,Português,VAZIO,"['Walter Francisco Molina Junior', 'Thiago Libório Romanelli']","['1', '2']",['2']
