ID,TITLE,YEAR,DOI,LANG,JOURNAL,ISSN,QUALIS,JCR,AUTHOR,ORDER,ORDER_OK,ID_CNPQ
5401789813032087,Energy balance methodology and modeling of supplementary forage production for cattle in Brazil,2005,10.1590/S0103-90162005000100001,Inglês,SCIENTIA AGRICOLA,1678992X,A2,-99,"['Thiago Libório Romanelli', 'Marcos Milan']","['1', '2']",1,"['5401789813032087', '8546931959901120']"
5401789813032087,"Emergy Synthesis of Intensive Eucalyptus Cultivation in São Paolo, Brazil",2008,10.1093/forestscience/54.2.228,Inglês,FOREST SCIENCE,0015749X,XX,1.058,"['Thiago Libório Romanelli', 'Matthew J. Cohen', 'Marcos Milan', 'Mark T. Brown']","['1', '2', '3', '4']",1,"['5401789813032087', '', '8546931959901120', '']"
5401789813032087,O biodiesel e o consumo de energia na agricultura,2009,,Português,Boletim de Pesquisa de Soja,18077676,XX,-99,"['João Gomes Martines Filho', 'Natália Zancan', 'Thiago Libório Romanelli']","['1', '2', '3']",3,"['', '1910799757198584', '5401789813032087']"
5401789813032087,Material flow determination through agricultural machinery management,2010,10.1590/S0103-90162010000400001,Inglês,Scientia Agrícola (USP. Impresso),01039016,A2,-99,"['Thiago Libório Romanelli', 'Milan, Marcos']","['1', '2']",1,"['', '8546931959901120']"
5401789813032087,Energy performance of a production system of eucalyptus,2010,10.1590/S1415-43662010000800015,Inglês,Revista Brasileira de Engenharia Agrícola e Ambiental (Impresso),14154366,B1,0.649,"['Thiago Libório Romanelli', 'Milan, Marcos']","['1', '2']",1,"['5401789813032087', '8546931959901120']"
5401789813032087,Energy flow in castor bean (Ricinus communis L.) production systems,2010,10.1590/S0103-90162010000600018,Inglês,Scientia Agrícola (USP. Impresso),01039016,A2,-99,"['Silva, Adilson Nunes da', 'Thiago Libório Romanelli', 'Reichardt, Klaus']","['1', '2', '3']",2,"['', '', '5452949507381981']"
5401789813032087,Capacity in mechanical harvesting of sugar cane,2010,10.1590/S0103-90162010000600001,Português,SCIENTIA AGRICOLA,1678992X,A2,-99,"['Paulo Rodrigues Peloia', 'Marcos Milan', 'Thiago Libório Romanelli']","['1', '2', '3']",3,"['7779692832696531', '8546931959901120', '5401789813032087']"
5401789813032087,Material embodiment and energy flows as efficiency indicators of soybean (Glycine max) production in Brazil,2012,10.1590/S0100-69162012000200006,Inglês,Engenharia Agrícola (Impresso),01006916,B1,-99,"['Thiago Libório Romanelli', 'Hudson Souza Nardi', 'Filipe Alonso Saad']","['1', '2', '3']",1,"['', '', '']"
5401789813032087,Mecanización del cultivo de la caña de azúcar,2010,,Espanhol,Agrotécnica (Madrid),18866514,XX,-99,"['Tomaz Caetano Cannavan Rípoli', 'Thiago Libório Romanelli']","['1', '2']",2,"['', '']"
5401789813032087,Agricultura sustentável sem mitos,2009,,Português,Agroanalysis (FGV),01004298,B4,-99,['Thiago Libório Romanelli'],['1'],1,['']
