ID,INSTITUTION,INSTITUTION_CODE,YEAR,YEAR_FIN,MONTH_INI,MONTH_FIN,DEGREE,DEGREE_ID,TYPE,TITLE
5859946324646438,Universidade da Califórnia Davis,J3U600000000,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO
5859946324646438,Escola de Inglês System,000400000997,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO
5859946324646438,Escola Superior de Agricultura &quot;Luiz de Queiroz&quot;,000200000993,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO
5859946324646438,Universidade do Estado de Mato Grosso,841500000008,2017,2017,03,07,Agronomia,60280700,GRADUACAO,"['Entomologia geral', 'Entomologia agrícola']"
5859946324646438,Nuvem Tecnologia,000600000990,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO
