PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Recuperação do viveiro de mudas da Escola Rural Produtiva de Alta Floresta,2005,2006,EXTENSAO,"['Adalberto Santi', 'Oscar Mitsuo Yamashita', 'Walmor Moya Peres', 'Ary Gertes Carneiro Júnior']","['SIM', 'NAO', 'NAO', 'NAO']"
"Comportamento de cultivares de alface em diferentes épocas de semeaduras, sob cultivo protegido e céu aberto",2005,2006,EXTENSAO,"['Adalberto Santi', 'Walmor Moya Peres', 'Everton da Silva Neiro', 'Marco Antônio Camillo de Carvalho']","['NAO', 'NAO', 'NAO', 'SIM']"
"Caracterização da paisagem, espacialização dos atributos dos solos e levantamentos pedológico da área experimental da UNEMAT, Campus de Alta Floresta",2005,2006,EXTENSAO,"['Adalberto Santi', 'Cassiano Garcia Roque', 'Walmor Moya Peres', 'Everton da Silva Neiro']","['NAO', 'SIM', 'NAO', 'NAO']"
Recuperação de pastagens degradadas através da sucessão de culturas e diferentes sistemas de preparo,2005,2006,PESQUISA,"['Adalberto Santi', 'Everton da Silva Neiro', 'Marco Antônio Camillo de Carvalho', 'Vilma Barreto Vila']","['NAO', 'NAO', 'NAO', 'SIM']"
Fortalecimento da formação em manejo florestal da Universidade do Estado de Mato Grosso - Campus de Alta Floresta/MT,2004,2006,PESQUISA,"['Adalberto Santi', 'Cassiano Garcia Roque', 'Marco Antônio Camillo de Carvalho', 'Rubens Marques Rondon Neto', 'Delmonte Roboredo', 'Éderson Augusto Zanetti', 'Ivan Cleiton Oliveira da Silva', 'Jociane Rosseto', 'Leandro Schwertner Charão', 'Leila Cristiane Delmadi', 'Luis carlos Paggi', 'Ricardo Keichi Umetsu']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"Avaliação de riscos a saúde dos moradores de Tangará da Serra, devido aos efeitos de alterações climáticas e da microbiota de fungos alérgenos da atmosfera",2007,2010,PESQUISA,"['Adalberto Santi', 'Rivanildo Dallacort']","['NAO', 'SIM']"
"Avaliação da torta de filtro no cultivo da alface em diferentes épocas de semeadura, sob cultivo protegido e céu aberto.",2008,2010,PESQUISA,"['Adalberto Santi', 'Márcio Lustosa Santos', 'Rivanildo Dallacort', 'Marice Cristine Vendruscolo', 'Dejânia Vieira de Araújo']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Transmissibilidade de Fusarium oxysporum f.sp. vasinfectum a partir de sementes de algodoeiro e o controle alternativo do patógeno,2009,2011,PESQUISA,"['Adalberto Santi', 'Rivanildo Dallacort', 'Virgínia Helena de Azevedo', 'Dejânia Vieira de Araújo', 'Mônica Josene Barbosa Pereira', 'Elisandra Batista Zambenedetti Magnani', 'Ílio Fealho de Carvalho', 'Andréia Quizabeira Machado', 'Jane rodrigues de Assis Machado']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
CETEGEO-SR - Centro tecnológico de geoprocessamento e sensoriamento remoto aplicado à produção de biodiesel,2008,ATUAL,PESQUISA,"['Adalberto Santi', 'Rivanildo Dallacort', 'Dejânia Vieira de Araújo', 'Cassiano Cremon', 'Edinéia A. dos S. Galvanin', 'Rafael Cesar Tieppo', 'Edenir Maria Serigatto']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Aplicação e transferência de tecnologias na otimização de sistemas agrícolas sustentáveis,2010,ATUAL,PESQUISA,"['Adalberto Santi', 'Rivanildo Dallacort', 'Rafael Cesar Tieppo', 'João Cleber Modernel da Silveira', 'Santino Seabra Junior', 'Maria Cândida Moitinho Nunes', 'Elisangela Clarete Camili', 'Nuno Rodrigo Madeira', 'Antonio Nobre da Silva']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
