PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Democracia: Concepções e Possibilidades de Construção de Ambiências Participativas.,2004,2006,PESQUISA,"['Laudemir Luiz Zart', 'Neodir Paulo Travessini']","['SIM', 'NAO']"
Educação Ambiental: processos sócio-culturais para a reconstrução curricular e a construção da sócio-economia solidária.,2003,2005,PESQUISA,"['Laudemir Luiz Zart', 'Josivaldo Constantino dos Santos', 'Fiorelo Picoli', 'Odimar João Peripolli']","['NAO', 'SIM', 'NAO', 'NAO']"
A Perspectiva de Meio Ambiente Presente nos Livros Didáticos de 1ª a 4ª Séries Adotados em Escolas Públicas no Município de Sinop,1999,2001,PESQUISA,['Laudemir Luiz Zart'],['SIM']
Gaia IV: Estudos sobre o Ecossistema e Formação de um Parque Ecológico na Reserva do Córrego Marlene - Sinop.,1999,2001,PESQUISA,"['Laudemir Luiz Zart', 'Regina Bongiovanni']","['NAO', 'SIM']"
Olho Verde: a seletividade do lixo no município de Sinop.,1999,2002,PESQUISA,"['Laudemir Luiz Zart', 'Heloisa Salles Gentil']","['NAO', 'SIM']"
Currículo e Docência do Ensino Superior Universitário: uma práxis educativa em construção.,2005,2008,PESQUISA,"['Laudemir Luiz Zart', 'Heloisa Salles Gentil', 'Loriége Pessoa Bitencourt']","['SIM', 'NAO', 'NAO']"
"Incubação de uma Cooperativa de Jovens e a Implantação de um Viveiro de Produção de Mudas de Essência Florestal Nativas, Frutíferas e Medicinais",2006,2008,PESQUISA,"['Laudemir Luiz Zart', 'Cóvis Vailant', 'Rogério de Oliveira Costa']","['SIM', 'NAO', 'NAO']"
Mapeamento da Economia Solidária no Estado de Mato Grosso,2005,2007,PESQUISA,"['Laudemir Luiz Zart', 'Cóvis Vailant', 'Rogério de Oliveira Costa']","['NAO', 'SIM', 'NAO']"
Incubar - Incubar Incubadoras,2005,2007,PESQUISA,"['Laudemir Luiz Zart', 'Cóvis Vailant']","['NAO', 'SIM']"
Avaliação do PNQ - Plano Nacional de Qualificação.,2005,2007,PESQUISA,"['Laudemir Luiz Zart', 'Cóvis Vailant', 'Iraci Aguiar Medeiros']","['NAO', 'NAO', 'SIM']"
Configuração Sócio-econômica e Político-cultural dos/as Camponeses/as da Via Campesina vinculados ao CAMOSC.,2006,2009,PESQUISA,"['Laudemir Luiz Zart', 'Loriége Pessoa Bitencourt', 'Cóvis Vailant', 'João Ivo Puhl']","['SIM', 'NAO', 'NAO', 'NAO']"
Saberes Sócio-históricos Apreendidos por Estudantes Universitários,2007,2009,PESQUISA,['Laudemir Luiz Zart'],['SIM']
Desenvolvimento de Métodos e Técnicas de Incubação de Empreendimentos Econômicos Solidários em Mato Grosso,2004,2006,PESQUISA,"['Laudemir Luiz Zart', 'Cóvis Vailant', 'Gilmar Laforga']","['SIM', 'NAO', 'NAO']"
PIIS - Projeto de Integração e Inclusão Social.,2004,2007,PESQUISA,"['Laudemir Luiz Zart', 'Cóvis Vailant', 'Rogério de Oliveira Costa']","['SIM', 'NAO', 'NAO']"
A Agricultura Familiar Camponesa no Norte de Mato Grosso,2002,2004,OUTRA,['Laudemir Luiz Zart'],['SIM']
Processos Metodológicos e Problemáticas Socioculturais para a Estruturação de uma Cooperativa,2000,2001,PESQUISA,['Laudemir Luiz Zart'],['SIM']
Cooperação em Ação: perpectivas pedagógicas e epistemológicas freirianas.,2000,2003,PESQUISA,"['Laudemir Luiz Zart', 'Loriége Pessoa Bitencourt']","['SIM', 'NAO']"
História de Vida: trajetória de vida e referenciais histórico-analíticos para compreender a visão de mundo de sujeitos sociais.,2002,2004,PESQUISA,['Laudemir Luiz Zart'],['SIM']
Gestão Pública de Resíduos Sólidos: coleta seletiva e reciclagem,2000,2002,PESQUISA,"['Laudemir Luiz Zart', 'Heloisa Salles Gentil', 'Regina Bongiovanni']","['SIM', 'NAO', 'NAO']"
Um Olhar Crítico-Propositivo sobre o Ambiente Escolar,2007,2009,PESQUISA,['Laudemir Luiz Zart'],['SIM']
A Concepção de Educação entre os Acadêmicos dos Cursos de Licenciatura da Universidade do Estado de Mato Grosso,1999,2001,PESQUISA,['Laudemir Luiz Zart'],['SIM']
Fortalecimento dos Empreendimentos Econômicos Solidários e Sustentáveis do Pantanal e Médio Norte de Mato Grosso,2008,2010,PESQUISA,"['Laudemir Luiz Zart', 'Loriége Pessoa Bitencourt', 'Cóvis Vailant', 'Rogério de Oliveira Costa']","['NAO', 'NAO', 'SIM', 'NAO']"
Percepções Sócio-culturais de Estudantes-Trabalhadores em Relação à (Im) Possibilidade da Interpretação Dialética Histórica da Realidade,2007,2009,PESQUISA,['Laudemir Luiz Zart'],['SIM']
Educação do Campo: formação e desenvolvimento comunitário,2010,2011,EXTENSAO,"['Laudemir Luiz Zart', 'Heloisa Salles Gentil', 'João Ivo Puhl', 'MACHADO, Ilma Ferreira']","['SIM', 'NAO', 'NAO', 'NAO']"
Mobilização e Formação Político-Pedagógica para a Elaboração de Políticas Públicas para a Educação do Campo no Município de Cáceres,2009,2010,EXTENSAO,"['Laudemir Luiz Zart', 'Rafaela Ferreira Santos', 'Valdivina Vilela Bueno Pagel', 'Rosângela Pereira de Oliveira', 'Ilma Ferreira Machado', 'Ana Lúcia Faria Ortiz Lopes', 'Jucyara Costa Sortica de Souza']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
EMPACE: Participação e Controle Social na Efetivação de Políticas Públicas no Município de Cáceres.,2011,2013,EXTENSAO,"['Laudemir Luiz Zart', 'Loriége Pessoa Bitencourt', 'João Ivo Puhl', 'Edson Penha Mendes', 'Dilma Lourença da Costa', 'Aparecido de Assis', 'Solange Ikeda Castrillon', 'José Ferreira da Costa', 'Jesus Vieira de Oliveira', 'Elizeth Gonzaga dos Santos Lima', 'Marcia Aparecida de Barros da Cruz']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"Projeto Político Pedagógico, Currículo e Formação por Áreas de Conhecimento nas Escolas do Campo do Município de Cáceres",2012,2014,EXTENSAO,"['Laudemir Luiz Zart', 'Heloisa Salles Gentil', 'João Ivo Puhl', 'Rafaela Ferreira Santos', 'Valdivina Vilela Bueno Pagel', 'Ilma Ferreira Machado', 'Ana Lúcia Faria Ortiz Lopes', 'Jucyara Costa Sortica de Souza']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Qualificação Através de Vivência em Situação Escolar,2011,2014,EXTENSAO,"['Laudemir Luiz Zart', 'Loriége Pessoa Bitencourt', 'Marcia Aparecida de Barros da Cruz']","['SIM', 'NAO', 'NAO']"
Análise do Processo de Formação e Organização Socioprodutiva de Jovens no Assentamento Antônio Conselheiro em Barra do Bugres e Tangará da Serra ? MT.,2013,2015,PESQUISA,"['Laudemir Luiz Zart', 'SGUAREZI, Sandro Benedito']","['SIM', 'NAO']"
Educação do Campo e Economia Solidária: desenvolvimento em território de Fronteira,2013,2015,EXTENSAO,"['Laudemir Luiz Zart', 'Heloisa Salles Gentil', 'Loriége Pessoa Bitencourt', 'Cóvis Vailant', 'João Ivo Puhl', 'Iraci Aguiar Medeiros', 'Valdivina Vilela Bueno Pagel', 'Ilma Ferreira Machado', 'Dilma Lourença da Costa', 'Jesus Vieira de Oliveira', 'Elizeth Gonzaga dos Santos Lima', 'Tânia Paula da Silva', 'Elias Bortoli', 'José Ricarte de Lima', 'Juliano Moreno Kersul de Carvalho', 'Leni Hack', 'Edson Félix da Silva', 'Maria Elizabete Nascimento de Oliveira', 'Rafaela Ferreira Santos', 'Marcia Aparecida de Barros da Cruz']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Incubação e Fortalecimento dos Empreendimentos Econômicos Solidários e Sustentáveis do Pantanal e Baixada Cuiabana,2013,2016,EXTENSAO,"['Laudemir Luiz Zart', 'José Ferreira da Costa', 'Vivian Lara Cáceres Dan', 'Clóvis Vailant', 'Thiago Wanderson Santana', 'Marcia Aparecida de Barros da Cruz', 'Jucilene de Oliveira Martins', 'Eliane dos Santos Martinez Paezano', 'Douglas Alexandre de Campos Castrillon Júnior']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
II PNERA - Pesquisa Nacional sobre Educação na Reforma Agrária no Brasil (1998-2010).,2012,2013,PESQUISA,['Laudemir Luiz Zart'],['SIM']
DESENVOLVIMENTO E FORTALECIMENTO CIENTÍFICO-TECNOLÓGICO DA JUVENTUDE CAMPONESA DO ENSINO MÉDIO DA ESCOLA ESTADUAL MADRE CRISTINA NO ASSENTAMENTO ROSELI NUNES - MIRASSOL DO OESTE - MT,2014,2017,PESQUISA,"['Laudemir Luiz Zart', 'Heloisa Salles Gentil', 'Loriége Pessoa Bitencourt', 'Ilma Ferreira Machado', 'José Ferreira da Costa', 'Cristiane Gonçalves Ribeiro', 'Vivian Lara Cáceres Dan', 'Clóvis Vailant', 'Thiago Wanderson Santana', 'Edson Félix da Silva', 'Marcia Aparecida de Barros da Cruz', 'Fernando Ferreira de Morais', 'Eliel Regis de Lima', 'Admilson Costa da Cunha', 'Antônio Nobre da Silva']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Configuração Socioprodutiva da Economia e Cultura Camponesa: análise da organização econômica e de capacidades de processos inovadores em três territórios de agricultura familiar.,2014,2016,PESQUISA,"['Laudemir Luiz Zart', 'Loriége Pessoa Bitencourt', 'João Ivo Puhl', 'Tânia Paula da Silva', 'Vivian Lara Cáceres Dan', 'Clóvis Vailant', 'Jucilene de Oliveira Martins', 'Eliane dos Santos Martinez Paezano', 'Douglas Alexandre de Campos Castrillon Júnior', 'Fernando Ferreira de Morais', 'Elias Bortoli', 'Marcia Cristina Dal Toé', 'Marli Auxiliadora de Almeida', 'Lilíane Trívellato Grassa', 'Ocipe Alexandre de Oliveira de Lima']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Articulação e Organização de Pesquisadores e Extensionistas para o Desenvolvimento de Atividades no Núcleo UNEMAT-UNITRABALHO.,2016,2018,EXTENSAO,"['Laudemir Luiz Zart', 'Heloisa Salles Gentil', 'Loriége Pessoa Bitencourt', 'João Ivo Puhl', 'Ilma Ferreira Machado', 'Dilma Lourença da Costa', 'José Ferreira da Costa', 'Vivian Lara Cáceres Dan', 'Clóvis Vailant', 'Marcia Aparecida de Barros da Cruz', 'Jucilene de Oliveira Martins', 'Eliane dos Santos Martinez Paezano', 'Douglas Alexandre de Campos Castrillon Júnior']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Formação e Organização do Trabalho Associado dos Catadores e Catadoras de Materiais Recicláveis de Cáceres,2016,2018,EXTENSAO,"['Laudemir Luiz Zart', 'Cóvis Vailant', 'EVELYN OLIVEIRA CARDOSO SANTOS', 'Eliane dos Santos Martinez Paezano', 'Luan Benedito Oliveira da Silva']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
"Economia Solidária: pedagogia da cooperação, desenvolvimento territorial, políticas públicas e empreendimentos econômicos de cooperação em Mato Grosso.",2015,ATUAL,EXTENSAO,['Laudemir Luiz Zart'],['SIM']
Estruturação do Centro de Comercialização Solidária e Sustentável de Cáceres ? MT para aprimoramento do processo de incubação e fortalecimento da rede de Empreendimentos Econômicos Solidários e Sustentáveis da Região do Pantanal Mato-grossense.,2017,ATUAL,EXTENSAO,"['Laudemir Luiz Zart', 'João Ivo Puhl', 'Iraci Aguiar Medeiros', 'Marcia Aparecida de Barros da Cruz', 'LIZANDRA OZEIA DE OLIVEIRA', 'Luan Benedito Oliveira da Silva', 'Claudio Wellker Oliveira Tavares', 'Yasmim Fernandes Coringa']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
