PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
"Elaboração de materiais didáticos de componentes curriculares dos cursos superiores de Tecnologia de Alimentos, Construção Civil e Meio Ambiente",2002,2004,OUTRA,"['Miriam Hiroko Inoue', 'Osvaldo Joaquim dos Santos']","['NAO', 'SIM']"
"Biologia e manejo de plantas daninhas aquáticas em um trecho do Rio Xambrê, PR.",2003,2004,PESQUISA,"['Miriam Hiroko Inoue', 'Osvaldo Joaquim dos Santos', 'Flávio Augusto Vicente Seixas', 'Jorge Takasusuki']","['NAO', 'NAO', 'SIM', 'NAO']"
Efeito isolado e sinergístico do óleo essencial e extrato bruto de Cymbopogon citratus (capim limão) e Ocimum basilicum (manjericão) em fungos fitopatogênicos,1997,1999,PESQUISA,['Miriam Hiroko Inoue'],['SIM']
"Avaliação da degradação do Latossolo Vermelho Escuro textura média derivado do Arenito Caiuá por métodos físicos, químicos e biológicos",1998,1999,PESQUISA,['Miriam Hiroko Inoue'],['SIM']
Efeito sinergístico Bidens pilosa (picão preto) e de Thymus vulgaris (tomilho) em fungos fitopatogênicos,1998,1999,PESQUISA,['Miriam Hiroko Inoue'],['SIM']
Seleção de bioindicadores e efeito da calagem no potencial de lixiviação de herbicidas em colunas de solo,1999,2000,PESQUISA,['Miriam Hiroko Inoue'],['SIM']
Efeito do óleo essencial e extrato bruto de capim limão (Cymbopogon citratus L.) sobre fungos fitopatológicos,1997,1998,PESQUISA,['Miriam Hiroko Inoue'],['SIM']
Análises de banco de sementes de plantas daninhas em agricultura de precisão,2004,2005,PESQUISA,['Miriam Hiroko Inoue'],['SIM']
Boas práticas na manipulação de alimentos,2004,2005,EXTENSAO,['Miriam Hiroko Inoue'],['SIM']
Avaliação da fitotoxicidade de lactofen na cultura da soja,2004,2005,PESQUISA,['Miriam Hiroko Inoue'],['SIM']
Atividade alelopática de Annona crassiflora e Xylopia aromatica sobre plantas daninhas na cultura da soja,2007,2010,PESQUISA,"['Miriam Hiroko Inoue', 'Mônica Josene Barbosa Pereira', 'Paulo Teixeira de Sousa Júnior']","['SIM', 'NAO', 'NAO']"
"Seleção de espécies de anonáceas com potencial inseticida, fungicida e herbicida no cerrado Matogrossense",2007,2010,PESQUISA,['Miriam Hiroko Inoue'],['SIM']
Efeito residual e lixiviação de herbicidas utilizados na cultura do algodão em Mato Grosso,2008,2010,PESQUISA,"['Miriam Hiroko Inoue', 'Rubem Silvério de Oliveira Júnior', 'Mônica Josene Barbosa Pereira', 'virgínia helena de azevedo', 'RIVANILDO DALLACORT', 'adley Bergson Gonçalves de Abreu']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Lixiviação e efeito residual de herbicidas utilizados na cultura da cana-de-açúcar no Estado de Mato Grosso,2009,2011,PESQUISA,"['Miriam Hiroko Inoue', 'Rubem Silvério de Oliveira Júnior', 'Mônica Josene Barbosa Pereira', 'virgínia helena de azevedo', 'RIVANILDO DALLACORT', 'Eliana Freire Gaspar de Carvalho Dores', 'adley Bergson Gonçalves de Abreu']","['NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
Comportamento de oxadiazon e oxyfluorfen em solos cultivados com Alliaceae,2013,2016,PESQUISA,"['Miriam Hiroko Inoue', 'kassio', 'Marcelo Reis', 'frederico garcia pinto', 'antonio alberto silva']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
Emergência e controle de capim-camalote e dinâmica de herbicidas na cultura da cana-de-açúcar,2014,2016,PESQUISA,"['Miriam Hiroko Inoue', 'Marcelo Rodrigues dos Reis', 'Kassio Ferreira Mendes', 'ELIELTON GERMANO DOS SANTOS', 'Roberto Antonio Savelli Martinez']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
"Características biológicas, susceptibilidade, absorção e translocação de herbicidas em plantas de capim-navalha",2015,2017,PESQUISA,"['Miriam Hiroko Inoue', 'Valdemar Luiz Tornisielo', 'Ana Carolina Dias Guimarães', 'Adriana Matheus da Costa Sorato']","['NAO', 'NAO', 'SIM', 'NAO']"
Isolamento e seleção de basidiomicetos ligninolíticos com potencial para degradação de herbicidas,2016,ATUAL,PESQUISA,"['Miriam Hiroko Inoue', 'Ilio F de Carvalho', 'HILTON MARCELO DE LIMA SOUZA']","['NAO', 'NAO', 'SIM']"
Características biológicas e controle de capim-capeta [Sporobolus indicus (L.) R. Br.] em áreas de pastagens da Região Amazônica,2016,ATUAL,PESQUISA,"['Miriam Hiroko Inoue', 'Valdemar Luiz Tornisielo', 'kassio', 'FERNANDA SATIE IKEDA', 'Ana Carolina Dias Guimarães', 'Adriana Matheus da Costa Sorato', 'Celia Regina Araujo Soares Lopes']","['NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
Desenvolvimento e Validação de Metodologia de Análise de Resíduos de Agrotóxicos em Hortaliças Utilizando Micro-Extração em Fase Sólida (MEFS),2009,2011,PESQUISA,"['Miriam Hiroko Inoue', 'Eliana Freire Gaspar de Carvalho Dores', 'adley Bergson Gonçalves de Abreu', 'Leandro Carbo']","['NAO', 'NAO', 'SIM', 'NAO']"
