PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Gestão da escola como prática simbólica-educativa: participação e grupalidade,2010,ATUAL,PESQUISA,['Ana Sebastiana Monteiro Ribeiro'],['SIM']
Projeto AABB Comunidade,2006,2007,EXTENSAO,['Ana Sebastiana Monteiro Ribeiro'],['SIM']
Produção de material didático para o Ensino Fundamental - Anos Iniciais,2012,ATUAL,PESQUISA,"['Ana Sebastiana Monteiro Ribeiro', 'Evanil Cardoso', 'NEVES, Ronaldo José', 'Rosalva Pereira Alencar', 'Maria Aparecida da Silva', 'ELISA MARIA JORGE DA CUNHA']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
ATIVIDADES COMPLEMENTARES DO ESTÁGIO SUPERVISIONADO III,2012,ATUAL,EXTENSAO,"['Ana Sebastiana Monteiro Ribeiro', 'CRISTIANA DE CAMPOS SILVA']","['SIM', 'NAO']"
Contextos Educativos da Infância.,2015,ATUAL,PESQUISA,"['Ana Sebastiana Monteiro Ribeiro', 'Waghma Fabiana Borges Rodrigues', 'Maria José Landivar de Figueiredo Barbosa', 'RINALDA BEZERRA CARLOS']","['NAO', 'NAO', 'NAO', 'SIM']"
Seminário Temático II: Docências no Ensino Superior - 30 horas.,2018,2018,EXTENSAO,"['Ana Sebastiana Monteiro Ribeiro', 'Eli Terezinha Henn Fabris']","['SIM', 'NAO']"
Extensão universitária em Seminário Avançado: Politicas Educacionais Gestão Democrática e desigualdades (30 horas). Universidade do Vale do Rio dos Sinos/São Leopoldo/RS,2018,2018,EXTENSAO,"['Ana Sebastiana Monteiro Ribeiro', 'Flávia Obino C. Werle']","['NAO', 'SIM']"
"Formação, constituição e atuação docente nas escolas públicas brasileiras: uma análise sobre a situação do professor iniciante",2018,ATUAL,PESQUISA,"['Ana Sebastiana Monteiro Ribeiro', 'Eli Terezinha Henn Fabris']","['SIM', 'NAO']"
"Extensão universitária em Seminário Temático I: La forma-escuela. Prof. Dr. Jorge Larrosa. (Carga horária: 24h). Universidade do Vale do Rio dos Sinos, UNISINOS, Brasil.",2017,2017,EXTENSAO,"['Ana Sebastiana Monteiro Ribeiro', 'Eli Terezinha Henn Fabris']","['SIM', 'NAO']"
"Extensão universitária em Seminário Temático A problemática do saber docente Prof. Dr. Maurice Tardif. (Carga horária: 24h). Universidade do Vale do Rio dos Sinos, UNISINOS, Brasil.",2017,2017,EXTENSAO,"['Ana Sebastiana Monteiro Ribeiro', 'Eli Terezinha Henn Fabris']","['SIM', 'NAO']"
"Extensão universitária em Tempos, Espaços e Educação Contemporânea. (Carga horária: 45h). Universidade do Vale do Rio dos Sinos, UNISINOS, Brasil.",2017,2017,EXTENSAO,"['Ana Sebastiana Monteiro Ribeiro', 'Maura Lopes Corcini']","['SIM', 'NAO']"
