ID,TITLE,TYPE,YEAR,DOI,LANG,PUBLISHER,ISSN,AUTHOR,ORDER,ORDER_OK,ID_CNPQ
5401789813032087,"Consumo de óleo diesel na agricultura: operações de preparo de solo, plantio e colheita",LIVRO_PUBLICADO,2008,,Português,Thiago Libório Romanelli,9788590906308,['Thiago Libório Romanelli'],['1'],1,['5401789813032087']
5401789813032087,Agroenergy and Sustainability,LIVRO_ORGANIZADO_OU_EDICAO,2009,,Inglês,EDUSP,9788531412158,"[""Marisa Aparecida Bismara Regitano d'Arce"", 'Thais Maria Ferreira de Souza Vieira', 'Thiago Libório Romanelli']","['1', '2', '3']",3,"['', '9409482864558611', '5401789813032087']"
5401789813032087,Recursos energéticos e ambiente,LIVRO_PUBLICADO,2015,,Português,Intersaberes,9788544301449,"['Walter Francisco Molina Junior', 'Thiago Libório Romanelli']","['1', '2']",2,"['', '']"
