PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Elementos e práticas constituintes de uma educação coletiva e do campo,2004,2006,PESQUISA,['Ilma Ferreira Machado'],['SIM']
Projetos Político-Pedagógicos para Escolas do Campo do Município de Cáceres-MT,2010,2012,PESQUISA,"['Ilma Ferreira Machado', 'Emília Darci Cuyabano']","['SIM', 'NAO']"
Educação do Campo: formação e desenvolvimento comunitário,2010,2012,EXTENSAO,"['Ilma Ferreira Machado', 'Laudemir Luiz Zart', 'João Ivo Puhl', 'heloisa sales gentil', 'Clovis Vailant']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
"A configuração do trabalho pedagógico e a formação dos educadores para as escolas do campo nas décadas de 1980 e 1990, no estado de Mato Grosso.",2013,2015,PESQUISA,"['Ilma Ferreira Machado', 'heloisa sales gentil', 'Valdivina Vilela Pagel', 'Roseli ferreira Lima', 'Edineia Natalino da Silva Santos', 'Luana dos Santos Nogueira Garcia', 'Fernando Rasnheski']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"Educação do Campo: currículo, formação de professores, docência e pedagogia da alternância",2014,ATUAL,EXTENSAO,"['Ilma Ferreira Machado', 'heloisa sales gentil', 'Loriége Pessoa Bitencourt']","['SIM', 'NAO', 'NAO']"
DESENVOLVIMENTO E FORTALECIMENTO CIENTÍFICO-TECNOLÓGICO DA JUVENTUDE CAMPONESA DO ENSINO MÉDIO DA ESCOLA ESTADUAL MADRE CRISTINA NO ASSENTAMENTO ROSELI NUNES ? MIRASSOL DO OESTE ? MT,2015,2017,PESQUISA,"['Ilma Ferreira Machado', 'Maria de Lourdes Jorge de Sousa', 'LEONIR AMANTINO BOFF', 'ROSE MARCIA', 'Laudemir Luiz Zart', 'Marcia Aparecida de Barros da Cruz']","['NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO']"
Revista Faculdade de Educação,2013,ATUAL,EXTENSAO,"['Ilma Ferreira Machado', 'Irton Milanesi', 'Elizeth Gonzaga dos Santos Lima', 'heloisa sales gentil', 'Marilda oliveira costa', 'André Luiz Borges Milhomem', 'Maria do horto Sales Tielett']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"A configuração do trabalho pedagógico e a formação dos educadores para as escolas do campo nas décadas de 1980 e 1990, no estado de Mato Grosso. Parte II.",2017,ATUAL,PESQUISA,"['Ilma Ferreira Machado', 'heloisa sales gentil', 'Valdivina Vilela Pagel', 'Roseli ferreira Lima', 'Edineia Natalino da Silva Santos', 'Valdenir de Souza Coutinho', 'Rafael de Oliveira Costa', 'Maria José de Souza Gomes', 'Mara Cristina Ramos']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
AS ESCOLAS ESTADUAIS DE EDUCAÇÃO DO CAMPO DE JUARA NA RELAÇÃO COM AS POLÍTICAS PÚBLICAS DA SECRETARIA DE EDUCAÇÃO DO ESTADO DE MATO GROSSO,2017,ATUAL,PESQUISA,"['Ilma Ferreira Machado', 'LEONIR AMANTINO BOFF', 'Régis Aparecido de Oliveira', 'Lisanil da Conceição Patrocínio Pereira', 'Edson Felix da Silva', 'Isaura Isabel Conte']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
