PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
INDICAÇÃO DE CULTIVARES DE MARACUJÁ ADAPTADAS ÀS DIFERENTES REGIÕES DO ESTADO COM POTENCIAL PARA A FRUTICULTURA,2009,2011,PESQUISA,"['Willian Krause', 'José Airton Rodrigues Nunes', 'Virginia Helena de Azevedo', 'Rivanildo Dallacort', 'Dejânia Vieira de Araújo', 'Alexandre Pio Viana', 'Fábio Gelape Faleiro']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Determinação do tamanho ótimo da parcela em experimentos com maracujá irrigado no arranjo produtivo da fruticultura de Tangará da Serra,2009,2011,PESQUISA,"['Willian Krause', 'Regis Queiroz Gonçalves', 'Astor Henrique Nied', 'Marinez Cargnin-Stieler', 'Vanessa Rakel M. Dias', 'Helio Gaspar Kuoos Kist', 'Lindolfo Storck', ""Alessandro Dal'Col Lúcio""]","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
UTILIZAÇÃO DA METODOLOGIA REML/BLUP NO MELHORAMENTO DO MARACUJAZEIRO AMARELO NO ESTADO DE MATO GROSSO,2009,2012,PESQUISA,"['Willian Krause', 'José Airton Rodrigues Nunes', 'Virginia Helena de Azevedo', 'Maurecilne Lemes da Silva', 'Alexandre Pio Viana', 'Fábio Gelape Faleiro', 'Leonarda Grillo Neves']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
MELHORAMENTO INTRAPOPULACIONAL DO MARACUJAZEIRO AMARELO NO ESTADO DE MATO GROSSO,2009,2011,PESQUISA,"['Willian Krause', 'José Airton Rodrigues Nunes', 'Virginia Helena de Azevedo', 'Dejânia Vieira de Araújo', 'Alexandre Pio Viana', 'Fábio Gelape Faleiro', 'Jane Rodrigues de Assis Machado', 'Leonarda Grillo Neves']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
CARACTERIZAÇÃO E CONSERVAÇÀO DE RECURSOS GENÉTICOS E IDENTIFICAÇÃO DE FONTES DE RESISTÊNCIA À FUSARIOSE DO ABACAXIZEIRO NO ESTADO DE MATO GROSSO,2010,2012,PESQUISA,"['Willian Krause', 'Virginia Helena de Azevedo', 'Dejânia Vieira de Araújo', 'Maurecilne Lemes da Silva', 'Ílio Fealho de Carvalho', 'Patrícia Helena de Azevedo', 'Ednamar Gabriela Palu', 'Leonarda Grillo Neves', 'Daniela Tiago da Silva Campos', 'José Emílio Bettiol Neto', 'José Aires Ventura', 'Davi Theodoro Junghans']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Identificação de tecnologias sustentáveis de produção de fruteiras e geração de informação conforme diagnósticos dos potenciais agrícolas,2011,2014,PESQUISA,"['Willian Krause', 'Virginia Helena de Azevedo', 'Dejânia Vieira de Araújo', 'Maurecilne Lemes da Silva', 'Fábio Gelape Faleiro', 'Leonarda Grillo Neves', 'Petterson Baptista da Luz', 'Severino de Paiva Sobrinho', 'Marco Antônio Aparecido Barelli', 'Elisangela Clarete Camili', 'Milson Evaldo Serafim', 'Messias Gonzaga Pereira', 'Telma Nair Santana Pereira']","['NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Transferência de tecnologias de produção em fruticultura visando o fortalecimento da agricultura familiar em Tangará da Serra-MT,2012,ATUAL,EXTENSAO,"['Willian Krause', 'Rivanildo Dallacort', 'Dejânia Vieira de Araújo', 'Jose Roberto Rambo', 'Mônica josene Barbosa Pereira', 'Ednamar Gabriela Palu', 'Carlos Antônio Araújo Távora', 'Aparecida de Fátima Alves de Lima', 'Regina Maria da Costa']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
FRUTICULTURA ONLINE: CANAL DE COMUNICAÇÃO COM OS FRUTICULTORES DE MATO GROSSO,2012,2015,EXTENSAO,"['Willian Krause', 'Jose Roberto Rambo', 'Leonarda Grillo Neves', 'Petterson Baptista da Luz']","['SIM', 'NAO', 'NAO', 'NAO']"
Seleção recorrente intrapopulacional do maracujazeiro amarelo assistida por marcadores moleculares microssatélites,2013,2015,PESQUISA,"['Willian Krause', 'Dejânia Vieira de Araújo', 'Alexandre Pio Viana', 'Ednamar Gabriela Palu', 'Leonarda Grillo Neves', 'Daniela Tiago da Silva Campos', 'Messias Gonzaga Pereira', 'Maurecilne Lemes da Silva Carvalho']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Melhoramento genético do maracujazeiro amarelo visando o desenvolvimento de cultivares para o estado de Mato Grosso,2012,2017,DESENVOLVIMENTO,"['Willian Krause', 'Dejânia Vieira de Araújo', 'Ednamar Gabriela Palu', 'Leonarda Grillo Neves', 'Maurecilne Lemes da Silva Carvalho']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
