PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Potencial de produtividade do Pinhão Manso (Jatropha curcas L.) em diferentes densidades para a extração de óleo vegetal por agricultores familiares no arranjo produtivo do Alto Rio Paraguai - MT,2007,2009,PESQUISA,"['Marice Cristine Vendruscolo', 'Astor Henrique Nied', 'Gilberto Colodro', 'Paulo Teixeira de Sousa Júnior', 'Rivanildo Dallacort', 'Vanessa Rakel de Moraes Dias']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
"Avaliação da torta de filtro no cultivo da alface em diferentes épocas de semeadura, sob cultivo protegido e a céu aberto",2008,2010,PESQUISA,"['Marice Cristine Vendruscolo', 'Márcio Lustosa Santos', 'Rivanildo Dallacort', 'Adalberto Santi', 'Dejânia Vieira de Araújo']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO']"
Potencial de produtividade de Pinhão Manso (Jatropha curcas L.) sob diferentes fontes de adubação como alternativa para a agricultura familiar,2007,2009,PESQUISA,"['Marice Cristine Vendruscolo', 'Astor Henrique Nied', 'Gilberto Colodro', 'Paulo Teixeira de Sousa Júnior', 'Vanessa Rakel de Moraes Dias']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Aplicação de superfosfato simples em pastagem degradada de capim-braquiarão na região de Tangará da Serra - MT,2009,2011,PESQUISA,['Marice Cristine Vendruscolo'],['SIM']
Utilização das Plantas Medicinais na Comunidade de Tangará da Serra ? MT,2009,2011,EXTENSAO,['Marice Cristine Vendruscolo'],['SIM']
Desenvolvimento de atividades práticas focadas em entender a importância do solo e seu papel na manutenção da homeostase do meio ambiente,2014,2015,EXTENSAO,"['Marice Cristine Vendruscolo', 'Astor Henrique Nied', 'Rivanildo Dallacort', 'Vanessa Rakel de Moraes Dias', 'Adalberto Santi', 'Marcio Osvaldo Lima Magalhães', 'Roberto Antonio Savelli Martinez', 'André Tavares de Vasconcelos', 'Ronicely Pereira da Rocha', 'Eletisanda das Neves', 'Cleonir Andrade Faria Júnior', 'Tatiane Maria de Amorim', 'Bianca Anjos de Souza']","['NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Fitotecnia online: canal de comunicação da UNEMAT com os agricultores de Mato Grosso,2014,2016,EXTENSAO,"['Marice Cristine Vendruscolo', 'Miriam Hiroko Inoue', 'Marcio Osvaldo Lima Magalhães', 'Eletisanda das Neves', 'Anísio da Silva Nunes', 'Tricia Costa Lima', 'Roberto Antonio Savelli Martinez']","['NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'SIM']"
Jornada de Educação de Tangará da Serra - MT,2016,ATUAL,EXTENSAO,"['Marice Cristine Vendruscolo', 'Josete Maria Cangussú Ribeiro', 'Geni Conceição Figueiredo', 'Claudiomar Pedro da Silva', 'Leonilda de Oliveira', 'Lucimar Alves', 'João Paulo da Silva']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Produtividade de cultivares de Brachiaria brizantha em diferentes doses de nitrogênio,2015,ATUAL,PESQUISA,"['Marice Cristine Vendruscolo', 'Astor Henrique Nied', 'Marcio Osvaldo Lima Magalhães', 'Roberto Antonio Savelli Martinez', 'Alexandre Agostinho Mexia']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
