TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK
Narrativas Formativas No Estágio Supervisionado Em Espaços Não Escolares de Acadêmicos do Curso de Pedagogia da Unemat,2016,,Português,Anais VII CIPA,XX,2178-0676,"['Evanil de Almeida Cardoso', 'Ozerina Victor de Oliveira', 'Rosalva Pereira de Alencar']","['1', '2', '3']",['3']
Formação de Professores: Alguns Elementos Constitutivos da Formação Docente,2016,,Português,Anais SemiEdu 2016 â013 UFMT,XX,2447-8776,['Rosalva Pereira de Alencar'],['1'],['1']
CIÊNCIAS BIOLÓGICAS NA MODALIDADE A DISTÂNCIA: EXPERIÊNCIAS DE ESTÁGIO SUPERVISIONADO EM ESPAÇOS NÃO ESCOLARES,2015,,Português,XIII Jornada de Educação,XX,2175-7712,"['Rosalva Pereira de Alencar', 'LEILA VALDERES SOUZA GATTASS']","['1', '2']",['1']
CULTURA E IDENTIDADE NO CONTEXTO DA DIÁSPORA: UMA CONSTRUÇÃO HISTÓRICA,2017,,Português,REVISTA FAED - UNEMAT,C ,2178-7476,"['Rosalva Pereira de Alencar', 'Iorim Rodrigues da Silva']","['1', '2']",['1']
O ESTÁGIO SUPERVISIONADO EM ESPAÇOS NÃO ESCOLARES NO CURSO DE PEDAGOGIA: ALGUMAS APROXIMAÇÕES,2015,,Português,"Seminário Educação 2015 : Educação e seus Sentidos no Mundo Digital (23. : 2015 : Cuiabá, MT).",XX,1518-4846,['Rosalva Pereira de Alencar'],['1'],['1']
