TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER
First Report of &lt;i&gt;Elaphria agrotina&lt;/i&gt; and &lt;i&gt;Elaphria deltoides&lt;/i&gt; (Lepidoptera: Noctuidae: Elaphriini) Feeding on Maize,2014,10.1603/EC14101,Inglês,Journal of Economic Entomology,A2,0022-0493,"['SPECHT, ALEXANDRE', 'SORIA, MIGUEL FERREIRA', 'MAFINI MABA, TALITA SAIARA', 'DE ROSSI BELUFI, LUANA MARIA', 'GODOI, BÁRBARA WESCHENFELDER', 'Mônica Josene Barbosa Pereira', 'PAULA-MORAES, SILVANA V.']","['1', '2', '3', '4', '5', '6', '7']"
"DENGUE E FATORES AMBIENTAIS NO MUNICÍPIO DE TANGARÁ DA SERRA, AMAZÔNIA BRASILEIRA",2014,10.4025/bolgeogr.v32i1.19397,Português,Boletim de Geografia (UEM),B5,0102-5198,"['FERNANDES, ROSILAINY SURUBI', 'NEVES, SANDRA MARA ALVES DA SILVA', 'Mônica Josene Barbosa Pereira', 'IGNOTTI, ELIANE', 'SOUZA, CLÁUDIO KLEBER JUIZ DE']","['1', '2', '3', '4', '5']"
Larvicidal and Cytotoxic Potential of Squamocin on the Midgut of Aedes aegypti (Diptera: Culicidae),2014,10.3390/toxins6041169,Inglês,Toxins,A2,2072-6651,"['COSTA, MARILZA', 'COSSOLIN, JAMILE', 'Mônica Josene Barbosa Pereira', ""SANT'ANA, ANTÔNIO"", 'LIMA, MILENA', 'ZANUNCIO, JOSÉ', 'SERRÃO, JOSÉ']","['1', '2', '3', '4', '5', '6', '7']"
USO DO FEROMÔNIO SEXUAL PARA UMA AGRICULTURA SUSTENTÁVEL EM ÁREAS AMAZÔNICAS NO ESTADO DE MATO GROSSO,2015,,Português,Revista de Estudos Sociais (UFMT),B5,1519-504X,"['Bruna Camila Gualda Bersani', 'Edilaine de Souza Viana', 'Mônica Josene Barbosa Pereira']","['1', '2', '3']"
USO DE FEROMÔNIO NO CONTROLE DE PERCEVEJOS: UMA ALTERNATIVA SUSTENTÁVEL PARA AGRICULTURA DO MATO GROSSO,2015,,Português,Revista de Estudos Sociais (UFMT),B5,1519-504X,"['Camila Patrícia Ribeiro de Souza', 'Alessandra Regina Butnariu', 'Leandra Amorim da Silva', 'Mônica Josene Barbosa Pereira']","['1', '2', '3', '4']"
Lethal and Sublethal Effects of Insecticides on the Egg Parasitoid &lt;i&gt;Telenomus podisi&lt;/i&gt; (Hymenoptera: Platygastridae),2016,10.1093/jee/tov273,Inglês,Journal of Economic Entomology,A2,0022-0493,"['Leonardo Morais Turchen', 'Vanessa Golin', 'Alessandra Regina Butnariu', 'Raul Narciso Guedes', 'Mônica Josene Barbosa Pereira']","['1', '2', '3', '4', '5']"
Potential phytoinsecticide of Annona mucosa (Jacq) (Annonaceae) in the control of brown stink bug,2016,10.14393/BJ-v32n3a2016-32803,Português,Bioscience Journal (Online),B1,1981-3163,"['Leonardo Morais', 'LEILANE MARISA HUNHOFF', 'MARCELA VIEIRA PAULO', 'Camila Patrícia Ribeiro de Souza', 'Mônica Josene Barbosa Pereira']","['1', '2', '3', '4', '5']"
Toxicidade de lufenuron sobre ninfas e adultos do percevejo-marrom-da-soja,2016,,Português,Revista de Agricultura (Piracicaba),B4,0034-7655,"['Leonardo Morais Turchen', 'LEILANE MARISA HUNHOFF', 'Edilaine de Souza Viana', 'Mônica Josene Barbosa Pereira']","['1', '2', '3', '4']"
LIFTING DISEASES AT THE CULTURE OF EGGPLANT IN SETTLEMENT RURAL IN TANGARÁ DA SERRA/MT,2016,10.3738/1982.2278.1573,Português,Nucleus (Ituverava. Impresso),B5,1678-6602,"['ASCARI, JOÃO PAULO', 'MENDES, INÊS ROEDER NOGUEIRA', 'SANTOS, ESDRAS DA SILVA', 'ARAÚJO, DEJÂNIA VIEIRA', 'Mônica Josene Barbosa Pereira', 'LEMOS, VÍVIA LÚCIA JUVINO']","['1', '2', '3', '4', '5', '6']"
Annona mucosa Jacq. (Annonaceae): A Promising Phytoinsecticide for the Control of Chrysodeixis includens (Walker) (Lepidoptera: Noctuidae),2016,,Inglês,Journal of Entomology (Print),B2,1812-5670,"['Angélica Massaroli', 'Mônica Josene Barbosa Pereira', 'Luis Amilton FOERSTER']","['1', '2', '3']"
Beetle pollination and flowering rhythm of Annona coriacea Mart. (Annonaceae) in Brazilian cerrado: Behavioral features of its principal pollinators,2017,,Inglês,Plos One,A1,1932-6203,"['Marilza da Silva Costa', 'Ricardo José da Silva', 'Hipólito Ferreira Paulino-Neto', 'Mônica Josene Barbosa Pereira']","['1', '2', '3', '4']"
Annona crassiflora Mart. (Annonaceae): Effect of crude extract of seeds on larvae of soybean looper Chrysodeixis includens (Lepidoptera: Noctuidae),2017,,Inglês,BRAGANTIA,B1,1678-4499,"['Angélica Massarolli', 'Luis Amilton FOERSTER', 'Mônica Josene Barbosa Pereira']","['1', '2', '3']"
Toxicity of Piper aduncum (Piperaceae) Essential Oil Against Euschistus heros (F.) (Hemiptera: Pentatomidae) and Non-Effect on Egg Parasitoids,2016,10.1007/s13744-016-0409-7,Inglês,Neotropical Entomology (Impresso),A2,1519-566X,"['TURCHEN, L M', 'PITON, L P', 'DALL?OGLIO, E L', 'BUTNARIU, A R', 'Mônica Josene Barbosa Pereira']","['1', '2', '3', '4', '5']"
Phytochemical of Piper essential oil and acute toxicity against Helicoverpa armigera (Lepidoptera: Noctuidae),2017,10.5039/agraria.v12i4a5482,Português,REVISTA BRASILEIRA DE CIENCIAS AGRARIAS,B1,1981-0997,"['SANTOS, T.L.B.', 'Leonardo Morais', 'DALL?OGLIO, E.L.', 'Alessandra Regina Butnariu', 'Mônica Josene Barbosa Pereira']","['1', '2', '3', '4', '5']"
Effect Toxic and Behavioral of Annona mucosa (Annonaceae) on the Tomato Leaf Miner,2018,10.5539/jas.v10n8p362,Português,Journal of Agricultural Science,B1,1916-9760,"['BASTOS, JENIFFER S. Q.', 'Mônica Josene Barbosa Pereira', 'COSTA, MARILZA S.', 'TURCHEN, LEONARDO M.', 'PINHEIRO, DANIELA O.', 'CREMONEZ, PAULO S. G.']","['1', '2', '3', '4', '5', '6']"
"Ciclo biológico del barrenador de semillas de guanabana Bephratelloides pomorum (Fab., 1908) (Hymenoptera:Eurytomidae)",1997,,Português,Agronomía Tropical (Maracay),XX,0002-192X,"['Mônica Josene Barbosa Pereira', 'Norivaldo dos Anjos', 'Marcelo Coutinho Picanço']","['1', '2', '3']"
