TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
As Possibilidades de Construir uma Sociedade Alternativa: a socioeconomia solidária,2004,Português,UNEMAT EDITORA,['Laudemir Luiz Zart'],['1'],['1']
Processos Metodológicos e Problemáticas Socioculturais para a Estruturação de uma Cooperativa - um olhar sob a perspectiva da sócio-economia solidária.,2004,Português,UNEMAT EDITORA,['Laudemir Luiz Zart'],['1'],['1']
Possibilidades de Fazimento da Universidade: características e opçõs entre a globalização e a planetariedade.,2006,Afar,Editora UNEMAT,['Laudemir Luiz Zart'],['1'],['1']
A Configuração Sócio-econômica e Cultural dos Habitantes na Cidade de Sinop: entre a experiência vivida e a utopia projetada,2005,Português,Editora UNEMAT,['Laudemir Luiz Zart'],['1'],['1']
"A Inter-relacionalidade da Educação do Campo, da Socioeconomia Solidária e das Políticas Públicas",2007,Português,Defanti Editora,['Laudemir Luiz Zart'],['1'],['1']
Lucas do Rio Verde: as vozes dos parceleiros no processo de construção de um novo espaço social,2008,Português,EdUFMT e Carlini e Caniato Editorial,['Laudemir Luiz Zart'],['1'],['1']
"Estado, Comunidade de Pesquisa e Atores Sociais: a construção da agenda de políticas públicas e os modelos cognitivos para a ciência e a tecnologia",2009,Português,"FASE: IPPUR, UFRJ",['Laudemir Luiz Zart'],['1'],['1']
Perspectivas Processuais Constitutivas da Educação e da Socioeconomia solidária,2009,Português,Editora Unemat,['Laudemir Luiz Zart'],['1'],['1']
Concepções Filosóficas e Organizacionais da Socioeconomia Solidária,2011,Português,Editora CRV e Editora Unemat,['Laudemir Luiz Zart'],['1'],['1']
Fundamentos Gnosiológicos e Organizacionais da Educação do Campo e da Socioeconomia Solidária,2011,Português,Editora Unemat,"['Laudemir Luiz Zart', 'GITAHY, Leda']","['1', '2']",['1']
Os Sentidos de Cooperação entre os/as Camponses/as Participantes de Movimentos Sociais do Campo,2013,Português,Editora da UFGDS,"['Laudemir Luiz Zart', 'GITAHY, Leda']","['1', '2']",['1']
Produção Social do Conhecimento: Metodologia e páxis pedagógicas do CAMOSC.,2012,Espanhol,Editorial Universitária Felix Varela - Ministério da Educação - Cuba,"['Laudemir Luiz Zart', 'Loriége Pessoa Bitencourt']","['1', '2']",['1']
"Organização Camponesa, Agroecologia e Socioeconomia Solidária: a geração de uma cultura participativa",2012,Português,Arte e Ciência,"['Laudemir Luiz Zart', 'GITAHY, Leda']","['1', '2']",['1']
A Construção do Processo de Cooperação e o Trabalho Associado no Campo: Incubação e organização de empreendimentos econômicos solidários,2014,Português,Unemat Editora,['Laudemir Luiz Zart'],['1'],['1']
Processo de Pré-incubação com a juventude camponesa do Assentamento Sadia/Vale Verde em Cáceres-MT,2014,Português,Unemat Editora,"['Verônica Moreno Machado', 'Laudemir Luiz Zart', 'Maria da Anunciação Pinheiro Barros Neta']","['1', '2', '3']",['2']
Metodologias Pedagógicas Compartilhadas: dinâmicas de produção de conhecimentos no CAMOSC,2014,Português,MDA,"['Laudemir Luiz Zart', 'Loriége Pessoa Bitencourt']","['1', '2']",['1']
Educação do Campo e Formação: relato da experiência do grupo de estudo sobre educação do campo,2014,Português,Unemat Editora,"['Andréia Moreira', 'Marcia Aparecida de Barros da Cruz', 'Laudemir Luiz Zart', 'Loriége Pessoa Bitencourt']","['1', '2', '3', '4']",['3']
Experiências Pedagógicas do PIBID Pedagogia Educação do Campo na Fronteira Brasil-Bolívia,2014,Português,Unemat Editora,"['Elida Rezende da Silva,', 'Rebeca Ferreira Carvalho,', 'Márcia Novakc da Silva', 'Loriége Pessoa Bitencourt', 'Laudemir Luiz Zart']","['1', '2', '3', '4', '5']",['5']
Trajetória Reflexiva Sobre o Subrojeto PIBID Pedagogia Educação do Campo: vivências em situações escolares,2014,Português,Unemat Editora,"['Loriége Pessoa Bitencourt', 'Laudemir Luiz Zart']","['1', '2']",['2']
Processo Metodológico de Investigação da Escola e da Comunidade Camponesa do Assentamento Sadia/Vale Verde,2014,Português,Unemat Editora,"['Verônica Moreno Machado', 'Laudemir Luiz Zart']","['1', '2']",['2']
O PIBID Pedagogia Educação do Campo e as Oficinas Pedagógicas: pressupostos para efetivação do currículo do/no campo em escolas de área de fronteira Brasil/Bolívia,2014,Português,Unemat Editora,"['Rebeca Ferreira Carvalho,', 'Rezende da Silva', 'Márcia Novakc da Silva', 'Loriége Pessoa Bitencourt', 'Laudemir Luiz Zart']","['1', '2', '3', '4', '5']",['5']
Percepções e prospecções para a educação do campo: contrastes de cenários presentes e cenários possíveis,2014,Português,EdUFMT,['Laudemir Luiz Zart'],['1'],['1']
O Processo de Construção de Conhecimentos: o diálogo entre a universidade e os movimentos sociais do campo na experiência do CAMOSC,2015,Português,Unemat Editora,"['Laudemir Luiz Zart', 'Loriége Pessoa Bitencourt']","['1', '2']",['1']
Produção Social do Conhecimento nas Experiências da Socioeconomia Solidária no Núcleo Unemat-Unitrabalho,2019,Português,Editora Unemat,['Laudemir Luiz Zart'],['1'],['1']
Mapeamento de Experiências com Famílias Assentadas: aprendizagem da juventude camponesa no Assentamento Roseli Nunes no Município de Mirassol do Oeste - Mato Grosso,2019,Português,Editora Unemat,"['Marcia Aparecida de Barros da Cruz', 'Laudemir Luiz Zart']","['1', '2']",['2']
Formação e Empreendimentos Econômicos Solidários: uma análise das oficinas do projeto juventude do Assentamento Roseli Nunes - Mirassol do Oeste - MT,2019,Português,Editora Unemat,"['Cristiane Gonçalves Ribeiro', 'Thiago Wanderson Santana', 'Marcia Aparecida de Barros da Cruz', 'Laudemir Luiz Zart']","['1', '2', '3', '4']",['4']
Contribuições da Incubadora na Formação e Organização da Economia Solidária: reativação da farinheira na comunidade tradicional Distrito do Faval no município de Nossa Senhora do Livramento,2019,Português,Editora Unemat,"['Eliane dos Santos Martinez Paezano', 'Douglas Alexandre de Campos Castrillon Júnior', 'EVELYN OLIVEIRA CARDOSO SANTOS', 'Luan Benedito Oliveira da Silva', 'Laudemir Luiz Zart']","['1', '2', '3', '4', '5']",['5']
Organização Socioprodutiva dos Pequenos Produtores da Região da Fronteira Brasil/Bolívia,2019,Português,Editora Unemat,"['Jucilene de Oliveira Martins', 'Janbor Alencar Borges', 'LIZANDRA OZEIA DE OLIVEIRA', 'Thiago Wanderson Santana', 'Laudemir Luiz Zart']","['1', '2', '3', '4', '5']",['5']
Contabilidade na Economia Solidária: uma análise da formação do preço de venda justo na Acooperfron,2019,Português,Editora Unemat,"['Thiago Wanderson Santana', 'Jucilene de Oliveira Martins', 'Luan Benedito Oliveira da Silva', 'LIZANDRA OZEIA DE OLIVEIRA', 'Laudemir Luiz Zart']","['1', '2', '3', '4', '5']",['5']
Dimensões Formativas para a Construção de Práticas Sociais Relativas ao Cooperativismo Solidário,2006,Português,Editora UNEMAT,['Laudemir Luiz Zart'],['1'],['1']
