TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
O estágio interdisciplinar no processo de formação docente,2008,Português,VAZIO,"['Irton Milanesi', 'Letícia Ema Cappi Aguiar', 'Lígia Cappi Manzini', 'Maria Stefani Rocha']","['1', '2', '3', '4']",['1']
Projetos de aprendizagem articulados ao uso das TIC: abertura para o diálogo interdisciplinar na formação de professores,2014,Português,VAZIO,"['Sandra Regina Braz Ayres', 'Irton Milanesi']","['1', '2']",['2']
Política de Formação de Profissionais do Magistério da Educação Básica - Regime de Colaboração a partir do Plano de Ações Articuladas (PAR),2015,Português,VAZIO,"['Eliane Siqueira de Medeiros Lázari', 'Irton Milanesi']","['1', '2']",['2']
A interdisciplinaridade no cotidiano dos professores: avaliação de uma proposta curricular de estágio,2008,Português,VAZIO,['Irton Milanesi'],['1'],['1']
