TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK
Energy balance methodology and modeling of supplementary forage production for cattle in Brazil,2005,10.1590/S0103-90162005000100001,Inglês,SCIENTIA AGRICOLA,A1,1678-992X,"['Thiago Libório Romanelli', 'Marcos Milan']","['1', '2']",['1']
"Emergy Synthesis of Intensive Eucalyptus Cultivation in São Paolo, Brazil",2008,,Inglês,Forest Science,A2,0015-749X,"['Thiago Libório Romanelli', 'Matthew J. Cohen', 'Marcos Milan', 'Mark T. Brown']","['1', '2', '3', '4']",['1']
O biodiesel e o consumo de energia na agricultura,2009,,Português,Boletim de Pesquisa de Soja,C ,1807-7676,"['João Gomes Martines Filho', 'Natália Zancan', 'Thiago Libório Romanelli']","['1', '2', '3']",['3']
Material flow determination through agricultural machinery management,2010,10.1590/S0103-90162010000400001,Inglês,Scientia Agrícola (USP. Impresso),A1,0103-9016,"['Thiago Libório Romanelli', 'Milan, Marcos']","['1', '2']",['1']
Energy performance of a production system of eucalyptus,2010,10.1590/S1415-43662010000800015,Inglês,Revista Brasileira de Engenharia Agrícola e Ambiental (Impresso),B1,1415-4366,"['Thiago Libório Romanelli', 'Milan, Marcos']","['1', '2']",['1']
Energy flow in castor bean (Ricinus communis L.) production systems,2010,10.1590/S0103-90162010000600018,Inglês,Scientia Agrícola (USP. Impresso),A1,0103-9016,"['Silva, Adilson Nunes da', 'Thiago Libório Romanelli', 'Reichardt, Klaus']","['1', '2', '3']",['2']
Capacity in mechanical harvesting of sugar cane,2010,10.1590/S0103-90162010000600001,Português,SCIENTIA AGRICOLA,A1,1678-992X,"['Paulo Rodrigues Peloia', 'Marcos Milan', 'Thiago Libório Romanelli']","['1', '2', '3']",['3']
Material embodiment and energy flows as efficiency indicators of soybean (Glycine max) production in Brazil,2012,10.1590/S0100-69162012000200006,Inglês,Engenharia Agrícola (Impresso),B1,0100-6916,"['Thiago Libório Romanelli', 'Hudson Souza Nardi', 'Filipe Alonso Saad']","['1', '2', '3']",['1']
Mecanización del cultivo de la caña de azúcar,2010,,Espanhol,Agrotécnica (Madrid),XX,1886-6514,"['Tomaz Caetano Cannavan Rípoli', 'Thiago Libório Romanelli']","['1', '2']",['2']
Agricultura sustentável sem mitos,2009,,Português,Agroanalysis (FGV),B5,0100-4298,['Thiago Libório Romanelli'],['1'],['1']
Machinery Management as an Environmental Tool - Material Embodiment in Agriculture,2012,,Inglês,E-journal - CIGR,B1,1682-1130,"['Thiago Libório Romanelli', 'Marcos Milan']","['1', '2']",['1']
Energy assessment for variable rate nitrogen application,2012,,Inglês,E-journal - CIGR,B1,1682-1130,"['André Freitas Colaço', 'Fabrício Pinheiro Povh', 'José Paulo Molin', 'Thiago Libório Romanelli']","['1', '2', '3', '4']",['4']
