TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK
Energy-Based Evaluations on Eucalyptus Biomass Production,2012,10.1155/2012/340865,Inglês,International Journal of Forestry Research,B3,1687-9368,"['Thiago Libório Romanelli', 'Marcos Milan', 'Rafael Cesar Tieppo']","['1', '2', '3']",['1']
Embodied energy associated with the materials used in irrigation systems: Drip and centre pivot,2014,10.1016/j.biosystemseng.2014.02.002,Inglês,Biosystems Engineering,A1,1537-5110,"['Adriano Valentim Diotto', 'Marcos Vinícius Folegatti', 'Sérgio Nascimento Duarte', 'Thiago Libório Romanelli']","['1', '2', '3', '4']",['4']
Energy flow in the soybean biodiesel production chain using ethanol as solvent extraction of oil from soybeans,2014,10.1016/j.biombioe.2014.04.004,Inglês,Biomass &amp; Bioenergy,A1,0961-9534,"['Naiane Sangaletti-Gerhard', 'Thiago Libório Romanelli', 'Thais Maria Ferreira de Souza Vieira', 'Rodrigo Navia', ""Marisa Aparecida Bismara Regitano d'Arce""]","['1', '2', '3', '4', '5']",['2']
"Energy demand in agricultural biomass production in Parana state, Brazil",2014,,Inglês,E-journal - CIGR,B1,1682-1130,"['Maria Carolina da Silva Andrea', 'Rafael Cesar Tieppo', 'Leandro Maria Gimenez', 'Fabrício Pinheiro Povh', 'Tobias J. Katsman', 'Thiago Libório Romanelli']","['1', '2', '3', '4', '5', '6']",['6']
Energy demand in sugarcane residue collection and transportation,2014,,Inglês,E-journal - CIGR,B1,1682-1130,"['Rafael Cesar Tieppo', 'Maria Carolina da Silva Andrea', 'Leandro Maria Gimenez', 'Thiago Libório Romanelli']","['1', '2', '3', '4']",['4']
Energy demand in citrus production under varied operational efficiency values,2014,10.1590/S0100-69162014000400014,Inglês,Engenharia Agrícola (Impresso),B1,0100-6916,"['Nelson Cerino Franco Junior', 'Marcos Milan', 'Thiago Libório Romanelli']","['1', '2', '3']",['3']
Cost of boundary manoeuvres in sugarcane production,2015,10.1016/j.biosystemseng.2014.09.007,Inglês,Biosystems Engineering,A1,1537-5110,"['Mark Spekken', 'José Paulo Molin', 'Thiago Libório Romanelli']","['1', '2', '3']",['3']
Material and energy demand in actual and suggested maintenance of sugarcane harvesters,2015,,Português,INTERNATIONAL JOURNAL OF AGRICULTURAL MANAGEMENT,B5,2047-3710,"['Edemilson José Mantoam', 'Thiago Libório Romanelli', 'Marcos Milan']","['1', '2', '3']",['2']
Agricultural sustainability through agrifood system management,2015,,Português,INTERNATIONAL JOURNAL OF AGRICULTURAL MANAGEMENT,B5,2047-3710,"['Dionysis Bochtis', 'Thiago Libório Romanelli', 'Dimitrios Aidonis']","['1', '2', '3']",['2']
Curvas de desempenho de um trator agrícola com recente inserção no mercado utilizando diferentes proporções de biodiesel,2016,10.18406/2316-1817v8n12016803,Português,Revista Agrogeoambiental,B5,1984-428X,"['Vanderson Rabelo de Paula', 'Carlos Volpato', 'Thiago Libório Romanelli', 'Jackson Antonio Barbosa']","['1', '2', '3', '4']",['3']
Usados de valor,2016,,Português,Cultivar Máquinas,B5,1676-0158,"['Thiago Libório Romanelli', 'Leandro Maria Gimenez', 'Giovani Apolari Ghirardello']","['1', '2', '3']",['1']
Energy flows in lowland soybean production system in Brazil,2016,10.1590/0103-8478cr20151298,Inglês,Ciência Rural,B1,1678-4596,"['Maria Carolina da Silva Andrea', 'Thiago Libório Romanelli', 'José Paulo Molin']","['1', '2', '3']",['2']
A cost prediction model for machine operation in multi-field production systems,2016,10.1590/0103-9016-2015-0304,Inglês,SCIENTIA AGRICOLA,A1,1678-992X,"['Remigio Berruto', 'Alessandro Sopegno', 'Patrizia Busato', 'Thiago Libório Romanelli']","['1', '2', '3', '4']",['4']
Ações extensionistas do Projeto Rondon no município de Rondon do Pará: um olhar sobre as ciências dos alimentos,2016,10.5007/1807-0221.2016v13n21p12,Português,Revista de Extensão,B5,1807-0221,"['Diogo Tau Zymberg Tomaszewski', 'Márcio Rezende Ribeiro Soares', 'Nathanael José de Campos', 'Odaléia Telles Marcondes Machado Queiroz', 'Pietro Pizão Gonzalez', 'Rebeca Cristina Ferreira da Silva', 'Samuel de Mello Pinto', 'Thiago Libório Romanelli', 'Vanessa Mendes de Queiroz']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",['8']
Hora de cuidar,2016,,Português,Cultivar Máquinas,B5,1676-0158,"['Leandro Maria Gimenez', 'Marcos Milan', 'Thiago Libório Romanelli']","['1', '2', '3']",['3']
Energy demand and greenhouse gases emissions in the life cycle of tractors,2016,10.1016/j.biosystemseng.2016.08.028,Inglês,Biosystems Engineering,A1,1537-5110,"['Edemilson José Mantoam', 'Thiago Libório Romanelli', 'Leandro Maria Gimenez']","['1', '2', '3']",['2']
Energy embodiment in Brazilian agriculture: an overview of 23 crops,2015,10.1590/0103-9016-2015-0188,Inglês,Scientia Agricola,A1,1678-992X,"['VEIGA, JOÃO PAULO SOTO', 'Thiago Libório Romanelli', 'GIMENEZ, LEANDRO MARIA', 'BUSATO, PATRIZIA', 'Milan, Marcos']","['1', '2', '3', '4', '5']",['2']
Triple-bottom-line assessment of São Paulo state's sugarcane production based on a Brazilian multi-regional input-output matrix,2018,10.1016/j.rser.2017.09.075,Inglês,RENEWABLE &amp; SUSTAINABLE ENERGY REVIEWS,A1,1364-0321,"['João Paulo Soto Veiga', 'Arunima Malik', 'Manfred Lenzen', 'Joaquim Bento de Souza Ferreira Filho', 'Thiago Libório Romanelli']","['1', '2', '3', '4', '5']",['5']
Energy Demand and Greenhouse Gases Emissions in the Life Cycle of Coffee Harvesters,2017,10.3303/CET1758030,Português,CHEMICAL ENGINEERING TRANSACTIONS,A2,2283-9216,"['Edemilson José Mantoam', 'Thiago Libório Romanelli', 'Leandro Maria Gimenez', 'Marcos Milan']","['1', '2', '3', '4']",['2']
IMPACT OF IRRIGATION AND NITROGEN FERTILIZATION ON THE ENERGY BALANCE AND ENERGY RETURN ON INVESTMENT OF JATROPHA PRODUCTION,2017,10.7127/rbai.v11n500792,Inglês,Revista brasileira de agricultura irrigada,B3,1982-7679,"['SANTOS, OTÁVIO NETO ALMEIDA', 'ANDRADE, IRINEU PEDRO DE SOUSA', 'LENA, BRUNO PATIAS', 'FOLEGATTI, MARCOS VINÍCIUS', 'DIOTTO, ADRIANO VALENTIM', 'Thiago Libório Romanelli']","['1', '2', '3', '4', '5', '6']",['6']
Energy analysis of Jatropha curcas under irrigation and rainfed at the Southeast Brazilian humid subtropical,2018,,Inglês,E-JOURNAL - CIGR,B1,1682-1130,"['Otávio Neto Almeida Santos', 'Marcos Vinícius Folegatti', 'Bruno P. Lena', 'Adriano Valentim Diotto', 'João Paulo Francisco', 'Thiago Libório Romanelli']","['1', '2', '3', '4', '5', '6']",['6']
"Variability and limitations of maize production in Brazil: Potential yield, water-limited yield and yield gaps",2018,10.1016/j.agsy.2018.07.004,Inglês,AGRICULTURAL SYSTEMS,A1,0308-521X,"['Maria Carolina da Silva Andrea', 'Paulo Cesar Sentelhas', 'Thiago Libório Romanelli', 'Kenneth J. Boote']","['1', '2', '3', '4']",['3']
"Water, Energy, and Carbon Footprints of Bio-ethanol from the US and Brazil",2018,10.1021/acs.est.8b03359,Inglês,ENVIRONMENTAL SCIENCE &amp; TECHNOLOGY,A1,0013-936X,"['Mesfin Mekonnen', 'Thiago Libório Romanelli', 'Chittaranjan Ray', 'Arjen Hoekstra', 'Adam Liska', 'Christopher Neale']","['1', '2', '3', '4', '5', '6']",['2']
"Energy, water and material footprints of agricultural machinery industry",2018,,Inglês,E-JOURNAL - CIGR,B1,1682-1130,"['Edemilson José Mantoam', 'Mesfin Mekonnen', 'Thiago Libório Romanelli']","['1', '2', '3']",['3']
Modeling cost and energy demand in agricultural machinery fleets for soybean and maize cultivated using a no-tillage system,2019,10.1016/j.compag.2018.11.032,Inglês,COMPUTERS AND ELECTRONICS IN AGRICULTURE,A2,0168-1699,"['TIEPPO, RAFAEL CESAR', 'Thiago Libório Romanelli', 'Milan, Marcos', 'SØRENSEN, CLAUS AAGE GRØN', 'BOCHTIS, DIONYSIS']","['1', '2', '3', '4', '5']",['2']
Field phenotyping using multispectral imaging in pea (Pisum sativum L) and chickpea (Cicer arietinum L),2019,10.1016/j.eaef.2019.06.002,Inglês,"Engineering in Agriculture, Environment and Food",B2,1881-8366,"['QUIRÓS, JUAN J.', 'MCGEE, REBECCA J.', 'VANDEMARK, GEORGE J.', 'Thiago Libório Romanelli', 'SANKARAN, SINDHUJA']","['1', '2', '3', '4', '5']",['4']
Indicadores de desempenho para a gestão dos processos operacionais citrícolas,2019,10.34117/bjdv5n12-072,Português,Brazilian Journal of Development,XX,2525-8761,"['Nelson Cerino Franco Junior', 'Marcos Milan', 'Thiago Libório Romanelli']","['1', '2', '3']",['3']
Embodied energy of sugarcane harvesters,2014,10.1016/j.biosystemseng.2013.12.003,Inglês,Biosystems Engineering,A1,1537-5110,"['Edemilson José Mantoam', 'Marcos Milan', 'Leandro Maria Gimenez', 'Thiago Libório Romanelli']","['1', '2', '3', '4']",['4']
