TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,ID,FULL_NAME,LAST_NAME,CITADO,CITY,STATE,RESUME
INFLUENCE OF DRYING AIR TEMPERATURE UPON THE CHEMICAL COMPOSITION OF THE ESSENTIAL OIL OF MELALEUCA,2012,,Inglês,Engenharia na Agricultura (Impresso),B3,1414-3984,"['Diana Rodrigues Henrique Lemos', 'Evandro de Castro Melo', 'Ronicely Pereira da Rocha', 'Luiz Cláudio de Almeida Barbosa', 'Antônio Lelis Pinheiro']","['1', '2', '3', '4', '5']",['3'],6679312852796625,Ronicely Pereira da Rocha,Rocha,"ROCHA, R. P.;ROCHA, RONICELY PEREIRA DA;ROCHA, R.P.;ROCHA, RONICELY PEREIRA",Sete Lagoas,MG,"Possui graduação em Agronomia pela Universidade Federal de Viçosa (2003), mestrado em Agronomia pela Universidade Estadual de Ponta Grossa (2007), doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2011), com período sanduíche na Universidade Politécnica de Valencia (2010) e pós doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2013). Atualmente é Professor Adjunto do curso de Agronomia da Universidade do Estado de Mato Grosso, Campus Tangará da Serra. Tem experiência na área de Agronomia, com ênfase em Fitopatologia e na Engenharia Agrícola, com ênfase em Pré-processamento e Armazenamento de Produtos Agrícolas, atuando principalmente nos seguintes temas: armazenamento, secagem, secador, qualidade, pós-colheita, plantas medicinais, mecanização agrícola."
EFFECT OF DRYING AIR TEMPERATURE UPON THE ESSENTIAL OIL CONTENT OF MIKANIA GLOMERATA,2011,,Inglês,African Journal of Food Science and Technology,B5,2141-5455,"['Ronicely Pereira da Rocha', 'Evandro de Castro Melo', 'Luiz Cláudio de Almeida Barbosa', 'Lauri Lourenço Radunz']","['1', '2', '3', '4']",['1'],6679312852796625,Ronicely Pereira da Rocha,Rocha,"ROCHA, R. P.;ROCHA, RONICELY PEREIRA DA;ROCHA, R.P.;ROCHA, RONICELY PEREIRA",Sete Lagoas,MG,"Possui graduação em Agronomia pela Universidade Federal de Viçosa (2003), mestrado em Agronomia pela Universidade Estadual de Ponta Grossa (2007), doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2011), com período sanduíche na Universidade Politécnica de Valencia (2010) e pós doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2013). Atualmente é Professor Adjunto do curso de Agronomia da Universidade do Estado de Mato Grosso, Campus Tangará da Serra. Tem experiência na área de Agronomia, com ênfase em Fitopatologia e na Engenharia Agrícola, com ênfase em Pré-processamento e Armazenamento de Produtos Agrícolas, atuando principalmente nos seguintes temas: armazenamento, secagem, secador, qualidade, pós-colheita, plantas medicinais, mecanização agrícola."
RENDIMENTO EXTRATIVO DE CUMARINA DE FOLHAS DE GUACO (MIKANIA GLOMERATA SPRENGEL) SUBMETIDAS A DIFERENTES TEMPERATURAS DE SECAGEM,2012,,Português,Revista Brasileira de Plantas Medicinais (Impresso),B1,1516-0572,"['Lauri Lourenço Radunz', 'Evandro de Castro Melo', 'Luiz Cláudio de Almeida Barbosa', 'Ronicely Pereira da Rocha', 'Pedro Amorim Berbert']","['1', '2', '3', '4', '5']",['4'],6679312852796625,Ronicely Pereira da Rocha,Rocha,"ROCHA, R. P.;ROCHA, RONICELY PEREIRA DA;ROCHA, R.P.;ROCHA, RONICELY PEREIRA",Sete Lagoas,MG,"Possui graduação em Agronomia pela Universidade Federal de Viçosa (2003), mestrado em Agronomia pela Universidade Estadual de Ponta Grossa (2007), doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2011), com período sanduíche na Universidade Politécnica de Valencia (2010) e pós doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2013). Atualmente é Professor Adjunto do curso de Agronomia da Universidade do Estado de Mato Grosso, Campus Tangará da Serra. Tem experiência na área de Agronomia, com ênfase em Fitopatologia e na Engenharia Agrícola, com ênfase em Pré-processamento e Armazenamento de Produtos Agrícolas, atuando principalmente nos seguintes temas: armazenamento, secagem, secador, qualidade, pós-colheita, plantas medicinais, mecanização agrícola."
INFLUENCE OF DRYING PROCESS ON THE QUALITY OF MEDICINAL PLANTS: A REVIEW,2011,,Inglês,Journal of Medicinal Plant Research,B4,1996-0875,"['Ronicely Pereira da Rocha', 'Evandro de Castro Melo', 'Lauri Lourenço Radunz']","['1', '2', '3']",['1'],6679312852796625,Ronicely Pereira da Rocha,Rocha,"ROCHA, R. P.;ROCHA, RONICELY PEREIRA DA;ROCHA, R.P.;ROCHA, RONICELY PEREIRA",Sete Lagoas,MG,"Possui graduação em Agronomia pela Universidade Federal de Viçosa (2003), mestrado em Agronomia pela Universidade Estadual de Ponta Grossa (2007), doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2011), com período sanduíche na Universidade Politécnica de Valencia (2010) e pós doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2013). Atualmente é Professor Adjunto do curso de Agronomia da Universidade do Estado de Mato Grosso, Campus Tangará da Serra. Tem experiência na área de Agronomia, com ênfase em Fitopatologia e na Engenharia Agrícola, com ênfase em Pré-processamento e Armazenamento de Produtos Agrícolas, atuando principalmente nos seguintes temas: armazenamento, secagem, secador, qualidade, pós-colheita, plantas medicinais, mecanização agrícola."
CINÉTICA DEL SECADO DE TOMILLO,2012,,Espanhol,Revista Brasileira de Engenharia Agrícola e Ambiental (Online),B1,1807-1929,"['Ronicely Pereira da Rocha', 'Evandro de Castro Melo', 'José B. Corbín', 'Pedro Amorim Berbert', 'Sérgio Maurício Lopes Donzeles', 'Jon A. Tabar']","['1', '2', '3', '4', '5', '6']",['1'],6679312852796625,Ronicely Pereira da Rocha,Rocha,"ROCHA, R. P.;ROCHA, RONICELY PEREIRA DA;ROCHA, R.P.;ROCHA, RONICELY PEREIRA",Sete Lagoas,MG,"Possui graduação em Agronomia pela Universidade Federal de Viçosa (2003), mestrado em Agronomia pela Universidade Estadual de Ponta Grossa (2007), doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2011), com período sanduíche na Universidade Politécnica de Valencia (2010) e pós doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2013). Atualmente é Professor Adjunto do curso de Agronomia da Universidade do Estado de Mato Grosso, Campus Tangará da Serra. Tem experiência na área de Agronomia, com ênfase em Fitopatologia e na Engenharia Agrícola, com ênfase em Pré-processamento e Armazenamento de Produtos Agrícolas, atuando principalmente nos seguintes temas: armazenamento, secagem, secador, qualidade, pós-colheita, plantas medicinais, mecanização agrícola."
EFFECT OF DRYING AIR VELOCITY ON THE QUALITY OF ESSENTIAL OIL FROM LEMON GRASS,2012,,Inglês,Global Science and Technology,B5,1984-3801,"['Ronicely Pereira da Rocha', 'Evandro de Castro Melo', 'Antônio Jacinto Demuner', 'Lauri Lourenço Radunz', 'Heder Braun']","['1', '2', '3', '4', '5']",['1'],6679312852796625,Ronicely Pereira da Rocha,Rocha,"ROCHA, R. P.;ROCHA, RONICELY PEREIRA DA;ROCHA, R.P.;ROCHA, RONICELY PEREIRA",Sete Lagoas,MG,"Possui graduação em Agronomia pela Universidade Federal de Viçosa (2003), mestrado em Agronomia pela Universidade Estadual de Ponta Grossa (2007), doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2011), com período sanduíche na Universidade Politécnica de Valencia (2010) e pós doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2013). Atualmente é Professor Adjunto do curso de Agronomia da Universidade do Estado de Mato Grosso, Campus Tangará da Serra. Tem experiência na área de Agronomia, com ênfase em Fitopatologia e na Engenharia Agrícola, com ênfase em Pré-processamento e Armazenamento de Produtos Agrícolas, atuando principalmente nos seguintes temas: armazenamento, secagem, secador, qualidade, pós-colheita, plantas medicinais, mecanização agrícola."
INFLUENCE OF DRYING AIR TEMPERATURE ON THE ESSENTIAL OIL CONTENT OF Melaleuca alternifolia Cheel,2011,,Inglês,Revista Brasileira de Produtos Agroindustriais,B5,1517-8595,"['Diana Rodrigues Henrique Lemos', 'Evandro de Castro Melo', 'Ronicely Pereira da Rocha', 'Evan Visser', 'Antônio Lelis Pinheiro']","['1', '2', '3', '4', '5']",['3'],6679312852796625,Ronicely Pereira da Rocha,Rocha,"ROCHA, R. P.;ROCHA, RONICELY PEREIRA DA;ROCHA, R.P.;ROCHA, RONICELY PEREIRA",Sete Lagoas,MG,"Possui graduação em Agronomia pela Universidade Federal de Viçosa (2003), mestrado em Agronomia pela Universidade Estadual de Ponta Grossa (2007), doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2011), com período sanduíche na Universidade Politécnica de Valencia (2010) e pós doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2013). Atualmente é Professor Adjunto do curso de Agronomia da Universidade do Estado de Mato Grosso, Campus Tangará da Serra. Tem experiência na área de Agronomia, com ênfase em Fitopatologia e na Engenharia Agrícola, com ênfase em Pré-processamento e Armazenamento de Produtos Agrícolas, atuando principalmente nos seguintes temas: armazenamento, secagem, secador, qualidade, pós-colheita, plantas medicinais, mecanização agrícola."
INFLUÊNCIA DO PROCESSO DE SECAGEM SOBRE OS PRINCIPAIS COMPONENTES QUÍMICOS DO ÓLEO ESSENCIAL DE TOMILHO,2012,10.1590/S0034-737X2012000500021,Português,Revista Ceres,B1,0034-737X,"['Ronicely Pereira da Rocha', 'Pedro Amorim Berbert', 'Evandro de Castro Melo', 'Luiz Cláudio de Almeida Barbosa', 'JOSÉ B CORBÍN', 'Pedro Amorim Berbert']","['1', '2', '3', '4', '5', '6']",['1'],6679312852796625,Ronicely Pereira da Rocha,Rocha,"ROCHA, R. P.;ROCHA, RONICELY PEREIRA DA;ROCHA, R.P.;ROCHA, RONICELY PEREIRA",Sete Lagoas,MG,"Possui graduação em Agronomia pela Universidade Federal de Viçosa (2003), mestrado em Agronomia pela Universidade Estadual de Ponta Grossa (2007), doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2011), com período sanduíche na Universidade Politécnica de Valencia (2010) e pós doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2013). Atualmente é Professor Adjunto do curso de Agronomia da Universidade do Estado de Mato Grosso, Campus Tangará da Serra. Tem experiência na área de Agronomia, com ênfase em Fitopatologia e na Engenharia Agrícola, com ênfase em Pré-processamento e Armazenamento de Produtos Agrícolas, atuando principalmente nos seguintes temas: armazenamento, secagem, secador, qualidade, pós-colheita, plantas medicinais, mecanização agrícola."
EFFECT OF DRYING AIR TEMPERATURE ON THE QUALITY OF ESSENTIAL OIL FROM MIKANIA GLOMERATA,2014,,Inglês,Revista Engenharia na Agricultura,XX,1414-3884,"['Ronicely Pereira da Rocha', 'Evandro de Castro Melo', 'Luiz Claudio de Almeida Barbosa', 'Lauri Lourenço Radunz']","['1', '2', '3', '4']",['1'],6679312852796625,Ronicely Pereira da Rocha,Rocha,"ROCHA, R. P.;ROCHA, RONICELY PEREIRA DA;ROCHA, R.P.;ROCHA, RONICELY PEREIRA",Sete Lagoas,MG,"Possui graduação em Agronomia pela Universidade Federal de Viçosa (2003), mestrado em Agronomia pela Universidade Estadual de Ponta Grossa (2007), doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2011), com período sanduíche na Universidade Politécnica de Valencia (2010) e pós doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2013). Atualmente é Professor Adjunto do curso de Agronomia da Universidade do Estado de Mato Grosso, Campus Tangará da Serra. Tem experiência na área de Agronomia, com ênfase em Fitopatologia e na Engenharia Agrícola, com ênfase em Pré-processamento e Armazenamento de Produtos Agrícolas, atuando principalmente nos seguintes temas: armazenamento, secagem, secador, qualidade, pós-colheita, plantas medicinais, mecanização agrícola."
Influence of plant age on the content and composition of essential oil of Cymbopogon citratus (DC.) Stapf.,2014,10.5897/jmpr2013.5549,Inglês,Journal of Medicinal Plant Research,B4,1996-0875,"['Ronicely Pereira da Rocha', 'Evandro de Castro Melo', 'Luiz Claudio de Almeida Barbosa', 'Ricardo Henrique Silva Santos', 'Paulo Roberto Cecon', 'Rivanildo Dallacort', 'Adalberto Santi']","['1', '2', '3', '4', '5', '6', '7']",['1'],6679312852796625,Ronicely Pereira da Rocha,Rocha,"ROCHA, R. P.;ROCHA, RONICELY PEREIRA DA;ROCHA, R.P.;ROCHA, RONICELY PEREIRA",Sete Lagoas,MG,"Possui graduação em Agronomia pela Universidade Federal de Viçosa (2003), mestrado em Agronomia pela Universidade Estadual de Ponta Grossa (2007), doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2011), com período sanduíche na Universidade Politécnica de Valencia (2010) e pós doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa (2013). Atualmente é Professor Adjunto do curso de Agronomia da Universidade do Estado de Mato Grosso, Campus Tangará da Serra. Tem experiência na área de Agronomia, com ênfase em Fitopatologia e na Engenharia Agrícola, com ênfase em Pré-processamento e Armazenamento de Produtos Agrícolas, atuando principalmente nos seguintes temas: armazenamento, secagem, secador, qualidade, pós-colheita, plantas medicinais, mecanização agrícola."
