TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Alforrias &amp; Controles: emergência da formação continuada,2017,Português,VAZIO,['João de Deus dos Santos'],['1'],['1']
I Encontro de Jovens Pesquisadores do Médio Araguia - Resumos,1997,Português,VAZIO,"['João de Deus dos Santos', 'Judite Gonçalves de Albuquerque', 'Ermerita Luiza Sandoval Tedesco']","['1', '2', '3']",['1']
