TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Avaliação Institucional e as estratégias de organização dos espaços de discussão na universidade,2009,Português,Sulina.,['Elizeth Gonzaga dos Santos Lima'],['1'],['1']
Os processos de avaliação da educação superior e as tomadas de decisão,2010,Português,Editora UNEMAT,['Elizeth Gonzaga dos Santos Lima'],['1'],['1']
Avaliação institucional participativa: uma das alternativas de (re)construção da emancipação nos espaços educacionais,2011,Português,Junqueira &amp; Marin Editores,['Elizeth Gonzaga dos Santos Lima'],['1'],['1']
Docentes e avaliação: as vozes do silêncio,2011,Português,Editora UFRGS,['Elizeth Gonzaga dos Santos Lima'],['1'],['1']
Influências da avaliação no conhecimento produzido pelos pesquisadores em redes de pesquisa,2012,Português,Sulina,"['Elizeth Gonzaga dos Santos Lima', 'Denise Leite']","['1', '2']",['1']
POLÍTICAS DE AVALIAÇÃO E INOVAÇÃO,2012,Português,EDIPUCRS,"['Elizeth Gonzaga dos Santos Lima', 'Denise Leite']","['1', '2']",['1']
Democratização do acesso à educação superior no Brasil - Cotas raciais no programa de integração e de inclusão etnicorracial - PIIER da UNEMAT,2012,Português,Edufmt,"['Valci Aparecida Barbosa', 'Elizeth Gonzaga dos Santos Lima']","['1', '2']",['2']
POLÍTICAS DE AVALIAÇÃO INSTITUCIONAL PARA A EDUCAÇÃO SUPERIOR BRASILEIRA PÓS-LDB: APONTANDO CONTRADIÇÕES NAS PRÁTICAS,2013,Português,Editora UFSM,['Elizeth Gonzaga dos Santos Lima'],['1'],['1']
SISTEMA NACIONAL DE AVALIAÇÃO DA EDUCAÇÃO SUPERIOR (SINAES): REFLEXÕES E PERSPECTIVAS,2013,Português,Autores Associados,"['Elizeth Gonzaga dos Santos Lima', 'Flávio Luiz S. J. Cunha', 'Jaime Orro Santana']","['1', '2', '3']",['1']
Democratização do acesso à educação superior: o Piier nas vozes dos sujeitos,2014,Português,EJR Xamã Editora Ltda,"['Valci Aparecida Barbosa', 'Elizeth Gonzaga dos Santos Lima']","['1', '2']",['2']
Brasil: tendencias emergentes y de cambio en la educación superior,2016,Português,UDG Unaem GUNI,"['Denise Leite', 'Maria Beatriz Luce', 'M. E. D. P. Franco', 'M. M. Polidori', 'J. G. Araujo', 'M. A. C. Loor', 'J ZITKOSKI', 'E DAMINELLI', 'F S PAULO', 'G ROSA', 'M E S Martins', 'Elizeth Gonzaga dos Santos Lima', 'Luis BORGES', 'J BALDASSO', 'Célia Elizabete Caregnato', 'Clarice Monteiro Escolt', 'Julio Bertolin', 'Maria Elly Genro', 'Bernardo Sfredo Miorando', 'Priscila Bier', 'G. Giacomazzo']","['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '3', '4', '5', '6', '7', '8', '9']",['2']
A Democratização no Processo de Expansão da Educação Superior: O caso da Unemat,2017,Português,EDUNIOESTE,"['Elizeth Gonzaga dos Santos Lima', 'Fernando Cezar Vieira Malange', 'Valci Aparecida Barbosa']","['1', '2', '3']",['1']
"RBBIO: Rede de pesquisa de biodiversidade nos biomas Cerrado, Floresta Amazônica e Pantanal do estado de Mato Grosso",2017,Português,Sulina,"['Elizeth Gonzaga dos Santos Lima', 'Flávio Luiz S. J. Cunha', 'Jaime Orro Santana']","['1', '2', '3']",['1']
"A permanência na educação superior, os índices de sucesso e as medidas adotadas para sua melhoria",2018,Português,Ed. UEG,"['Douglas Ehle Nodari', 'Elizeth Gonzaga dos Santos Lima']","['1', '2']",['2']
Perfil dos ingressantes na Universidade do Estado de Mato Grosso: implicações do SISU no processo de democratização do acesso,2018,Português,Ed. UEG,"['Luis BORGES', 'Elizeth Gonzaga dos Santos Lima', 'Fernando Cezar Vieira Malange']","['1', '2', '3']",['2']
POLÍTICAS DE EXPANSÃO DA EDUCAÇÃO SUPERIOR IMPLANTADAS PELO ESTADO BRASILEIRO: REFLEXÕES SOBRE DEMOCRATIZAÇÃO,2016,Português,Mundo das Letras,"['Elizeth Gonzaga dos Santos Lima', 'Fernando Cezar Vieira Malange', 'Valci Aparecida Barbosa']","['1', '2', '3']",['1']
