PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
A contribuição da Educação para o Progresso Moral da Humanidade para o Bem em Kant,2003,2004,PESQUISA,['Aparecido de Assis'],['SIM']
"As contribuições de Kant, Piaget e Paulo Freire para a formação dos professores do curso superior",2005,2007,PESQUISA,"['Aparecido de Assis', 'José Ferreira da Costa', 'Danilo Persch', 'Olívia Ferreira do Couto', 'Valéria Susana Lopes']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
"Um estudo comparativo sobre as ações dos gestores de estabelecimentos de ensino estaduais e municipais de Cáceres-MT, nas situações de conflito e de violência no Ambiente Escolar.",2012,2014,PESQUISA,"['Aparecido de Assis', 'José Ferreira da Costa', 'Maria do Horto Salles Tiellet', 'Maria da Penha Fornanciari Antunes']","['NAO', 'NAO', 'SIM', 'NAO']"
Projeto político pedagógico do curso de licenciatura em Filosofia,2013,2013,OUTRA,"['Aparecido de Assis', 'Maria do Horto Salles Tiellet']","['NAO', 'SIM']"
Café Filosófico,2015,ATUAL,EXTENSAO,"['Aparecido de Assis', 'José Ferreira da Costa', 'Maria do Horto Salles Tiellet', 'Isaura Isabel Conte', 'Leonir Amantino Boff']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Adolescentes em conflito com a lei e suas trajetórias educacionais,2014,ATUAL,PESQUISA,"['Aparecido de Assis', 'José Ferreira da Costa', 'Maria do Horto Salles Tiellet', 'Maria da Penha Fornanciari Antunes']","['NAO', 'NAO', 'SIM', 'NAO']"
Programas e Projetos de extensão,2002,2004,EXTENSAO,['Aparecido de Assis'],['SIM']
Literatura e arte: Uma vivência necessária para o exercício da cidadania,1996,1998,EXTENSAO,"['Aparecido de Assis', 'Leonice Rodrigues Pereira']","['SIM', 'NAO']"
Projeto político pedagógico do curso de Licenciatura em Filosofia,2013,2015,ENSINO,"['Aparecido de Assis', 'José Ferreira da Costa', 'Maria do Horto Salles Tiellet']","['NAO', 'NAO', 'SIM']"
