ISSN	Titulo	Estrato	Classificação
2359-5337	CADERNOS OBMIGRA - REVISTA MIGRAÇÕES INTERNACIONAIS	B2	
1676-6288	CADERNOS PROLAM/USP	B1	
2175-4217	CAMINE: CAMINHOS DA EDUCAÇÃO	B1	
1678-6343	CAMINHOS DE GEOGRAFIA (UFU)	A1	
1809-6271	CAMPO - TERRITÓRIO	A2	
2596-1314	CAMPOS NEUTRAIS	B1	
1707-7753	CANADIAN JOURNAL OF CRIMINOLOGY AND CRIMINAL JUSTICE	A3	
0045-5067	CANADIAN JOURNAL OF FOREST RESEARCH (PRINT)	A2	
0703-8992	CANADIAN JOURNAL OF REMOTE SENSING	A1	
2595-7341	CAPIM DOURADO	A4	
2359-2354	CAPOEIRA - REVISTA DE HUMANIDADES E LETRAS	A3	
1147-6753	CARAVELLE (TOULOUSE)	A3	
2526-9038	CARTA INTERNACIONAL	A2	
0341-8162	CATENA (CREMLINGEN)	A1	
1678-4553	CERÂMICA	B1	
0366-6913	CERÂMICA (SÃO PAULO. IMPRESSO)	B1	
0104-7760	CERNE (UFLA)	B1	
1982-9701	CERRADOS	B1	
1809-127X	CHECK LIST	B2	
0009-2541	CHEMICAL GEOLOGY	A1	
1612-1880	CHEMISTRY & BIODIVERSITY	A4	
0045-6535	CHEMOSPHERE (OXFORD)	A1	
1679-3625	CIDADES (PRESIDENTE PRUDENTE)	A2	
1980-850X	CIÊNCIA & EDUCAÇÃO	A1	
1678-4561	CIÊNCIA & SAÚDE COLETIVA	A1	
0304-2685	CIÊNCIA & TROPICO	B3	
2447-3383	CIÊNCIA AGRÍCOLA	B4	
0103-8699	CIENCIA AGRICOLA (UFAL)	B4	
1984-7513	CIÊNCIA, CUIDADO E SAÚDE (ONLINE)	B1	
1518-8353	CIÊNCIA DA INFORMAÇÃO (ONLINE)	A4	
2602-8085	CIENCIA DIGITAL	B3	
1981-1829	CIÊNCIA E AGROTECNOLOGIA (ONLINE)	A2	
1413-7054	CIÊNCIA E AGROTECNOLOGIA (UFLA)	A2	
1516-7313	CIÊNCIA E EDUCAÇÃO (UNESP. IMPRESSO)	A1	
0100-8307	CIÊNCIA E NATURA	A3	
1413-8123	CIÊNCIA E SAÚDE COLETIVA (IMPRESSO)	A1	
1678-457X	CIENCIA E TECNOLOGIA DE ALIMENTOS	B1	
1980-5098	CIÊNCIA FLORESTAL (ONLINE)	B2	
0103-9954	CIÊNCIA FLORESTAL (UFSM. IMPRESSO)	B2	
1413-7461	CIÊNCIA GEOGRÁFICA	B1	
1678-4596	CIENCIA RURAL	A4	
1806-3411	CIÊNCIAS DA EDUCAÇÃO (UNOESTE)	B4	
1516-9758	CIÊNCIAS E TECNOLOGIA (UECE)	B4	
2178-1826	CIÊNCIAS EM FOCO	B2	
1982-2650	CIENCIAS SOCIALES Y RELIGIÓN / CIÊNCIAS SOCIAIS E RELIGIÃO	A2	
1852-4699	CINE DOCUMENTAL	B1	
2594-9810	CIRANDA	B3	
1414-4182	CIRCULAR TÉCNICA - NÚCLEO DE MONITORAMENTO AMBIENTAL E DE RECURSOS NATURAIS POR SATÉLITE	B1	
0264-2751	CITIES	A1	
1360-4813	CITY (LONDON. 1995)	A1	
0187-8611	CIUDADES (PUEBLA)	B1	
0009-8558	CLAY MINERALS (PRINT)	A4	
1618-9558	CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY (INTERNET)	A2	
2359-4705	CLIMACOM CULTURA CIENTÍFICA - PESQUISA, JORNALISMO E ARTE	B3	
2225-1154	CLIMATE	A2	
1756-5537	CLIMATE AND DEVELOPMENT	A1	
2010-0086	CLIMATE CHANGE ECONOMICS	A3	
1616-1572	CLIMATE RESEARCH (INTERNET)	A2	
0165-0009	CLIMATIC CHANGE	A1	
1996-3041	CLIMATOLOGIE (AIX-EN-PROVENCE)	B1	
0102-6003	CLIO ARQUEOLÓGICA	B1	
1984-3909	COFFEE SCIENCE	B3	
2595-8895	COGITARE	B4	
1809-8207	COLLOQUIUM HUMANARUM	A4	
2526-7035	COLLOQUIUM SOCIALIS	C	
2318-180X	COLÓQUIO - REVISTA DO DESENVOLVIMENTO REGIONAL	A4	
0010-3624	COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS	B1	
0010-3802	COMMUNITY DEVELOPMENT JOURNAL	A2	
1468-2656	COMMUNITY DEVELOPMENT JOURNAL (ONLINE)	A2	
2525-4154	COMPLEXITAS - REVISTA DE FILOSOFIA TEMÁTICA	B3	
